Site	Year	Month	Depth	pH	Conductivity 	BOD	Ammoniacal_Nitrogen	Total_Oxidised_Nitrogen	Suspended_Solids	Chloride	Sulphate	Total_Calcium	Total_Zinc	Total_Cadmium	Total_Lead	Total_Nickel	Total_Phosphate
2	2000	7	0.02	7.24	1810	40	1.5	0.05	3310	251	530	107	0.57	0.007	0.22	0.06	1.94
2	2000	10	0.5	7.08	1040	2.6	0.8	1.52	14	76	324	155	0.02	0.007	0.05	0.04	0.16
2	2001	1	0.2	7.5	1950	13	4.7	0.3	308	197	886	338	0.11	0.001	0.08	0.007	0.5
3	1997	11	NA	7.12	484	4.9	0.1	0.52	38	56	33	52.2	0.03	NA	0.05	0.03	NA
3	1999	1	0.5	7.7	358	6.5	0.2	0.29	66	37	42	42.2	0.03	0.005	0.05	0.03	0.05
3	1999	4	1	7.51	348	7.4	0.1	0.05	27	42	18	54.1	0.02	0.005	0.05	0.03	0.3
3	1999	7	0.75	7.31	1691	232	66.7	0.1	100	199	26	90.8	0.03	0.005	0.05	0.03	4.1
3	1999	10	0.6	7.77	455	1.2	0.1	0.63	41	46	56	50.2	0.02	0.005	0.05	0.03	0.15
3	2000	1	0.8	7.57	602	2	0.1	0.41	35	49	192	97.9	0.02	0.005	0.05	0.03	0.12
3	2000	4	0.9	7.56	618	2	0.1	0.29	19	44	252	111	0.02	0.004	0.05	0.04	0.1
3	2000	7	0.6	8.3	676	3.2	0.1	0.05	10	53	198	107	0.02	0.007	0.05	0.04	0.41
3	2000	10	0.51	6.94	313	2	20	0.05	20	17	57	48.8	0.02	0.007	0.05	0.04	0.33
3	2001	1	0.8	7.2	671	10	0.3	0.3	25	36	5	110	0.03	0.001	0.02	0.007	1.5
4	1997	11	NA	7.4	715	8.3	0.1	4.05	33	59	48	105	0.02	NA	0.05	0.03	1.9
4	1999	1	0.3	7.56	694	4.2	1.5	0.53	59	64	87	85.5	0.1	0.005	0.06	0.03	0.69
4	1999	4	0.5	7.74	659	7.8	0.1	0.05	41	70	57	91.5	0.02	0.005	0.05	0.03	0.6
4	1999	7	0.25	7.59	970	29	0.1	0.05	80	70	9	115	0.02	0.005	0.05	0.03	4.06
4	1999	10	0.25	7.59	843	2.5	0.1	0.05	52	52	63	102	0.03	0.005	0.05	0.03	0.71
4	2000	1	0.5	7.61	660	1.8	0.1	0.1	55	60	56	87.4	0.01	0.005	0.05	0.03	0.77
4	2000	4	0.5	7.3	586	2	0.1	0.2	32	46	34	83.5	0.02	0.007	0.05	0.04	0.55
4	2000	7	0.2	8.3	676	3.2	0.1	0.05	10	53	198	107	0.02	0.007	0.05	0.04	0.41
4	2000	10	0.5	7.01	789	3.7	0.2	0.2	66	47	60	105	0.04	0.007	0.05	0.04	0.79
4	2001	1	0.4	7.2	1050	12	6.2	0.3	86	82	5	137	0.08	0.001	0.04	0.007	2.2
5	1999	1	0.4	7.71	1780	2.8	2.5	0.16	140	158	394	217	0.04	0.005	0.05	0.03	0.2
5	1999	4	0.5	7.57	2280	13	9.8	0.53	70	87	212	184	0.04	0.005	0.05	0.03	0.4
5	1999	7	0.6	7.63	1970	15	0.5	0.05	83	447	55	125	0.03	0.005	0.05	0.03	1.08
5	1999	10	1.05	7.86	1780	4.9	1.2	0.19	38	182	379	232	0.03	0.005	0.05	0.03	0.41
5	2000	1	0.4	7.58	1830	4.2	2.8	0.32	52	197	539	264	0.04	0.005	0.05	0.03	0.22
5	2000	4	0.25	7.39	1550	14	3.2	3.85	127	251	381	180	0.06	0.007	0.05	0.04	0.21
5	2000	7	0.35	7.46	1770	6.5	0.9	0.32	47	307	407	146	0.02	0.007	0.05	0.04	0.17
5	2000	10	0.48	8.07	1810	8	5.9	3.36	42	208	480	168	0.05	0.007	0.05	0.04	0.12
5	2001	1	0.2	8	1650	6	7	0.3	16	217	485	136	0.03	0.001	0.02	0.008	0.1
