Year	Distance	Type	County	Location	MHT	ID	Name
72	1988	192.9583333	1	2	3	1047	6	K_GR_East
73	1989	222.7083333	1	2	3	977	6	K_GR_East
74	1990	207.8333333	1	2	3	1043	6	K_GR_East
75	1991	232.625	1	2	3	933	6	K_GR_East
76	1992	217.75	1	2	3	980	6	K_GR_East
77	1993	212.7916667	1	2	3	977	6	K_GR_East
78	1994	197.9166667	1	2	3	1013	6	K_GR_East
79	1995	183.0416667	1	2	3	1023	6	K_GR_East
80	1996	183.0416667	1	2	3	875	6	K_GR_East
81	1997	212.7916667	1	2	3	966	6	K_GR_East
82	1998	222.7083333	1	2	3	1055	6	K_GR_East
83	1999	212.7916667	1	2	3	1057	6	K_GR_East
84	2000	207.8333333	1	2	3	1034	6	K_GR_East
85	2001	212.7916667	1	2	3	1033	6	K_GR_East
86	2002	192.9583333	1	2	3	1000	6	K_GR_East
87	2003	197.9166667	1	2	3	1004	6	K_GR_East
88	1975	104.625	2	2	1	933	10	P_GR_West
89	1976	129.3125	2	2	1	877	10	P_GR_West
90	1977	134.25	2	2	1	963	10	P_GR_West
91	1978	124.375	2	2	1	957	10	P_GR_West
92	1979	144.125	2	2	1	967	10	P_GR_West
93	1980	154	2	2	1	990	10	P_GR_West
94	1981	158.9375	2	2	1	1027	10	P_GR_West
95	1982	163.875	2	2	1	990	10	P_GR_West
96	1983	163.875	2	2	1	1053	10	P_GR_West
97	1984	149.0625	2	2	1	953	10	P_GR_West
98	1985	104.625	2	2	1	960	10	P_GR_West
99	1986	119.4375	2	2	1	957	10	P_GR_West
100	1987	124.375	2	2	1	960	10	P_GR_West
101	1988	89.8125	2	2	1	1047	10	P_GR_West
102	1989	109.5625	2	2	1	977	10	P_GR_West
103	1990	89.8125	2	2	1	1043	10	P_GR_West
104	1991	114.5	2	2	1	933	10	P_GR_West
105	1992	134.25	2	2	1	980	10	P_GR_West
106	1993	129.3125	2	2	1	977	10	P_GR_West
107	1994	134.25	2	2	1	1013	10	P_GR_West
108	1995	45.375	2	2	1	1023	10	P_GR_West
109	1996	158.9375	2	2	1	875	10	P_GR_West
110	1997	139.1875	2	2	1	966	10	P_GR_West
111	1998	75	2	2	1	1055	10	P_GR_West
112	1999	25.625	2	2	1	1057	10	P_GR_West
113	2000	15.75	2	2	1	1034	10	P_GR_West
114	2001	0.95	2	2	1	1033	10	P_GR_West
115	2002	25.375	2	2	1	1000	10	P_GR_West
116	2003	15.75	2	2	1	1004	10	P_GR_West
117	1975	103.5	2	2	2	933	11	P_GR_Mid
118	1976	150.375	2	2	2	877	11	P_GR_Mid
119	1977	117.5625	2	2	2	963	11	P_GR_Mid
120	1978	131.625	2	2	2	957	11	P_GR_Mid
121	1979	145.6875	2	2	2	967	11	P_GR_Mid
122	1980	141	2	2	2	990	11	P_GR_Mid
123	1981	128.625	2	2	2	1027	11	P_GR_Mid
124	1982	102	2	2	2	990	11	P_GR_Mid
125	1983	95.8125	2	2	2	1053	11	P_GR_Mid
126	1984	56.625	2	2	2	953	11	P_GR_Mid
127	1985	73.875	2	2	2	960	11	P_GR_Mid
128	1986	66	2	2	2	957	11	P_GR_Mid
129	1987	91.125	2	2	2	960	11	P_GR_Mid
130	1988	58.3125	2	2	2	1047	11	P_GR_Mid
131	1989	73.875	2	2	2	977	11	P_GR_Mid
132	1990	66	2	2	2	1043	11	P_GR_Mid
133	1991	53.625	2	2	2	933	11	P_GR_Mid
134	1992	59.8125	2	2	2	980	11	P_GR_Mid
135	1993	61.3125	2	2	2	977	11	P_GR_Mid
136	1994	63	2	2	2	1013	11	P_GR_Mid
137	1995	39.5625	2	2	2	1023	11	P_GR_Mid
138	1996	101.8125	2	2	2	875	11	P_GR_Mid
139	1997	106.5	2	2	2	966	11	P_GR_Mid
140	1998	53.625	2	2	2	1055	11	P_GR_Mid
141	1999	20.8125	2	2	2	1057	11	P_GR_Mid
142	2000	70.6875	2	2	2	1034	11	P_GR_Mid
143	2001	0	2	2	2	1033	11	P_GR_Mid
144	2002	5.1875	2	2	2	1000	11	P_GR_Mid
145	2003	37.875	2	2	2	1004	11	P_GR_Mid
146	1975	232.7083333	2	2	3	933	12	P_GR_East
147	1976	252.5416667	2	2	3	877	12	P_GR_East
148	1977	257.5	2	2	3	963	12	P_GR_East
149	1978	237.6666667	2	2	3	957	12	P_GR_East
150	1979	237.6666667	2	2	3	967	12	P_GR_East
151	1980	198	2	2	3	990	12	P_GR_East
152	1981	138.5	2	2	3	1027	12	P_GR_East
153	1982	83.95833333	2	2	3	990	12	P_GR_East
154	1983	24.45833333	2	2	3	1053	12	P_GR_East
155	1984	49.25	2	2	3	953	12	P_GR_East
156	1985	24.45833333	2	2	3	960	12	P_GR_East
157	1986	88.91666667	2	2	3	957	12	P_GR_East
158	1987	118.6666667	2	2	3	960	12	P_GR_East
159	1988	64.125	2	2	3	1047	12	P_GR_East
160	1989	-15.20833333	2	2	3	977	12	P_GR_East
161	1990	69.08333333	2	2	3	1043	12	P_GR_East
162	1991	79	2	2	3	933	12	P_GR_East
163	1992	64.125	2	2	3	980	12	P_GR_East
164	1993	69.08333333	2	2	3	977	12	P_GR_East
165	1994	64.125	2	2	3	1013	12	P_GR_East
166	1995	0	2	2	3	1023	12	P_GR_East
167	1996	123.625	2	2	3	875	12	P_GR_East
168	1997	39.33333333	2	2	3	966	12	P_GR_East
169	1998	-0.333333333	2	2	3	1055	12	P_GR_East
170	1999	0	2	2	3	1057	12	P_GR_East
171	2000	0	2	2	3	1034	12	P_GR_East
172	2001	34.36666667	2	2	3	1033	12	P_GR_East
173	2002	0	2	2	3	1000	12	P_GR_East
174	2003	39.33333333	2	2	3	1004	12	P_GR_East
175	1975	267.375	3	2	1	933	16	PP_GR_West
176	1976	321.6875	3	2	1	877	16	PP_GR_West
177	1977	311.8125	3	2	1	963	16	PP_GR_West
178	1978	267.375	3	2	1	957	16	PP_GR_West
179	1979	301.9375	3	2	1	967	16	PP_GR_West
180	1980	297	3	2	1	990	16	PP_GR_West
181	1981	306.875	3	2	1	1027	16	PP_GR_West
182	1982	316.75	3	2	1	990	16	PP_GR_West
183	1983	331.5625	3	2	1	1053	16	PP_GR_West
184	1984	341.4375	3	2	1	953	16	PP_GR_West
185	1985	316.75	3	2	1	960	16	PP_GR_West
186	1986	321.6875	3	2	1	957	16	PP_GR_West
187	1987	361.1875	3	2	1	960	16	PP_GR_West
188	1988	277.25	3	2	1	1047	16	PP_GR_West
189	1989	326.625	3	2	1	977	16	PP_GR_West
190	1990	311.8125	3	2	1	1043	16	PP_GR_West
191	1991	321.6875	3	2	1	933	16	PP_GR_West
192	1992	301.9375	3	2	1	980	16	PP_GR_West
193	1993	346.375	3	2	1	977	16	PP_GR_West
194	1994	430.3125	3	2	1	1013	16	PP_GR_West
195	1995	297	3	2	1	1023	16	PP_GR_West
196	1996	376	3	2	1	875	16	PP_GR_West
197	1997	366.125	3	2	1	966	16	PP_GR_West
198	1998	277.25	3	2	1	1055	16	PP_GR_West
199	1999	232.8125	3	2	1	1057	16	PP_GR_West
200	2000	193.3125	3	2	1	1034	16	PP_GR_West
201	2001	158.7625	3	2	1	1033	16	PP_GR_West
202	2002	168.375	3	2	1	1000	16	PP_GR_West
203	2003	168.625	3	2	1	1004	16	PP_GR_West
204	1975	234.5	3	2	2	933	17	PP_GR_Mid
205	1976	314.1875	3	2	2	877	17	PP_GR_Mid
206	1977	248.5625	3	2	2	963	17	PP_GR_Mid
207	1978	272	3	2	2	957	17	PP_GR_Mid
208	1979	290.75	3	2	2	967	17	PP_GR_Mid
209	1980	272	3	2	2	990	17	PP_GR_Mid
210	1981	276.6875	3	2	2	1027	17	PP_GR_Mid
211	1982	272	3	2	2	990	17	PP_GR_Mid
212	1983	272	3	2	2	1053	17	PP_GR_Mid
213	1984	251.75	3	2	2	953	17	PP_GR_Mid
214	1985	248.5625	3	2	2	960	17	PP_GR_Mid
215	1986	262.625	3	2	2	957	17	PP_GR_Mid
216	1987	318.875	3	2	2	960	17	PP_GR_Mid
217	1988	262.625	3	2	2	1047	17	PP_GR_Mid
218	1989	234.5	3	2	2	977	17	PP_GR_Mid
219	1990	292.25	3	2	2	1043	17	PP_GR_Mid
220	1991	229.8125	3	2	2	933	17	PP_GR_Mid
221	1992	257.9375	3	2	2	980	17	PP_GR_Mid
222	1993	248.5625	3	2	2	977	17	PP_GR_Mid
223	1994	243.875	3	2	2	1013	17	PP_GR_Mid
224	1995	229.8125	3	2	2	1023	17	PP_GR_Mid
225	1996	332.9375	3	2	2	875	17	PP_GR_Mid
226	1997	392.1875	3	2	2	966	17	PP_GR_Mid
227	1998	229.8125	3	2	2	1055	17	PP_GR_Mid
228	1999	206.375	3	2	2	1057	17	PP_GR_Mid
229	2000	223.625	3	2	2	1034	17	PP_GR_Mid
230	2001	145.4	3	2	2	1033	17	PP_GR_Mid
231	2002	140.875	3	2	2	1000	17	PP_GR_Mid
232	2003	192.3125	3	2	2	1004	17	PP_GR_Mid
233	1975	532.0416667	3	2	3	933	18	PP_GR_East
234	1976	566.75	3	2	3	877	18	PP_GR_East
235	1977	561.7916667	3	2	3	963	18	PP_GR_East
236	1978	541.9583333	3	2	3	957	18	PP_GR_East
237	1979	541.9583333	3	2	3	967	18	PP_GR_East
238	1980	537	3	2	3	990	18	PP_GR_East
239	1981	551.875	3	2	3	1027	18	PP_GR_East
240	1982	591.5416667	3	2	3	990	18	PP_GR_East
241	1983	586.5833333	3	2	3	1053	18	PP_GR_East
242	1984	561.7916667	3	2	3	953	18	PP_GR_East
243	1985	561.7916667	3	2	3	960	18	PP_GR_East
244	1986	532.0416667	3	2	3	957	18	PP_GR_East
245	1987	541.9583333	3	2	3	960	18	PP_GR_East
246	1988	487.4166667	3	2	3	1047	18	PP_GR_East
247	1989	477.5	3	2	3	977	18	PP_GR_East
248	1990	482.4583333	3	2	3	1043	18	PP_GR_East
249	1991	432.875	3	2	3	933	18	PP_GR_East
250	1992	432.875	3	2	3	980	18	PP_GR_East
251	1993	462.625	3	2	3	977	18	PP_GR_East
252	1994	502.2916667	3	2	3	1013	18	PP_GR_East
253	1995	363.4583333	3	2	3	1023	18	PP_GR_East
254	1996	576.6666667	3	2	3	875	18	PP_GR_East
255	1997	591.5416667	3	2	3	966	18	PP_GR_East
256	1998	388.25	3	2	3	1055	18	PP_GR_East
257	1999	333.7083333	3	2	3	1057	18	PP_GR_East
258	2000	313.875	3	2	3	1034	18	PP_GR_East
259	2001	353.5333333	3	2	3	1033	18	PP_GR_East
260	2002	318.7916667	3	2	3	1000	18	PP_GR_East
261	2003	373.375	3	2	3	1004	18	PP_GR_East
