Year	Distance	Type	County	Location	MHT	ID	Name
89	1976	124.0625	2	1	1	877	7	P_FR_West
90	1977	124.0625	2	1	1	963	7	P_FR_West
91	1978	154.5625	2	1	1	957	7	P_FR_West
92	1979	139.3125	2	1	1	967	7	P_FR_West
93	1980	105	2	1	1	990	7	P_FR_West
94	1981	36.375	2	1	1	1027	7	P_FR_West
95	1982	32.5625	2	1	1	990	7	P_FR_West
96	1983	40.1875	2	1	1	1053	7	P_FR_West
97	1984	47.8125	2	1	1	953	7	P_FR_West
98	1985	51.625	2	1	1	960	7	P_FR_West
99	1986	44	2	1	1	957	7	P_FR_West
100	1987	59.25	2	1	1	960	7	P_FR_West
101	1988	63.0625	2	1	1	1047	7	P_FR_West
102	1989	44	2	1	1	977	7	P_FR_West
103	1990	51.625	2	1	1	1043	7	P_FR_West
104	1991	36.375	2	1	1	933	7	P_FR_West
105	1992	93.5625	2	1	1	980	7	P_FR_West
106	1993	78.3125	2	1	1	977	7	P_FR_West
107	1994	108.8125	2	1	1	1013	7	P_FR_West
108	1995	105	2	1	1	1023	7	P_FR_West
109	1996	162.1875	2	1	1	875	7	P_FR_West
110	1997	162.1875	2	1	1	966	7	P_FR_West
111	1998	82.125	2	1	1	1055	7	P_FR_West
112	1999	139.3125	2	1	1	1057	7	P_FR_West
113	2000	89.75	2	1	1	1034	7	P_FR_West
114	2001	101.1875	2	1	1	1033	7	P_FR_West
115	2002	162.1875	2	1	1	1000	7	P_FR_West
116	2003	116.4375	2	1	1	1004	7	P_FR_West
117	1975	302	2	1	2	933	8	P_FR_Mid
118	1976	312.5	2	1	2	877	8	P_FR_Mid
119	1977	302	2	1	2	963	8	P_FR_Mid
120	1978	307.25	2	1	2	957	8	P_FR_Mid
121	1979	317.75	2	1	2	967	8	P_FR_Mid
122	1980	197	2	1	2	990	8	P_FR_Mid
123	1981	160.25	2	1	2	1027	8	P_FR_Mid
124	1982	113	2	1	2	990	8	P_FR_Mid
125	1983	50	2	1	2	1053	8	P_FR_Mid
126	1984	29	2	1	2	953	8	P_FR_Mid
127	1985	23.75	2	1	2	960	8	P_FR_Mid
128	1986	55.25	2	1	2	957	8	P_FR_Mid
129	1987	39.5	2	1	2	960	8	P_FR_Mid
130	1988	23.75	2	1	2	1047	8	P_FR_Mid
131	1989	65.75	2	1	2	977	8	P_FR_Mid
132	1990	13.25	2	1	2	1043	8	P_FR_Mid
133	1991	29	2	1	2	933	8	P_FR_Mid
134	1992	34.25	2	1	2	980	8	P_FR_Mid
135	1993	81.5	2	1	2	977	8	P_FR_Mid
136	1994	118.25	2	1	2	1013	8	P_FR_Mid
137	1995	-7.75	2	1	2	1023	8	P_FR_Mid
138	1996	186.5	2	1	2	875	8	P_FR_Mid
139	1997	165.5	2	1	2	966	8	P_FR_Mid
140	1998	97.25	2	1	2	1055	8	P_FR_Mid
141	1999	197	2	1	2	1057	8	P_FR_Mid
142	2000	76.25	2	1	2	1034	8	P_FR_Mid
143	2001	139.25	2	1	2	1033	8	P_FR_Mid
144	2002	275.75	2	1	2	1000	8	P_FR_Mid
145	2003	291.5	2	1	2	1004	8	P_FR_Mid
146	1975	85	2	1	3	933	9	P_FR_East
147	1976	71	2	1	3	877	9	P_FR_East
148	1977	92	2	1	3	963	9	P_FR_East
149	1978	106	2	1	3	957	9	P_FR_East
150	1979	85	2	1	3	967	9	P_FR_East
151	1980	57	2	1	3	990	9	P_FR_East
152	1981	36	2	1	3	1027	9	P_FR_East
153	1982	43	2	1	3	990	9	P_FR_East
154	1983	43	2	1	3	1053	9	P_FR_East
155	1984	43	2	1	3	953	9	P_FR_East
156	1985	22	2	1	3	960	9	P_FR_East
157	1986	29	2	1	3	957	9	P_FR_East
158	1987	29	2	1	3	960	9	P_FR_East
159	1988	43	2	1	3	1047	9	P_FR_East
160	1989	36	2	1	3	977	9	P_FR_East
161	1990	57	2	1	3	1043	9	P_FR_East
162	1991	57	2	1	3	933	9	P_FR_East
163	1992	71	2	1	3	980	9	P_FR_East
164	1993	71	2	1	3	977	9	P_FR_East
165	1994	92	2	1	3	1013	9	P_FR_East
166	1995	78	2	1	3	1023	9	P_FR_East
167	1996	64	2	1	3	875	9	P_FR_East
168	1997	57	2	1	3	966	9	P_FR_East
169	1998	57	2	1	3	1055	9	P_FR_East
170	1999	57	2	1	3	1057	9	P_FR_East
171	2000	43	2	1	3	1034	9	P_FR_East
172	2001	43	2	1	3	1033	9	P_FR_East
173	2002	36	2	1	3	1000	9	P_FR_East
174	2003	71	2	1	3	1004	9	P_FR_East
175	1975	209.125	3	1	1	933	13	PP_FR_West
176	1976	243.4375	3	1	1	877	13	PP_FR_West
177	1977	270.125	3	1	1	963	13	PP_FR_West
178	1978	247.25	3	1	1	957	13	PP_FR_West
179	1979	224.375	3	1	1	967	13	PP_FR_West
180	1980	171	3	1	1	990	13	PP_FR_West
181	1981	106.1875	3	1	1	1027	13	PP_FR_West
182	1982	140.5	3	1	1	990	13	PP_FR_West
183	1983	163.375	3	1	1	1053	13	PP_FR_West
184	1984	182.4375	3	1	1	953	13	PP_FR_West
185	1985	125.25	3	1	1	960	13	PP_FR_West
186	1986	167.1875	3	1	1	957	13	PP_FR_West
187	1987	144.3125	3	1	1	960	13	PP_FR_West
188	1988	182.4375	3	1	1	1047	13	PP_FR_West
189	1989	171	3	1	1	977	13	PP_FR_West
190	1990	193.875	3	1	1	1043	13	PP_FR_West
191	1991	121.4375	3	1	1	933	13	PP_FR_West
192	1992	205.3125	3	1	1	980	13	PP_FR_West
193	1993	159.5625	3	1	1	977	13	PP_FR_West
194	1994	251.0625	3	1	1	1013	13	PP_FR_West
195	1995	212.9375	3	1	1	1023	13	PP_FR_West
196	1996	304.4375	3	1	1	875	13	PP_FR_West
197	1997	308.25	3	1	1	966	13	PP_FR_West
198	1998	190.0625	3	1	1	1055	13	PP_FR_West
199	1999	270.125	3	1	1	1057	13	PP_FR_West
200	2000	212.9375	3	1	1	1034	13	PP_FR_West
201	2001	174.8125	3	1	1	1033	13	PP_FR_West
202	2002	231.9375	3	1	1	1000	13	PP_FR_West
203	2003	190.0625	3	1	1	1004	13	PP_FR_West
204	1975	532.5	3	1	2	933	14	PP_FR_Mid
205	1976	553.5	3	1	2	877	14	PP_FR_Mid
206	1977	548.25	3	1	2	963	14	PP_FR_Mid
207	1978	527.25	3	1	2	957	14	PP_FR_Mid
208	1979	543	3	1	2	967	14	PP_FR_Mid
209	1980	522	3	1	2	990	14	PP_FR_Mid
210	1981	490.5	3	1	2	1027	14	PP_FR_Mid
211	1982	511.5	3	1	2	990	14	PP_FR_Mid
212	1983	501	3	1	2	1053	14	PP_FR_Mid
213	1984	522	3	1	2	953	14	PP_FR_Mid
214	1985	495.75	3	1	2	960	14	PP_FR_Mid
215	1986	495.75	3	1	2	957	14	PP_FR_Mid
216	1987	469.5	3	1	2	960	14	PP_FR_Mid
217	1988	401.25	3	1	2	1047	14	PP_FR_Mid
218	1989	490.5	3	1	2	977	14	PP_FR_Mid
219	1990	385.5	3	1	2	1043	14	PP_FR_Mid
220	1991	453.75	3	1	2	933	14	PP_FR_Mid
221	1992	406.5	3	1	2	980	14	PP_FR_Mid
222	1993	380.25	3	1	2	977	14	PP_FR_Mid
223	1994	474.75	3	1	2	1013	14	PP_FR_Mid
224	1995	380.25	3	1	2	1023	14	PP_FR_Mid
225	1996	627	3	1	2	875	14	PP_FR_Mid
226	1997	590.25	3	1	2	966	14	PP_FR_Mid
227	1998	375	3	1	2	1055	14	PP_FR_Mid
228	1999	621.75	3	1	2	1057	14	PP_FR_Mid
229	2000	553.5	3	1	2	1034	14	PP_FR_Mid
230	2001	522	3	1	2	1033	14	PP_FR_Mid
231	2002	564	3	1	2	1000	14	PP_FR_Mid
232	2003	600.75	3	1	2	1004	14	PP_FR_Mid
233	1975	125	3	1	3	933	15	PP_FR_East
234	1976	111	3	1	3	877	15	PP_FR_East
235	1977	132	3	1	3	963	15	PP_FR_East
236	1978	160	3	1	3	957	15	PP_FR_East
237	1979	174	3	1	3	967	15	PP_FR_East
238	1980	97	3	1	3	990	15	PP_FR_East
239	1981	90	3	1	3	1027	15	PP_FR_East
240	1982	90	3	1	3	990	15	PP_FR_East
241	1983	97	3	1	3	1053	15	PP_FR_East
242	1984	104	3	1	3	953	15	PP_FR_East
243	1985	62	3	1	3	960	15	PP_FR_East
244	1986	83	3	1	3	957	15	PP_FR_East
245	1987	76	3	1	3	960	15	PP_FR_East
246	1988	90	3	1	3	1047	15	PP_FR_East
247	1989	83	3	1	3	977	15	PP_FR_East
248	1990	118	3	1	3	1043	15	PP_FR_East
249	1991	111	3	1	3	933	15	PP_FR_East
250	1992	111	3	1	3	980	15	PP_FR_East
251	1993	111	3	1	3	977	15	PP_FR_East
252	1994	160	3	1	3	1013	15	PP_FR_East
253	1995	118	3	1	3	1023	15	PP_FR_East
254	1996	181	3	1	3	875	15	PP_FR_East
255	1997	160	3	1	3	966	15	PP_FR_East
256	1998	167	3	1	3	1055	15	PP_FR_East
257	1999	132	3	1	3	1057	15	PP_FR_East
258	2000	90	3	1	3	1034	15	PP_FR_East
259	2001	97	3	1	3	1033	15	PP_FR_East
260	2002	132	3	1	3	1000	15	PP_FR_East
261	2003	146	3	1	3	1004	15	PP_FR_East
