Sample	Parrot	CoralRichness	CoralTotal	Month	Station	Method
90	5.20	8	3.81	5	2	2
91	4.40	8	3.81	5	2	2
92	11.60	9	6.00	14	2	2
93	12.40	9	6.00	14	2	2
94	2.80	9	6.00	14	2	2
95	4.40	9	6.00	14	2	2
96	1.20	9	6.00	14	2	2
97	1.20	9	6.00	14	2	2
98	9.20	9	6.10	17	2	2
99	4.80	9	6.10	17	2	2
100	7.60	10	8.52	19	2	2
101	6.80	10	8.52	19	2	2
102	7.20	10	8.52	19	2	2
103	8.00	10	8.52	19	2	2
104	8.40	5	18.20	20	2	2
105	4.80	5	18.20	20	2	2
106	3.82	5	0.90	5	3	1
107	7.64	5	0.90	5	3	1
108	5.09	5	0.90	5	3	1
109	3.82	5	0.90	5	3	1
110	0.00	5	0.90	8	3	1
111	0.00	5	0.90	8	3	1
112	0.00	5	0.90	8	3	1
113	0.40	5	0.90	2	3	2
114	0.80	5	0.90	2	3	2
115	0.00	5	0.90	2	3	2
116	0.40	5	0.90	2	3	2
117	1.20	5	0.90	2	3	2
118	4.00	5	0.90	2	3	2
119	0.00	5	0.90	5	3	2
120	1.20	5	0.90	5	3	2
121	2.40	5	0.90	5	3	2
122	1.20	5	0.90	8	3	2
123	0.40	5	0.90	8	3	2
124	2.40	6	6.20	17	3	2
125	1.20	6	6.20	17	3	2
126	1.27	4	2.77	5	4	1
127	0.00	4	2.77	5	4	1
128	0.00	4	2.77	5	4	1
129	0.00	4	2.77	5	4	1
130	0.00	4	2.77	5	4	1
131	3.82	4	2.77	5	4	1
132	28.01	4	2.77	5	4	1
133	7.64	4	2.77	5	4	1
134	2.55	7	2.04	11	4	1
135	1.27	7	2.04	11	4	1
136	1.27	7	2.04	11	4	1
137	2.55	7	2.04	11	4	1
138	3.82	7	2.04	11	4	1
139	0.00	7	2.04	11	4	1
140	5.09	7	2.04	11	4	1
141	0.00	7	2.04	11	4	1
142	1.27	7	2.04	11	4	1
143	0.00	7	2.04	11	4	1
144	0.00	4	2.77	2	4	2
145	1.20	4	2.77	2	4	2
146	0.80	4	2.77	2	4	2
147	0.00	4	2.77	2	4	2
148	0.40	4	2.77	2	4	2
149	0.00	4	2.77	2	4	2
150	0.00	4	2.77	5	4	2
151	2.00	4	2.77	5	4	2
152	21.60	4	2.77	5	4	2
153	0.00	4	2.77	5	4	2
154	7.20	4	2.77	5	4	2
155	0.80	7	2.04	14	4	2
156	4.00	7	2.04	14	4	2
157	1.20	7	2.04	14	4	2
158	0.80	7	2.04	14	4	2
159	0.00	7	2.04	14	4	2
160	0.40	7	2.04	14	4	2
161	15.28	6	2.13	5	5	1
162	16.55	6	2.13	5	5	1
163	10.19	6	2.13	5	5	1
164	16.55	6	2.13	5	5	1
165	35.65	15	4.76	7	5	1
166	12.73	15	4.76	7	5	1
167	2.40	6	2.13	2	5	2
168	0.40	6	2.13	2	5	2
169	0.00	6	2.13	2	5	2
170	6.00	6	2.13	2	5	2
171	5.20	6	2.13	2	5	2
172	3.20	6	2.13	2	5	2
173	4.80	6	2.13	5	5	2
174	5.60	6	2.13	5	5	2
175	0.00	6	2.13	5	5	2
176	0.00	6	2.13	5	5	2
177	1.20	6	2.13	5	5	2
178	7.20	15	4.76	7	5	2
179	3.20	15	4.76	7	5	2
180	4.00	15	4.76	8	5	2
181	1.60	15	4.76	8	5	2
182	3.20	15	4.76	8	5	2
183	5.20	15	4.76	8	5	2
184	12.80	10	8.63	14	5	2
185	5.60	10	8.63	14	5	2
186	10.00	10	8.63	14	5	2
187	6.80	10	8.63	14	5	2
188	14.80	10	8.63	14	5	2
189	15.60	10	8.63	14	5	2
190	29.28	5	7.60	5	6	1
191	14.01	5	7.60	5	6	1
192	20.37	5	7.60	5	6	1
193	8.91	5	7.60	5	6	1
194	22.92	11	3.21	8	6	1
195	16.55	11	3.21	8	6	1
196	8.91	11	3.21	8	6	1
197	8.91	11	3.21	8	6	1
198	25.46	11	3.21	8	6	1
199	5.09	11	3.21	8	6	1
200	16.55	11	3.21	8	6	1
201	11.46	11	3.21	8	6	1
202	6.37	11	3.21	10	6	1
203	8.91	24	0.22	10	6	1
204	9.60	8	5.15	2	6	2
205	6.00	8	5.15	2	6	2
206	3.20	8	5.15	2	6	2
207	5.20	5	7.60	5	6	2
208	3.60	5	7.60	5	6	2
209	12.40	5	7.60	5	6	2
210	14.80	5	7.60	5	6	2
211	2.40	11	3.21	8	6	2
212	2.80	11	3.21	8	6	2
213	4.00	11	3.21	8	6	2
214	3.60	11	3.21	8	6	2
215	7.20	11	3.21	8	6	2
216	4.80	11	3.21	8	6	2
217	6.00	11	8.93	13	6	2
218	6.40	11	8.93	13	6	2
219	11.20	11	8.93	13	6	2
220	7.20	11	8.93	13	6	2
221	8.80	11	8.93	13	6	2
222	14.00	11	8.93	13	6	2
223	26.80	14	7.24	14	6	2
224	6.80	14	7.24	14	6	2
225	4.00	14	7.24	14	6	2
226	6.40	14	7.24	14	6	2
227	13.20	14	7.24	14	6	2
228	9.20	14	7.24	14	6	2
229	6.80	3	6.50	17	6	2
230	8.00	3	6.50	17	6	2
231	5.20	3	6.50	17	6	2
232	2.40	3	6.50	17	6	2
233	0.80	3	6.50	17	6	2
234	0.00	3	6.50	17	6	2
235	6.40	3	6.50	17	6	2
236	6.40	3	6.50	17	6	2
237	3.60	3	6.50	17	6	2
238	1.60	3	6.50	17	6	2
239	3.60	8	6.60	19	6	2
240	8.00	8	6.60	19	6	2
241	7.60	8	6.60	20	6	2
242	7.64	9	8.17	5	7	1
243	20.37	9	8.17	5	7	1
244	8.91	9	8.17	5	7	1
245	16.55	9	8.17	5	7	1
246	21.65	14	7.39	8	7	1
247	3.82	14	7.39	8	7	1
248	10.19	14	7.39	8	7	1
249	12.73	14	7.39	8	7	1
250	10.19	14	7.39	8	7	1
251	20.37	14	7.39	8	7	1
252	16.55	12	6.80	10	7	1
253	10.19	12	6.80	10	7	1
254	2.55	12	6.80	10	7	1
255	2.55	12	6.80	10	7	1
256	33.10	12	6.80	10	7	1
257	25.46	12	6.80	10	7	1
258	24.19	12	6.80	10	7	1
259	0.00	12	6.80	10	7	1
260	3.82	12	6.80	10	7	1
261	8.91	12	6.80	10	7	1
262	16.55	12	6.80	10	7	1
263	11.46	12	6.80	10	7	1
264	14.01	12	6.80	10	7	1
265	14.01	12	6.80	10	7	1
266	48.38	12	6.80	10	7	1
267	16.55	12	6.80	10	7	1
268	9.20	9	8.17	5	7	2
269	0.00	9	8.17	5	7	2
270	0.00	9	8.17	5	7	2
271	11.20	9	8.17	5	7	2
272	8.00	9	8.17	5	7	2
273	8.80	14	7.39	8	7	2
274	5.60	14	7.39	8	7	2
275	6.00	14	7.39	8	7	2
276	6.00	14	7.39	8	7	2
277	16.00	14	7.39	8	7	2
278	9.20	14	7.39	8	7	2
279	3.20	14	7.39	8	7	2
280	4.40	10	15.02	13	7	2
281	4.00	10	15.02	13	7	2
282	4.40	10	15.02	13	7	2
283	5.60	10	15.02	13	7	2
284	8.80	10	15.02	13	7	2
285	5.20	10	15.02	13	7	2
286	24.00	10	15.02	13	7	2
287	5.20	10	15.02	13	7	2
288	4.80	10	15.02	13	7	2
289	9.60	10	15.02	13	7	2
290	3.20	10	15.02	13	7	2
291	7.20	10	15.02	13	7	2
292	11.20	10	15.02	13	7	2
293	7.20	10	15.02	14	7	2
294	6.00	10	15.02	14	7	2
295	8.80	10	15.02	14	7	2
296	10.40	10	15.02	14	7	2
297	21.20	10	15.02	14	7	2
298	4.80	10	15.02	14	7	2
299	6.40	10	15.02	14	7	2
300	9.60	10	15.02	14	7	2
301	7.20	10	15.02	14	7	2
302	3.60	10	15.02	14	7	2
303	1.60	10	15.02	14	7	2
304	14.80	10	15.76	19	7	2
305	8.80	10	15.76	19	7	2
306	7.60	10	15.76	19	7	2
307	3.60	10	15.76	19	7	2
308	11.60	10	12.70	20	7	2
309	14.40	10	12.70	20	7	2
310	4.00	9	8.17	2	7	2
311	4.00	9	8.17	2	7	2
312	2.00	9	8.17	2	7	2
313	3.60	9	8.17	2	7	2
314	4.00	9	8.17	2	7	2
315	3.20	9	8.17	2	7	2
316	2.00	9	8.17	2	7	2
317	7.64	6	1.90	5	8	1
318	6.37	6	1.90	5	8	1
319	24.19	6	1.90	5	8	1
320	17.83	6	1.90	5	8	1
321	1.60	6	1.90	2	8	2
322	4.80	6	1.90	2	8	2
323	0.80	6	1.90	2	8	2
324	0.40	6	1.90	2	8	2
325	4.00	6	1.90	5	8	2
326	14.80	6	1.90	5	8	2
327	4.00	6	1.90	5	8	2
328	25.46	10	3.17	5	9	1
329	7.64	10	3.17	5	9	1
330	16.55	10	3.17	5	9	1
331	14.01	10	3.17	5	9	1
332	34.38	14	2.65	8	9	1
333	24.19	14	2.65	8	9	1
334	12.73	14	2.65	8	9	1
335	40.74	9	1.50	11	9	1
336	49.66	9	1.50	11	9	1
337	26.74	9	1.50	11	9	1
338	26.74	9	1.50	11	9	1
339	47.11	9	1.50	11	9	1
340	15.28	9	1.50	11	9	1
341	1.60	10	3.17	2	9	2
342	1.60	10	3.17	2	9	2
343	1.20	10	3.17	2	9	2
344	1.20	10	3.17	2	9	2
345	10.80	10	3.17	5	9	2
346	14.40	10	3.17	5	9	2
347	9.20	10	3.17	5	9	2
348	15.20	10	3.17	5	9	2
349	3.20	10	3.17	5	9	2
350	9.20	14	2.65	8	9	2
351	14.40	14	2.65	8	9	2
352	18.00	12	9.90	13	9	2
353	4.40	12	9.90	13	9	2
354	14.80	12	9.90	13	9	2
355	18.40	12	9.90	13	9	2
356	18.00	12	9.90	13	9	2
357	4.40	12	9.90	13	9	2
358	6.40	4	7.70	14	9	2
359	6.00	4	7.70	14	9	2
360	12.00	4	7.70	14	9	2
361	3.20	4	7.70	14	9	2
362	8.40	4	3.30	20	9	2
363	4.80	4	3.30	20	9	2
364	16.55	10	5.52	5	10	1
365	10.19	10	5.52	5	10	1
366	28.01	10	5.52	5	10	1
367	24.19	10	5.52	5	10	1
368	22.92	10	5.69	7	10	1
369	10.19	10	5.69	7	10	1
370	29.28	10	7.03	10	10	1
371	20.37	9	7.97	11	10	1
372	49.66	9	7.97	11	10	1
373	56.02	9	7.97	11	10	1
374	17.83	9	7.97	11	10	1
375	8.91	9	7.97	11	10	1
376	11.46	9	7.97	11	10	1
377	25.46	9	7.97	11	10	1
378	7.60	10	5.52	2	10	2
379	4.40	10	5.52	2	10	2
380	6.80	10	5.52	2	10	2
381	3.20	10	5.52	2	10	2
382	0.00	10	5.52	5	10	2
383	16.40	10	5.52	5	10	2
384	8.00	10	5.52	5	10	2
385	6.80	10	5.52	5	10	2
386	2.80	10	5.69	7	10	2
387	9.20	10	5.69	7	10	2
388	10.40	10	5.69	7	10	2
389	2.00	10	5.69	7	10	2
390	2.80	10	5.69	7	10	2
391	14.80	10	13.24	13	10	2
392	2.00	7	15.33	14	10	2
393	5.20	7	15.33	14	10	2
394	9.60	7	15.33	14	10	2
395	13.60	7	15.33	14	10	2
396	12.40	7	15.33	14	10	2
397	10.00	9	12.53	17	10	2
398	6.40	9	12.53	17	10	2
399	12.00	9	12.53	17	10	2
400	4.80	9	12.53	17	10	2
401	5.20	9	12.53	17	10	2
402	6.40	9	12.53	17	10	2
