Families	Pasture	ac	am	ara	as	bo	ca	co	com	con	cu	cy	eu	grcyn	grresto	had	hsch	hse	hth	ir	la	le	ma	my	ox	pi	ru	rut	sa	scr	so	vi	vit	B1	B2	B3	Block	ALTITUDE	AGE 	CATTLEINTENSITY 	FIELDSLOPE	WEEDINGFRECUENCYIND	PLAGUE	BAREDSOIL 	MINVEGHEIGHT	MAXVEGHEIGHT
p4c1	4	0	0	0	0	0	0	1	1	0	0	1	0	5	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	10	25
p4c10	4	0	0	0	0	0	0	0	1	1	0	2	1	4	4	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	20	70
p4c2	4	0	0	0	0	0	0	1	1	1	0	1	1	5	5	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	10	55
p4c3	4	0	0	0	0	0	0	0	1	1	0	3	1	6	4	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	20	50
p4c4	4	0	0	0	0	0	0	0	1	0	0	2	1	6	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	20	60
p4c5	4	0	0	0	0	0	0	0	0	0	0	1	1	6	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	20	40
p4c6	4	0	0	0	0	0	0	0	0	0	0	2	0	6	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	20	80
p4c7	4	0	0	0	0	0	0	1	1	0	0	2	0	5	6	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	30	60
p4c8	4	0	0	0	0	0	0	0	0	1	0	3	1	4	4	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	5	40
p4c9	4	0	0	0	0	0	0	0	0	0	0	2	1	6	3	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	20	45
p5c1	5	0	0	0	0	0	0	4	0	0	0	0	0	4	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	35	65
p5c10	5	0	0	0	0	0	0	3	0	0	0	0	0	5	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	35	65
p5c2	5	0	0	0	0	0	0	2	2	1	0	0	1	6	3	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	45	70
p5c3	5	0	1	0	0	0	0	6	3	0	0	1	2	4	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	20	70
p5c4	5	0	0	0	0	0	0	2	0	2	0	1	2	6	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	25	75
p5c5	5	0	0	0	0	0	0	2	0	0	0	1	1	5	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	3	20	70
p5c6	5	0	0	0	0	0	0	4	1	0	0	1	1	0	1	0	0	0	0	0	3	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	3	2	60
p5c7	5	0	0	0	0	0	0	5	1	1	0	1	2	1	4	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	20	85
p5c8	5	0	0	0	0	0	0	3	0	1	0	0	1	4	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	170	2	25	0	2	0	0	30	85
p5c9	5	0	0	0	0	0	0	5	3	0	0	0	2	2	4	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	4	170	2	25	0	2	0	2	10	55
p6c1	6	2	0	0	1	0	0	2	0	0	0	3	1	0	6	0	0	0	0	0	2	3	1	0	1	0	1	0	0	0	0	0	0	0	0	1	3	136	6	3.5	16	3	1	0	2	25
p6c10	6	2	0	0	1	0	0	0	0	0	0	4	1	0	5	0	0	0	0	0	4	4	3	0	0	0	1	0	0	0	0	0	1	0	0	1	3	136	6	3.5	16	3	1	0	1	30
p6c2	6	1	0	0	0	0	0	1	0	1	0	3	2	0	5	0	0	0	0	0	3	3	2	0	0	0	1	0	0	0	1	0	2	0	0	1	3	136	6	3.5	16	3	1	0	5	35
p6c3	6	1	0	0	1	0	0	2	0	0	0	3	1	0	5	0	0	0	0	0	3	5	1	0	0	0	1	0	0	1	0	0	1	0	0	1	3	136	6	3.5	16	3	1	0	3	30
p6c4	6	2	0	0	0	0	0	1	0	0	0	2	1	0	6	0	0	0	0	0	1	3	2	0	1	0	1	0	0	1	1	0	1	0	0	1	3	136	6	3.5	16	3	1	0	2	25
p6c5	6	3	0	0	1	0	0	1	0	0	0	4	1	1	6	0	0	0	0	0	4	3	2	0	0	0	1	0	0	0	1	0	2	0	0	1	3	136	6	3.5	16	3	1	0	5	40
p6c6	6	2	0	0	0	0	0	1	0	0	0	3	1	0	6	0	0	0	0	0	2	4	1	0	0	0	1	0	0	1	0	0	0	0	0	1	3	136	6	3.5	16	3	1	0	2	20
p6c7	6	1	0	0	1	0	0	0	0	0	0	3	1	0	6	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	2	0	0	1	3	136	6	3.5	16	3	1	0	2	30
p6c8	6	1	0	0	0	0	0	2	0	0	1	4	1	0	6	0	0	0	0	0	2	4	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	136	6	3.5	16	3	1	0	5	30
p6c9	6	1	0	0	0	0	0	1	0	0	0	3	1	1	6	0	0	0	0	0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	136	6	3.5	16	3	1	0	2	30
p7c1	7	0	0	0	0	0	0	0	0	0	1	3	1	0	3	0	0	0	0	1	4	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	0	2	25
p7c10	7	0	0	0	0	0	0	1	0	0	0	2	1	0	5	0	0	0	0	0	4	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	1	1	35
p7c2	7	0	0	0	0	0	0	0	1	0	0	2	1	0	4	0	0	0	0	0	4	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	1	1	20
p7c3	7	0	0	0	0	0	0	1	1	0	0	4	1	0	5	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	0	2	25
p7c4	7	0	0	0	0	0	0	1	0	0	0	2	1	0	4	0	0	0	0	0	4	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	0	2	35
p7c5	7	0	0	0	0	0	0	0	0	0	0	2	1	1	4	0	0	0	0	0	4	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	1	1	25
p7c6	7	0	0	0	0	0	0	0	0	0	0	3	2	0	4	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	0	1	30
p7c7	7	0	0	0	0	0	0	0	0	0	0	2	1	0	6	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	0	1	30
p7c8	7	0	0	0	0	0	0	1	1	0	0	3	1	0	5	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	0	1	35
p7c9	7	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	98	8	25	0	NA	1	0	2	30
p8c1	8	1	0	0	0	0	0	0	0	0	0	2	1	2	4	0	0	0	0	0	3	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	112	5	25	0	3	0	0	2	35
p8c10	8	1	0	0	0	0	0	1	0	0	0	2	1	3	6	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	1	1	0	0	0	4	112	5	25	0	3	0	0	1	30
p8c2	8	0	0	0	0	0	0	1	0	0	0	2	1	3	3	0	0	0	0	0	3	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	4	112	5	25	0	3	0	0	2	35
p8c3	8	0	1	0	0	0	0	0	0	0	0	3	1	4	5	0	0	0	0	0	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	112	5	25	0	3	0	0	2	30
p8c4	8	0	0	0	0	0	0	0	0	0	0	2	1	4	5	0	0	0	0	0	4	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	4	112	5	25	0	3	0	0	2	35
p8c5	8	0	0	0	0	0	0	1	0	0	0	3	1	5	3	0	0	0	0	0	3	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	4	112	5	25	0	3	0	0	5	40
p8c6	8	0	0	0	0	0	0	2	1	0	0	2	1	3	3	0	0	0	0	0	5	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	4	112	5	25	0	3	0	0	2	35
p8c7	8	0	0	0	0	0	0	0	0	0	0	2	1	6	4	0	0	0	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	112	5	25	0	3	0	0	15	50
p8c8	8	0	1	0	1	0	0	1	0	0	0	2	1	4	4	0	0	0	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	112	5	25	0	3	0	0	5	35
p8c9	8	0	0	0	0	0	0	1	0	0	0	2	0	4	4	0	0	0	0	0	3	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	112	5	25	0	3	0	0	2	35
p9c1	9	2	0	0	0	0	0	1	0	0	0	3	0	5	3	0	0	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4	382	3	25	13	NA	0	0	5	50
p9c10	9	1	0	0	1	0	0	0	0	0	0	2	1	6	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	382	3	25	13	NA	0	0	25	50
p9c2	9	3	0	0	1	0	0	1	0	0	0	2	1	6	2	0	0	0	0	0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	382	3	25	13	NA	0	0	15	45
p9c3	9	1	0	0	1	0	0	1	0	0	0	2	1	6	3	0	0	0	0	0	2	2	1	0	0	0	1	0	0	1	1	0	0	0	0	0	4	382	3	25	13	NA	0	0	10	45
p9c4	9	1	0	0	0	0	0	0	0	0	0	2	0	6	2	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	4	382	3	25	13	NA	0	1	2	50
p9c5	9	1	0	0	1	0	0	0	0	0	0	3	0	6	2	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	382	3	25	13	NA	0	0	10	55
p9c6	9	1	0	0	0	0	0	1	0	0	0	2	0	5	3	0	0	1	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	382	3	25	13	NA	0	1	2	35
p9c7	9	1	0	0	0	0	0	0	0	0	0	3	0	6	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	4	382	3	25	13	NA	0	0	25	45
p9c8	9	1	0	0	1	0	0	0	0	0	0	2	1	4	4	0	0	0	0	0	1	3	1	0	0	0	1	0	0	1	1	0	0	0	0	0	4	382	3	25	13	NA	0	0	2	40
p9c9	9	1	0	0	0	0	0	1	0	0	0	3	0	6	2	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	4	382	3	25	13	NA	0	0	5	40
p10c1	10	1	0	0	1	0	0	2	0	0	0	3	1	4	6	0	0	1	0	0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	320	4	12	13	3	1	0	2	45
p10c10	10	1	0	0	1	0	0	1	0	0	0	3	1	4	6	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	4	320	4	12	13	3	1	0	2	50
p10c2	10	1	0	0	0	0	1	1	0	0	0	2	1	4	4	0	0	1	0	0	2	1	2	0	1	0	2	1	0	0	0	1	0	0	0	0	4	320	4	12	13	3	1	0	2	40
p10c3	10	1	0	0	0	0	0	2	0	0	0	2	1	4	3	0	0	0	0	0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	320	4	12	13	3	1	0	2	40
p10c4	10	1	0	0	1	0	0	2	0	0	0	2	1	3	3	0	0	2	0	0	2	3	1	1	1	0	1	0	0	1	0	0	0	0	0	0	4	320	4	12	13	3	1	1	2	40
p10c5	10	1	0	0	1	0	0	2	0	0	0	3	1	3	5	0	0	1	0	0	3	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	4	320	4	12	13	3	1	2	2	30
p10c6	10	1	0	0	1	0	0	2	0	0	0	4	1	3	4	0	0	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	320	4	12	13	3	1	0	2	35
p10c7	10	1	0	0	1	0	0	1	0	0	0	2	1	3	4	0	0	0	0	0	2	2	1	0	0	0	1	1	0	1	0	0	0	0	0	0	4	320	4	12	13	3	1	0	2	35
p10c8	10	1	0	0	0	0	0	2	0	0	0	2	1	3	6	0	0	1	0	0	2	2	1	1	0	0	1	0	0	1	0	1	0	0	0	0	4	320	4	12	13	3	1	0	2	30
p10c9	10	1	0	0	1	0	0	2	0	0	0	4	1	3	3	0	0	1	0	0	3	2	1	0	1	1	1	0	0	1	0	0	0	0	0	0	4	320	4	12	13	3	1	0	2	30
p11c1	11	1	0	0	1	0	0	1	0	0	0	2	1	0	6	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	3	168	7	20	15.5	3	1	2	1	10
p11c10	11	1	0	0	1	0	0	1	0	0	0	2	1	0	5	0	0	0	0	0	2	2	2	0	0	0	1	0	0	1	0	0	0	0	0	1	3	168	7	20	15.5	3	1	3	1	10
p11c2	11	1	0	0	1	0	0	1	0	0	0	1	1	0	6	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	3	168	7	20	15.5	3	1	0	1	10
p11c3	11	0	0	0	0	0	0	1	0	0	0	2	0	0	6	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	3	168	7	20	15.5	3	1	0	1	20
p11c4	11	1	0	0	1	0	0	1	0	0	0	2	1	0	6	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	168	7	20	15.5	3	1	0	1	10
p11c5	11	0	0	0	0	0	0	1	0	0	0	1	0	0	6	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	168	7	20	15.5	3	1	0	1	10
p11c6	11	1	0	0	1	0	0	1	0	0	0	2	1	0	6	0	0	0	0	0	2	1	1	0	1	0	2	0	0	1	1	0	0	0	0	1	3	168	7	20	15.5	3	1	0	1	10
p11c7	11	1	0	0	1	0	1	2	1	0	0	1	1	0	6	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	3	168	7	20	15.5	3	1	0	1	10
p11c8	11	1	0	0	1	0	0	1	0	0	0	2	1	0	6	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	3	168	7	20	15.5	3	1	0	1	20
p11c9	11	0	0	0	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	3	168	7	20	15.5	3	1	3	1	10
p12c1	12	0	0	0	0	0	0	1	0	0	0	0	1	3	6	0	0	0	0	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	104	6	8	0	3	1	0	1	40
p12c10	12	1	0	0	0	0	0	1	0	1	0	1	1	3	5	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	104	6	8	0	3	1	0	2	30
p12c2	12	1	0	0	1	0	0	0	0	1	0	1	1	3	6	0	0	0	0	0	2	2	2	0	0	0	1	0	0	1	0	0	0	0	0	1	3	104	6	8	0	3	1	0	2	40
p12c3	12	0	0	0	0	0	0	1	0	0	0	1	1	3	5	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	104	6	8	0	3	1	2	2	0
p12c4	12	0	0	0	0	0	0	1	0	0	0	2	1	4	6	0	0	0	0	0	2	2	1	0	0	0	1	0	0	1	0	0	0	0	0	1	3	104	6	8	0	3	1	0	2	45
p12c5	12	0	0	0	0	0	0	1	0	0	0	1	1	3	5	0	0	0	0	0	3	2	1	0	0	0	1	0	0	1	0	0	0	0	0	1	3	104	6	8	0	3	1	0	2	30
p12c6	12	0	0	0	0	0	0	1	0	0	0	1	1	3	6	0	0	0	0	0	2	2	1	0	0	0	1	0	0	1	0	0	0	0	0	1	3	104	6	8	0	3	1	0	2	35
p12c7	12	0	0	0	0	0	0	0	0	0	0	0	1	4	6	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	104	6	8	0	3	1	0	2	40
p12c8	12	1	0	0	0	0	0	1	0	0	0	1	1	1	6	0	0	0	0	0	1	4	1	0	0	0	1	0	0	1	0	0	0	0	0	1	3	104	6	8	0	3	1	0	2	10
p12c9	12	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	0	1	4	3	0	0	0	1	0	0	1	0	0	0	0	0	1	3	104	6	8	0	3	1	2	2	30
p13c1	13	0	0	0	0	0	0	1	0	0	1	2	1	4	1	0	0	0	0	0	5	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	240	1	3	18	3	0	1	5	40
p13c10	13	0	1	0	0	0	0	1	0	0	0	1	1	3	1	1	0	0	0	0	6	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	2	240	1	3	18	3	0	5	10	45
p13c2	13	0	0	0	0	0	0	1	1	0	1	1	1	2	0	0	0	0	0	0	6	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	2	240	1	3	18	3	0	5	2	20
p13c3	13	0	1	0	0	0	0	1	0	0	0	1	1	5	0	0	0	0	0	0	4	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	2	240	1	3	18	3	0	1	20	50
p13c4	13	1	1	0	0	0	0	1	1	0	0	1	1	2	2	1	0	0	0	0	5	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	2	240	1	3	18	3	0	6	2	25
p13c5	13	0	1	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	1	0	4	1	0	0	0	2	1	0	0	0	1	0	1	0	1	0	2	240	1	3	18	3	0	3	10	50
p13c6	13	0	1	0	0	0	0	1	0	0	0	1	1	4	2	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	2	240	1	3	18	3	0	3	15	45
p13c7	13	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	240	1	3	18	3	0	5	10	50
p13c8	13	0	1	1	0	0	0	3	0	0	0	0	1	3	1	1	0	0	0	0	4	1	1	0	0	1	1	0	0	0	1	0	1	0	1	0	2	240	1	3	18	3	0	5	2	45
p13c9	13	0	1	0	0	0	0	1	0	0	0	2	0	2	0	0	1	0	0	0	5	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	240	1	3	18	3	0	2	5	30
p14c1	14	0	0	0	0	0	0	1	0	0	0	2	1	2	3	0	0	0	0	0	6	1	0	0	0	1	1	0	0	0	1	0	1	1	0	0	1	196	3	10	19	3	1	2	5	40
p14c10	14	1	0	0	0	0	0	0	0	0	0	2	1	2	2	0	1	0	1	0	6	1	1	0	0	2	1	1	0	0	0	0	0	1	0	0	1	196	3	10	19	3	1	1	10	50
p14c2	14	1	0	0	0	0	0	0	1	0	0	2	2	0	3	0	0	0	0	0	5	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	196	3	10	19	3	1	2	2	20
p14c3	14	1	0	0	0	0	0	0	0	0	1	1	1	2	2	0	1	0	1	0	6	1	2	0	0	1	1	0	1	0	0	0	1	1	0	0	1	196	3	10	19	3	1	1	2	55
p14c4	14	1	0	0	0	0	0	0	1	0	0	2	1	2	3	0	0	0	0	0	6	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	196	3	10	19	3	1	1	5	30
p14c5	14	1	0	0	0	0	0	0	0	0	0	2	1	1	5	0	0	0	0	0	4	2	1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	196	3	10	19	3	1	1	2	30
p14c6	14	1	0	0	0	0	0	1	1	0	0	2	1	1	2	0	0	0	0	0	6	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	196	3	10	19	3	1	1	2	25
p14c7	14	1	0	0	0	0	0	0	0	0	0	2	1	1	4	0	0	0	0	0	4	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	196	3	10	19	3	1	2	2	30
p14c8	14	0	0	2	0	0	0	1	1	0	1	2	1	1	2	0	0	0	1	0	5	1	1	0	0	2	0	0	0	0	0	0	1	1	0	0	1	196	3	10	19	3	1	2	10	50
p14c9	14	1	0	1	0	0	0	0	0	0	1	1	1	2	2	0	0	0	0	0	6	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	196	3	10	19	3	1	1	10	35
p15c1	15	1	0	1	0	0	0	0	0	0	1	2	1	4	2	0	0	0	0	0	4	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	2	208	2	5	12	3	1	0	2	35
p15c10	15	0	0	1	0	0	0	0	0	0	1	3	1	4	3	0	0	1	1	0	4	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	208	2	5	12	3	1	0	5	40
p15c2	15	1	0	0	0	0	0	0	1	0	0	1	1	5	4	0	0	0	0	0	3	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	2	208	2	5	12	3	1	0	10	25
p15c3	15	1	0	0	0	0	0	0	0	0	0	2	1	4	3	0	0	0	0	0	6	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	208	2	5	12	3	1	0	5	40
p15c4	15	0	0	1	0	0	0	0	0	0	1	4	0	4	3	0	0	0	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	208	2	5	12	3	1	0	10	35
p15c5	15	0	0	0	0	0	0	0	0	0	0	1	1	4	2	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	208	2	5	12	3	1	0	10	40
p15c6	15	0	0	1	0	0	0	0	0	0	0	3	1	5	3	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	208	2	5	12	3	1	0	10	45
p15c7	15	1	0	0	0	0	0	0	0	0	1	2	1	4	5	0	1	0	1	0	4	2	0	0	0	1	1	0	0	1	0	0	0	0	1	0	2	208	2	5	12	3	1	0	5	40
p15c8	15	0	0	1	0	0	0	0	0	0	0	1	1	4	2	0	0	0	0	0	5	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	2	208	2	5	12	3	1	0	5	30
p15c9	15	1	0	0	0	0	0	1	0	0	0	3	1	4	3	0	0	0	1	0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	208	2	5	12	3	1	0	5	35
p16c1	16	0	1	0	0	0	0	0	2	0	0	1	1	4	4	0	0	0	0	0	1	2	2	0	0	0	2	0	0	1	0	1	0	0	1	0	2	146	3	12	6.6	3	1	0	10	40
p16c10	16	0	1	0	0	0	0	1	1	0	0	1	1	4	4	0	0	0	0	0	2	6	2	0	0	0	1	0	0	1	0	1	0	0	1	0	2	146	3	12	6.6	3	1	0	15	40
p16c2	16	1	0	0	0	0	0	1	1	0	0	1	1	5	4	0	0	0	0	0	2	2	2	0	0	0	1	0	0	1	0	1	0	0	1	0	2	146	3	12	6.6	3	1	0	10	40
p16c3	16	0	0	0	0	0	0	1	2	0	0	1	2	2	3	0	0	0	0	0	3	6	2	0	0	0	2	0	0	1	0	1	0	0	1	0	2	146	3	12	6.6	3	1	0	5	20
p16c4	16	0	0	0	0	0	0	1	1	0	0	2	1	1	4	0	0	0	0	0	3	4	2	0	0	0	1	0	0	1	0	0	0	0	1	0	2	146	3	12	6.6	3	1	0	5	35
p16c5	16	0	0	0	0	0	0	1	1	0	0	1	2	4	4	0	0	0	0	0	3	3	4	0	0	0	1	0	0	0	0	0	0	0	1	0	2	146	3	12	6.6	3	1	0	5	35
p16c6	16	0	0	0	0	0	0	1	1	0	0	1	1	0	4	0	0	0	0	0	4	6	3	0	0	0	1	0	0	1	0	0	0	0	1	0	2	146	3	12	6.6	3	1	0	2	20
p16c7	16	1	0	0	1	0	0	1	2	0	0	1	2	2	4	0	0	0	0	0	1	3	3	1	0	0	1	0	0	0	0	0	0	0	1	0	2	146	3	12	6.6	3	1	0	2	35
p16c8	16	1	0	0	1	0	0	1	1	0	0	1	1	3	5	0	0	0	0	0	2	5	3	0	0	0	0	0	0	1	0	0	0	0	1	0	2	146	3	12	6.6	3	1	0	2	35
