Period	Decade	AxisYear	Year	Observed_22_24	Trend_22_24	Observed_24_26	Trend_24_26	Observed_26_28	Trend_26_28	Observed_28_30	Trend_28_30	Observed_30_32	Trend_30_32	Observed_32_34	Trend_32_34	Observed_34_36	Trend_34_36	Observed_36_38	Trend_36_38	Observed_38_40	Trend_38_40	Observed_40_42	Trend_40_42	Observed_42_44	Trend_42_44	Observed_44_46	Trend_44_46	Observed_46_48	Trend_46_48	Observed_Bight	Trend_Bight
11	40	1946.8333	1946	24.4	22.8677	22.08	20.567	20	18.5981	19.6	17.5848	17.23	16.8786	14.88	15.6176	13.3	14.0832	10.68	13.1948	NA	12.6323	8.9	11.9426	10	11.6323	8.9	11.9226	NA	11.591	16.18	16.6324
12	40	1946.917	1946	22.66	22.8568	20.66	20.5628	19.32	18.5915	17.6	17.5708	16.44	16.8796	14.35	15.6275	13.44	14.0943	12.41	13.2276	11.38	12.6295	11.13	11.9562	10.2	11.6454	10.37	11.9385	9.07	11.5961	14.6	16.6222
13	40	1947	1947	21.83	22.8602	19.07	20.5618	16.7	18.5738	16.26	17.5636	15.6	16.8783	14.15	15.6458	13.75	14.1053	12.23	13.2452	12.46	12.6427	10.59	11.9611	9.8	11.6576	8.92	11.9442	8.12	11.6027	14.75	16.6335
14	40	1947.0833	1947	20.76	22.8528	18.38	20.5623	16.8	18.5742	15.57	17.5542	14.71	16.8601	14.49	15.6606	12.8	14.1005	12.21	13.2562	10	12.6279	10.06	11.9652	9.5	11.6693	8.67	11.9519	8.25	11.6134	14.48	16.6259
15	40	1947.167	1947	19.38	22.841	17.56	20.562	15.9	18.5656	15.6	17.5532	12.8	16.8262	15.31	15.6834	14.4	14.1154	12.14	13.265	NA	12.6356	11	11.9773	9.75	11.6806	8.62	11.9611	8.08	11.6229	15.14	16.6286
16	40	1947.25	1947	18.37	22.8257	16.93	20.5581	16.76	18.5688	16.38	17.5542	17.25	16.8832	16.51	15.6983	12.8	14.097	12.53	13.2753	11.13	12.6432	12.5	11.9879	NA	11.6919	11.1	11.9789	11.1	11.6434	15.71	16.6208
17	40	1947.3333	1947	19.72	22.8362	17.4	20.5639	16.38	18.557	15.27	17.5325	15.43	16.8495	15.48	15.6742	13.7	14.0962	12.54	13.2744	11.58	12.6474	10.94	11.9767	10.67	11.7031	13.24	11.9917	11.51	11.6482	15.61	16.6047
18	40	1947.417	1947	19.81	22.824	18.61	20.5701	17.84	18.5543	17.71	17.5467	16.91	16.8447	16.9	15.6685	14.07	14.085	13.59	13.2804	13.72	12.659	12.8	11.9824	13.98	11.7225	16.05	11.9992	15.47	11.6648	17.82	16.6116
19	40	1947.5	1947	24.26	22.8282	24	20.5904	19.06	18.5394	19.35	17.5441	18.3	16.8412	16	15.6261	14.12	14.0677	14.01	13.2766	13.82	12.6566	15.97	11.9892	15.9	11.7356	17.12	11.9999	16.34	11.6667	18.85	16.5943
20	40	1947.5833	1947	26.54	22.8166	23.78	20.5613	20.62	18.5277	20.51	17.5346	19.77	16.8394	18.33	15.6289	14.94	14.0624	15.18	13.2823	14.36	12.6516	13.3	11.9575	16.41	11.7368	17.47	11.9949	16.63	11.6615	19.7	16.5796
21	40	1947.667	1947	26.8	22.8058	23.99	20.5451	21.35	18.5145	20.51	17.5189	19.69	16.824	18.89	15.6159	16.79	14.0689	16.04	13.288	14.96	12.6498	13.61	11.9405	12.76	11.7256	12.79	11.9722	15.12	11.6566	19.81	16.5713
22	40	1947.75	1947	24.77	22.7825	23.31	20.544	20.46	18.5049	19.6	17.5056	19.15	16.8136	18.25	15.588	15.89	14.0615	15.59	13.2853	14.66	12.6484	12.12	11.9246	13.87	11.7309	12.98	11.9732	12.73	11.6516	19.05	16.5569
23	40	1947.8333	1947	21.13	22.7579	21	20.5322	19.22	18.5012	18.58	17.4974	17.65	16.7936	16.35	15.551	15.04	14.0526	11.94	13.2563	11.18	12.6281	13.2	11.9232	12.4	11.7282	12.5	11.9756	13.3	11.6589	16.88	16.5327
24	40	1947.917	1947	22.07	22.7799	19.83	20.5335	18.48	18.4981	16.12	17.4737	15.96	16.7738	13.9	15.5089	12.91	14.0345	12.8	13.2747	10.91	12.6335	10.7	11.9022	10.67	11.7237	10.75	11.9687	9.67	11.6461	14.14	16.5001
25	40	1948	1948	20.78	22.7912	19.85	20.5528	17.05	18.4985	14.84	17.4662	14.84	16.7643	13.55	15.4967	12.56	14.033	12.29	13.2831	11.25	12.6471	10.63	11.8964	10.4	11.7233	9.36	11.9634	8.49	11.6394	14.32	16.5062
26	40	1948.0833	1948	20.13	22.7969	18.58	20.5493	16.74	18.4979	15.39	17.4745	14.7	16.7586	NA	15.4813	12.27	14.031	11.86	13.2844	11.71	12.6599	9.91	11.8877	8.8	11.7179	8.9	11.9589	7.88	11.6343	13.89	16.4911
27	40	1948.167	1948	18.68	22.7971	16.94	20.5417	15.82	18.4915	15.23	17.4718	14.46	16.7479	13.21	15.4659	12.22	14.0302	11.66	13.2879	11.44	12.665	9.66	11.8818	9.41	11.7192	8.81	11.956	8.53	11.6356	14.02	16.4823
28	40	1948.25	1948	19.91	22.8118	17.02	20.5469	16.14	18.4914	15.26	17.4647	14.82	16.7323	14.34	15.4679	13.89	14.0462	11.88	13.2951	11.38	12.671	10.26	11.8814	10.11	11.7223	9.85	11.9557	9.18	11.6329	14.87	16.4772
29	40	1948.3333	1948	18.78	22.8074	17.13	20.5519	16.03	18.4861	16.45	17.4763	15.66	16.7384	15.11	15.4619	12.5	14.0252	13.14	13.3102	12.71	12.6828	11.32	11.8842	11.5	11.7252	10.81	11.9535	11.95	11.6395	16.08	16.4783
30	40	1948.417	1948	20.08	22.813	19.01	20.5664	17.5	18.4888	17.49	17.4727	16.94	16.7317	15.34	15.4397	14.21	14.0305	14.45	13.3188	14.06	12.6884	13.28	11.8886	13.73	11.728	14.68	11.9592	14.43	11.6398	16.53	16.4579
31	40	1948.5	1948	24.36	22.8289	22.58	20.5707	19.28	18.4846	18.31	17.4576	17.3	16.7066	16.54	15.4216	15.78	14.0316	15.08	13.3143	13.84	12.6826	12.95	11.8748	13.03	11.7211	15.74	11.9563	15	11.6325	16.55	16.4253
32	40	1948.5833	1948	28.7	22.8474	24.76	20.5704	20.41	18.4724	18.45	17.4362	17.96	16.6911	17.05	15.3963	15.8	14.0169	16.33	13.3137	15.53	12.6847	13.47	11.8655	16.14	11.7254	16.16	11.9508	16.52	11.6278	17.75	16.4192
33	40	1948.667	1948	27.8	22.8356	25.36	20.5627	21.31	18.4661	19.05	17.4344	18.47	16.6911	17.28	15.3755	15.77	14.0007	15.69	13.2904	15.47	12.6747	14.91	11.8616	13.68	11.7137	15.71	11.9455	15	11.6179	18.11	16.4222
34	40	1948.75	1948	26.24	22.8242	24.18	20.5578	21.07	18.4679	19.37	17.447	18.42	16.7006	17.26	15.3619	15.49	13.9976	14.67	13.2726	14.02	12.6612	12.73	11.8424	12.43	11.7047	13.42	11.9319	12.31	11.605	17.98	16.4282
35	40	1948.8333	1948	24.31	22.821	22.85	20.5571	18.6	18.4541	19.1	17.4588	17.65	16.7051	16.06	15.3444	14.75	13.9902	13.19	13.2628	13.15	12.6562	12.07	11.8298	11.36	11.699	9.61	11.9149	10.72	11.5971	17.39	16.439
36	40	1948.917	1948	23.88	22.829	21.72	20.5559	19.38	18.4726	17.79	17.458	16.35	16.7029	14.49	15.3213	12.9	13.9753	11.64	13.2428	11.72	12.6466	10.13	11.8129	10.04	11.6944	8.53	11.9097	8.1	11.5886	14.53	16.4151
37	40	1949	1949	21.55	22.8224	18.6	20.5378	16.78	18.4619	15.49	17.4406	14.45	16.6895	12.61	15.2939	12.47	13.9736	10.95	13.2411	10.54	12.6403	9.76	11.8094	9.16	11.6926	8.26	11.9121	7.89	11.59	13.33	16.4116
38	40	1949.0833	1949	19.94	22.8135	17.95	20.5373	15.85	18.4567	14.85	17.4348	13.92	16.6869	13.51	15.2958	12.12	13.9709	10.71	13.2422	10.3	12.6403	9.35	11.8091	8.71	11.6938	8.01	11.9136	7.56	11.5901	13.56	16.4166
39	40	1949.167	1949	19.28	22.8151	16.81	20.5343	15.32	18.4593	14.73	17.4364	14.6	16.7043	13.41	15.2885	12.31	13.9721	11.56	13.2591	10.7	12.6462	10.54	11.8186	9.97	11.7005	9.01	11.9211	8.18	11.5952	14.07	16.4254
40	40	1949.25	1949	18.72	22.8103	17.03	20.5402	16.04	18.4701	15.6	17.4457	15.26	16.7085	12.92	15.2731	12.61	13.9754	11.58	13.2647	11.11	12.6529	10.2	11.8186	10.23	11.7037	9.89	11.926	9.06	11.5981	14.76	16.4301
41	40	1949.3333	1949	18.21	22.8093	17.1	20.5436	16.48	18.4769	16.15	17.453	16.48	16.7304	14.22	15.2826	13.15	13.9755	12.63	13.2777	12.34	12.6612	11.82	11.8272	11.38	11.7058	11	11.9296	11.4	11.6064	16.25	16.4473
42	40	1949.417	1949	19.73	22.8184	18.99	20.556	18.12	18.4868	17.64	17.461	17.42	16.7285	15.36	15.2869	14.15	13.9752	13.77	13.2857	12.31	12.6551	11.31	11.8213	11.51	11.7033	13.67	11.9352	13.2	11.6087	17.54	16.4515
43	40	1949.5	1949	23.94	22.8313	21.23	20.544	19.29	18.4784	19.02	17.4587	18.44	16.7205	16.77	15.2832	15.05	13.9697	13.79	13.2775	11.87	12.6492	11.42	11.8195	12.79	11.7084	14.11	11.9365	14.09	11.611	18.61	16.4437
44	40	1949.5833	1949	27.01	22.8357	22.79	20.5355	20.32	18.4687	20.11	17.4545	19.31	16.7124	16.54	15.2589	14.83	13.955	15.4	13.2893	14.65	12.665	15.1	11.8401	15.37	11.7193	15.59	11.9448	16.81	11.6216	19.3	16.4367
45	40	1949.667	1949	25.96	22.8249	23.46	20.5308	21.48	18.4691	20.81	17.4542	19.61	16.7061	17.62	15.2593	15.74	13.9521	16.06	13.2918	15.3	12.6678	14.16	11.8333	14.61	11.7215	16.24	11.9545	15.46	11.622	19.65	16.4419
46	40	1949.75	1949	25.68	22.8336	23.02	20.5379	20.49	18.4665	19.17	17.4371	18.16	16.6873	17.1	15.25	14.66	13.9461	14.28	13.275	13.88	12.6626	11.75	11.8233	12.82	11.7182	13.75	11.9501	13.21	11.619	18.71	16.4359
47	40	1949.8333	1949	24.82	22.8459	22.39	20.5498	19.92	18.4787	18.52	17.4406	17.67	16.6912	16.26	15.246	15	13.9557	14.22	13.2924	13.41	12.6686	12.89	11.8351	12.34	11.7202	12.04	11.9507	12.04	11.6206	17.02	16.4304
48	40	1949.917	1949	22.27	22.8385	20.67	20.5484	18.82	18.4788	17.16	17.4385	16.49	16.6878	14.4	15.2291	13.91	13.9533	13.28	13.2879	12.7	12.6714	12.25	11.837	11.86	11.7213	11.24	11.9517	10.44	11.6204	16.16	16.4336
49	50	1950	1950	20.98	22.8468	18.92	20.5506	16.83	18.4777	15.62	17.432	14.53	16.6699	13.45	15.2216	11.8	13.938	11.5	13.2756	10.66	12.6649	10.72	11.832	8.99	11.7123	8.68	11.9452	8.33	11.6121	13.36	16.405
50	50	1950.0833	1950	20.24	22.8541	17.5	20.5486	16.03	18.4781	15.1	17.4286	14.14	16.6641	13.12	15.213	11.85	13.9422	11.54	13.2804	11.32	12.6761	9.87	11.8294	8.61	11.7123	8.29	11.9455	7.5	11.6076	13.29	16.4011
51	50	1950.167	1950	18.6	22.855	16.89	20.5569	15.45	18.4831	15.38	17.4352	14.22	16.666	13.42	15.2164	12.03	13.9476	11.64	13.2868	11.04	12.6806	9.95	11.8325	9.07	11.7162	8.47	11.9491	7.54	11.6088	13.66	16.4053
52	50	1950.25	1950	19.51	22.8726	17.24	20.5699	16.06	18.4953	15.8	17.4366	15	16.6666	13.41	15.2131	11.48	13.9474	11.01	13.2824	11.13	12.687	10.57	11.838	9.38	11.7212	9	11.953	8.3	11.6112	14.79	16.4135
53	50	1950.3333	1950	18.97	22.8798	16.3	20.5671	15.76	18.495	15.86	17.4341	15.06	16.6639	13.73	15.2118	12.17	13.9555	11.25	13.2856	10.86	12.6874	10.27	11.838	10.1	11.7268	10.05	11.9581	9.95	11.6175	14.74	16.4062
54	50	1950.417	1950	20.91	22.8956	17.22	20.5755	16.51	18.499	16.56	17.4305	15.96	16.6633	14.31	15.2127	13.09	13.9647	12.88	13.3045	12.57	12.6998	11.99	11.849	12.59	11.7387	12.57	11.967	12.03	11.6261	16.16	16.4125
55	50	1950.5	1950	23.38	22.8933	20.53	20.5836	19.13	18.5134	18.95	17.4412	18.27	16.6809	16.12	15.2242	15.06	13.9827	13.96	13.3164	13.09	12.7059	11.86	11.8496	12.18	11.7435	13.84	11.9773	14.31	11.6423	17.92	16.4176
56	50	1950.5833	1950	26.91	22.9064	23.11	20.5958	19.89	18.5071	19.08	17.4241	18.26	16.6649	16.74	15.2247	16.13	13.9928	14.69	13.3241	14	12.7115	13.66	11.8626	14.37	11.7591	16.23	11.9949	16.99	11.6591	18.57	16.4144
57	50	1950.667	1950	26.74	22.9122	23.48	20.5985	20.27	18.506	19.27	17.4193	19.11	16.6768	17.92	15.2379	16.12	13.9897	14.99	13.3311	14.16	12.7147	14.29	11.8712	15.01	11.774	13.55	11.9965	14.9	11.6619	18.71	16.4223
58	50	1950.75	1950	27.02	22.9315	24.39	20.6283	20.7	18.5286	19.71	17.435	18.76	16.687	16.93	15.2324	14.6	13.9868	15.52	13.3552	14.08	12.726	12.91	11.8735	12.8	11.7777	13.88	12.0125	14.45	11.6741	18.45	16.4336
59	50	1950.8333	1950	24.77	22.9374	23.1	20.6427	19.83	18.5473	18.22	17.4321	17.53	16.6878	16.43	15.2462	15.29	14.0086	15.11	13.3777	14.1	12.7426	13	11.8835	12.76	11.789	12.04	12.0226	11.53	11.6728	17.53	16.4474
60	50	1950.917	1950	24.69	22.957	23.06	20.665	20.14	18.5732	18	17.449	17.08	16.7052	16.76	15.2686	14.81	14.0206	14.64	13.3859	13.52	12.7518	12.9	11.8911	12.1	11.7977	11.64	12.0349	10.47	11.6804	16.83	16.4597
61	50	1951	1951	22.07	22.9547	19.15	20.6496	17.36	18.5699	15.82	17.4368	15.25	16.6974	13.89	15.2382	12.68	14.0122	13.15	13.38	11.61	12.7503	12.08	11.8909	11.49	11.803	9.45	12.039	8.97	11.6819	14.19	16.4397
62	50	1951.0833	1951	20.81	22.9536	18.31	20.6568	16.72	18.5786	15.49	17.4377	15.31	16.7027	13.88	15.2303	13.08	14.0243	12.77	13.3776	12.39	12.7642	10.73	11.8819	10.54	11.8026	9.78	12.05	9.17	11.6874	14.72	16.4483
63	50	1951.167	1951	19.38	22.9506	17.15	20.663	16.4	18.5918	15.31	17.4398	14.55	16.6916	13.74	15.2255	12.66	14.027	11.61	13.3639	11.63	12.7653	9.88	11.8738	9.62	11.7988	8.97	12.0554	7.93	11.6848	14.95	16.452
64	50	1951.25	1951	18.49	22.9482	17.13	20.6755	16.14	18.5985	15.9	17.445	15.39	16.6929	14.32	15.2263	13.12	14.0382	11.86	13.3665	11.48	12.7692	10.83	11.8755	9.81	11.7993	10.05	12.0666	9.68	11.6937	15.35	16.4487
65	50	1951.3333	1951	18.69	22.9595	16.11	20.6755	16.12	18.6053	15.69	17.4403	15.35	16.6867	14.25	15.2143	13.41	14.0409	12.8	13.3722	11.99	12.7732	11.65	11.8735	11.65	11.8025	12.39	12.0801	11.61	11.7006	15.01	16.4347
66	50	1951.417	1951	20	22.9758	16.86	20.6878	16.93	18.6149	16.76	17.4435	16.47	16.6876	15.49	15.2141	14.13	14.0427	12.96	13.3628	12.19	12.7716	9.89	11.8563	10.67	11.7955	12.96	12.0812	12.92	11.7015	16.1	16.4341
67	50	1951.5	1951	24.67	22.9996	21.84	20.7199	19.1	18.6288	18.1	17.4419	17.52	16.681	16.33	15.1981	14.46	14.0371	13.99	13.3628	12.78	12.7747	12.51	11.8655	11.93	11.8009	14.57	12.0918	14.22	11.7072	17.65	16.4337
68	50	1951.5833	1951	27.74	23.0148	25.23	20.7463	21.98	18.6536	19.6	17.4463	18.59	16.6797	16.31	15.1725	14.95	14.0366	14.12	13.3532	12.76	12.7725	12.25	11.8616	13.56	11.8122	16.4	12.1058	16.23	11.7157	18.14	16.4264
69	50	1951.667	1951	27.67	23.024	25.85	20.7545	23.61	18.6711	19.79	17.4449	18.33	16.6726	16.62	15.1631	16.17	14.0455	14.81	13.3562	15.04	12.7917	11.36	11.8616	13.39	11.8246	15.08	12.1111	14.36	11.7162	17.95	16.4293
70	50	1951.75	1951	28.73	23.0538	26.72	20.7838	23.83	18.6889	20.53	17.4668	18.69	16.6957	17.66	15.1783	16.74	14.0619	15.21	13.3712	15.18	12.804	14.09	11.893	14.44	11.8413	14.83	12.1208	14.35	11.7285	18.4	16.4514
71	50	1951.8333	1951	27.13	23.0634	25.4	20.7945	22.12	18.6891	19.82	17.4742	18.39	16.712	17.24	15.1811	15.58	14.0597	14.67	13.3843	13.73	12.8068	12.54	11.9007	12.51	11.8464	12.23	12.1219	11.37	11.7253	17.37	16.4644
72	50	1951.917	1951	25.05	23.0606	23.33	20.7915	20.06	18.6772	17.87	17.4655	16.31	16.7016	14.67	15.1501	14.53	14.0583	13.45	13.3777	12.41	12.8084	12.94	11.9157	11.05	11.8513	10.13	12.1218	9.44	11.7265	15.61	16.4631
73	50	1952	1952	23.54	23.0631	21.12	20.789	18.14	18.6734	16.51	17.4613	15.23	16.7049	13.36	15.1319	13.05	14.0499	12.31	13.3732	11.55	12.8144	10.91	11.9158	9.58	11.8562	9.2	12.1278	8.04	11.7285	14.6	16.4699
74	50	1952.0833	1952	22.01	23.0568	19.91	20.7875	16.96	18.6665	15.94	17.456	15.11	16.7087	14	15.1301	12.78	14.0488	12.18	13.3742	11.56	12.8235	11.11	11.9246	10.03	11.8674	9.35	12.136	7.93	11.735	15.14	16.4816
75	50	1952.167	1952	20.72	23.0494	18.53	20.7831	16.54	18.6681	15.15	17.4455	14.62	16.703	13.34	15.1117	12.38	14.0451	11.62	13.3693	10.7	12.8261	10.37	11.9259	9.88	11.875	9.22	12.1426	8.15	11.744	14.45	16.4743
76	50	1952.25	1952	19.97	23.0405	17.67	20.7789	16.09	18.6631	15.58	17.4451	15.42	16.7061	13.32	15.0995	12.44	14.0476	11.59	13.3697	10.77	12.8361	9.99	11.9282	9.92	11.883	9.49	12.1486	9.17	11.7538	15.64	16.4857
77	50	1952.3333	1952	19.15	23.0302	17.62	20.7797	16.34	18.6627	15.91	17.4443	15.71	16.705	14.27	15.0977	13.48	14.0537	12.07	13.372	11.79	12.8498	11.69	11.9412	11.56	11.8939	10.84	12.1576	11.2	11.7662	16.28	16.488
78	50	1952.417	1952	19.93	23.029	17.92	20.7767	16.81	18.6585	16.67	17.4405	16.36	16.6992	14.63	15.0851	14.14	14.0515	13.52	13.3826	12.7	12.8601	11.36	11.9419	12.42	11.9009	14	12.1709	13.2	11.7763	16.25	16.4718
79	50	1952.5	1952	24.17	23.0366	21.32	20.7795	18.32	18.6535	17.76	17.4316	17.53	16.6943	16.06	15.0779	14.46	14.0415	14.45	13.3842	13.35	12.8697	12.63	11.9509	12.39	11.9069	14.61	12.1778	13.65	11.7833	17.05	16.4601
80	50	1952.5833	1952	26.71	23.0385	23.91	20.7856	20.52	18.6606	19.01	17.4301	18.69	16.6947	16.89	15.065	14.62	14.0331	14.01	13.3688	14.98	12.8838	13.48	11.9583	14.45	11.9226	14.53	12.1845	15.68	11.7991	18.18	16.4631
81	50	1952.667	1952	27.07	23.0444	24.75	20.7867	21.88	18.6677	20.07	17.4378	18.7	16.6914	16.56	15.0445	15.53	14.0345	14.98	13.3761	15.27	12.8892	13.24	11.9627	13.67	11.9335	14.58	12.1982	15.14	11.8136	18.12	16.469
82	50	1952.75	1952	28.13	23.0682	25.96	20.8112	22.2	18.6819	19.16	17.435	18.18	16.6982	17.01	15.0474	15.4	14.0413	15.01	13.3877	14.88	12.8969	12.68	11.9728	12.26	11.9436	13.18	12.2084	15.04	11.8328	17.69	16.4794
83	50	1952.8333	1952	26.07	23.0655	23.57	20.8025	20.51	18.6795	18.35	17.4398	17.44	16.7068	16.33	15.0468	14.69	14.0442	14.02	13.3967	13.19	12.8989	12.39	11.9865	12.04	11.9604	12.08	12.2229	11.83	11.8341	16.79	16.4969
84	50	1952.917	1952	23.44	23.0518	20.81	20.7867	18.03	18.6635	16.53	17.4355	16.04	16.712	14.99	15.0355	14.02	14.0499	13.58	13.4041	12.28	12.9058	12.08	12.0007	11.27	11.9769	10.63	12.2339	10.47	11.8433	16.31	16.5173
85	50	1953	1953	22.26	23.055	20.14	20.7974	17.68	18.6811	15.9	17.4461	15.47	16.7288	13.6	15.0163	13.66	14.0559	13.09	13.411	12.25	12.9204	11.77	12.0141	11.11	11.9939	10.54	12.2504	9.79	11.8525	14.77	16.5189
86	50	1953.0833	1953	21.09	23.0534	19.01	20.7959	17.23	18.6868	15.94	17.4551	15.15	16.7333	12.79	14.9945	12.34	14.0468	12.23	13.4042	11.21	12.9237	10.64	12.0188	10.39	12.0061	10.14	12.2617	9.22	11.8573	14.52	16.5211
87	50	1953.167	1953	20.54	23.0541	18.07	20.7948	16.11	18.6826	15.14	17.4495	14.68	16.7298	13.23	14.9913	12.61	14.0514	11.46	13.3973	11.08	12.9336	10.01	12.025	10.22	12.0178	9.64	12.2708	9.29	11.8635	14.24	16.5216
88	50	1953.25	1953	19.42	23.0453	17.09	20.789	15.78	18.6818	15.03	17.4468	14.72	16.7243	12.61	14.9748	11.68	14.0463	11.41	13.3994	11	12.9447	10.97	12.0403	11.23	12.0323	10.59	12.2831	10	11.8679	13.9	16.5152
89	50	1953.3333	1953	20.1	23.0486	17.58	20.7944	16.08	18.6845	15.49	17.4528	15.26	16.7312	13.26	14.9732	12.79	14.0561	12.29	13.4086	12.52	12.9634	12.22	12.0545	11.95	12.0416	11.47	12.292	10.59	11.868	14.97	16.5304
90	50	1953.417	1953	19.73	23.0358	17.22	20.7845	15.56	18.6738	15.8	17.4509	15.94	16.7351	14.01	14.9749	13.65	14.0616	13.08	13.4127	12.54	12.9679	12.18	12.0575	13.02	12.0498	13.51	12.3022	13.04	11.877	16.7	16.5502
91	50	1953.5	1953	23.91	23.0394	21.22	20.7929	19.32	18.6995	18.44	17.4707	17.92	16.7516	15.9	14.9848	14.43	14.0632	13.67	13.4138	13.42	12.9798	12.36	12.0606	13.87	12.0579	15.6	12.3173	14.22	11.885	18.27	16.5589
92	50	1953.5833	1953	26.6	23.0438	22.79	20.7894	19.51	18.6875	18.55	17.4609	18.3	16.7482	16.44	14.9806	15.47	14.0709	15.37	13.4311	15.65	12.9997	14.33	12.0742	14.46	12.0665	15.99	12.3273	16.09	11.8975	18.86	16.5613
93	50	1953.667	1953	28.1	23.0579	25.32	20.8089	20.95	18.7007	19.46	17.4743	19.76	16.7773	17.33	14.9861	16.94	14.0824	16.7	13.4449	16.75	13.0108	14.66	12.0801	15.59	12.0806	16.45	12.3416	16.87	11.9129	19.51	16.5828
94	50	1953.75	1953	27.49	23.0641	25.38	20.8236	22.58	18.7387	19.66	17.4962	18.75	16.7843	16.21	14.9765	15.28	14.0759	15.32	13.4361	15.66	13.011	13.34	12.0799	14.95	12.0864	15.25	12.3485	13.62	11.9102	18.83	16.5931
95	50	1953.8333	1953	25.97	23.0622	24.28	20.8299	21.96	18.757	19.16	17.5141	18.56	16.8054	15.77	14.9865	15.48	14.0886	13.99	13.4357	14.33	13.0112	13.05	12.0848	12.78	12.0842	13.34	12.3523	12.56	11.917	17.5	16.605
96	50	1953.917	1953	23.55	23.0476	21.91	20.819	20.22	18.7545	17.35	17.5169	16.67	16.8021	13.81	14.9811	13.39	14.0811	12.57	13.4276	13.29	13.0107	12.11	12.0858	12.35	12.0863	11.53	12.3525	10.97	11.92	15.9	16.609
97	50	1954	1954	21.14	23.0369	19.93	20.8155	17.97	18.7506	16.32	17.5273	14.57	16.7913	13.61	14.9966	13.61	14.0949	12.39	13.4377	11.94	13.008	11.79	12.0896	10.63	12.082	10.55	12.3547	9.85	11.9204	14.34	16.6113
98	50	1954.0833	1954	20.7	23.0415	19.39	20.8196	17.57	18.7576	16.12	17.5385	14.62	16.8039	13.65	15.0065	13.27	14.0986	12.11	13.4406	11.84	13.0105	11.6	12.0899	10.53	12.0806	9.56	12.3534	9.08	11.9175	14.64	16.6238
99	50	1954.167	1954	20.48	23.0472	18.45	20.8181	16.78	18.7581	15.9	17.546	14.86	16.8172	13.99	15.0178	13.38	14.1033	12.27	13.4481	11.58	13.0116	10.95	12.0833	10.24	12.0766	9.77	12.3561	8.8	11.9157	14.48	16.629
