ID	MONTH	LENGTH	AFD
240.000	2.000	15.200	0.039
241.000	2.000	17.110	0.063
242.000	2.000	19.060	0.089
243.000	2.000	15.750	0.045
244.000	2.000	16.430	0.048
245.000	4.000	30.250	0.274
246.000	4.000	23.050	0.110
247.000	4.000	26.890	0.171
248.000	4.000	19.380	0.060
249.000	4.000	23.760	0.094
250.000	4.000	23.610	0.117
251.000	4.000	24.360	0.127
252.000	4.000	27.410	0.198
253.000	4.000	29.010	0.250
254.000	4.000	26.450	0.209
255.000	4.000	24.890	0.166
256.000	4.000	25.360	0.148
257.000	4.000	22.500	0.091
258.000	4.000	22.760	0.115
259.000	4.000	27.090	0.158
260.000	4.000	24.130	0.152
261.000	4.000	25.510	0.147
262.000	4.000	23.680	0.131
263.000	4.000	24.910	0.132
264.000	4.000	22.900	0.129
265.000	4.000	23.200	0.136
266.000	4.000	11.670	0.015
267.000	4.000	10.210	0.011
268.000	4.000	9.930	0.009
269.000	4.000	9.950	0.009
270.000	4.000	19.780	0.095
271.000	4.000	8.160	0.004
272.000	4.000	9.020	0.007
273.000	4.000	8.150	0.006
274.000	4.000	7.460	0.004
275.000	4.000	7.550	0.004
276.000	4.000	7.130	0.003
277.000	4.000	5.990	0.002
278.000	4.000	5.660	0.002
279.000	4.000	5.820	0.002
280.000	4.000	10.380	0.010
281.000	4.000	25.010	0.143
282.000	4.000	25.660	0.159
283.000	4.000	24.090	0.120
284.000	4.000	12.320	0.019
285.000	4.000	11.660	0.017
286.000	4.000	11.060	0.015
287.000	4.000	12.120	0.018
288.000	4.000	13.850	0.026
289.000	4.000	11.690	0.017
290.000	4.000	11.470	0.014
291.000	4.000	10.010	0.011
292.000	4.000	9.990	0.010
293.000	4.000	14.210	0.032
294.000	4.000	13.920	0.027
295.000	4.000	14.710	0.031
296.000	4.000	13.970	0.025
297.000	4.000	14.330	0.028
298.000	4.000	12.890	0.024
299.000	4.000	12.880	0.021
300.000	4.000	13.770	0.025
301.000	4.000	9.350	0.009
302.000	4.000	12.850	0.023
303.000	4.000	13.130	0.019
304.000	4.000	11.420	0.015
305.000	4.000	12.170	0.015
306.000	4.000	10.240	0.012
307.000	4.000	12.260	0.015
308.000	4.000	12.360	0.020
309.000	4.000	12.360	0.019
310.000	4.000	10.310	0.013
311.000	4.000	11.900	0.014
312.000	4.000	12.010	0.017
313.000	4.000	12.250	0.016
314.000	4.000	12.360	0.019
315.000	4.000	12.560	0.019
316.000	4.000	12.250	0.019
317.000	4.000	11.840	0.016
318.000	4.000	12.360	0.020
319.000	4.000	12.860	0.022
320.000	4.000	12.150	0.018
321.000	4.000	15.530	0.041
322.000	4.000	13.010	0.021
323.000	4.000	14.690	0.031
324.000	4.000	14.650	0.030
325.000	4.000	14.890	0.032
326.000	4.000	14.610	0.031
327.000	4.000	13.870	0.031
328.000	4.000	13.560	0.025
329.000	4.000	13.720	0.027
330.000	4.000	14.150	0.027
331.000	4.000	13.550	0.030
332.000	4.000	14.470	0.035
333.000	4.000	23.150	0.107
334.000	4.000	22.120	0.108
335.000	4.000	13.750	0.026
336.000	4.000	13.480	0.028
337.000	4.000	14.410	0.030
338.000	4.000	15.020	0.037
339.000	4.000	13.440	0.026
340.000	4.000	12.800	0.020
341.000	4.000	13.080	0.023
342.000	4.000	13.990	0.024
343.000	4.000	13.400	0.028
344.000	4.000	14.870	0.035
345.000	4.000	12.950	0.021
346.000	4.000	12.790	0.024
347.000	4.000	13.920	0.029
348.000	4.000	14.240	0.030
349.000	4.000	15.250	0.035
350.000	4.000	14.520	0.034
351.000	4.000	13.970	0.027
352.000	4.000	12.550	0.022
353.000	4.000	13.430	0.029
354.000	4.000	14.100	0.032
355.000	4.000	12.840	0.022
356.000	4.000	12.980	0.022
357.000	4.000	13.590	0.028
358.000	4.000	13.930	0.027
359.000	4.000	14.990	0.033
360.000	4.000	10.610	0.012
361.000	4.000	8.410	0.007
362.000	4.000	14.160	0.031
363.000	4.000	13.750	0.024
364.000	4.000	13.030	0.021
365.000	4.000	11.020	0.014
366.000	4.000	10.080	0.010
367.000	4.000	9.500	0.009
368.000	4.000	11.210	0.016
369.000	4.000	11.430	0.015
370.000	4.000	15.400	0.029
371.000	4.000	10.190	0.011
372.000	4.000	10.430	0.010
373.000	4.000	10.500	0.010
374.000	4.000	11.450	0.013
375.000	4.000	10.690	0.012
376.000	4.000	11.300	0.014
377.000	4.000	10.970	0.011
378.000	4.000	7.700	0.004
379.000	4.000	13.360	0.022
380.000	4.000	12.910	0.017
381.000	4.000	12.840	0.024
382.000	4.000	12.620	0.016
383.000	4.000	13.350	0.021
384.000	4.000	11.840	0.017
385.000	4.000	11.630	0.014
386.000	4.000	11.710	0.014
387.000	4.000	12.130	0.017
388.000	4.000	8.600	0.006
389.000	4.000	9.300	0.007
390.000	4.000	14.210	0.026
391.000	4.000	13.840	0.028
392.000	4.000	13.580	0.025
393.000	4.000	13.900	0.027
394.000	4.000	13.840	0.023
395.000	4.000	13.900	0.023
396.000	4.000	13.900	0.026
397.000	4.000	13.780	0.023
398.000	4.000	13.530	0.020
