Stock   Sample  Length  Sex Age A.solomoni  A.serenum   Goussia Anisakis    Hystero.L   Hystero.A   Tergestia   Derogenes Ectenurus Pseudaxine  Gastrocotyle    Heteraxinoides
WESTERN 3 318 1   9   0 1   1   22  77  0   0   0   0   0   0   0
WESTERN 3 303 1   9   0 1   0   44  3   0   3   0   0   0   0   0
WESTERN 3 281 1   9   0 0   1   11  9   0   0   0   0   0   0   0
WESTERN 3 311 2   9   0 0   0   81  24  0   0   0   0   0   0   0
WESTERN 3 270 2   10  0 0   1   54  61  0   0   0   0   0   0   0
WESTERN 3 318 1   10  0 0   0   6   30  0   1   0   0   0   0   0
WESTERN 3 299 2   12  0 0   0   78  55  0   0   0   0   0   0   0
WESTERN 3 317 2   13  0 0   1   49  2   0   0   0   0   0   0   0
WESTERN 3 322 1   14  0 0   1   26  17  0   0   0   0   0   0   0
WESTERN 3 328 2   15  0 0   1   112 20  0   0   0   0   0   0   0
WESTERN 3 306 1   15  0 0   1   24  7   0   0   0   0   0   0   0
WESTERN 3 350 2   15  0 0   1   245 86  0   0   0   0   0   0   0
WESTERN 3 312 2   15  0 0   0   42  17  0   0   0   0   0   0   0
WESTERN 3 325 2   16  0 0   1   75  67  0   2   0   0   0   0   0
WESTERN 3 339 2   16  0 0   1   312 23  0   9   0   0   0   0   0
WESTERN 3 325 1   17  0 0   1   49  23  0   1   0   0   0   0   0
WESTERN 3 319 1   17  0 0   1   18  8   0   0   0   0   0   0   0
WESTERN 3 280 2   17  0 0   0   42  3   0   0   0   0   0   0   0
WESTERN 3 315 2   19  0 1   1   43  5   0   0   0   0   0   0   0
WESTERN 3 310 2   19  0 0   1   98  13  0   0   0   0   0   0   0
WESTERN 3 288 1   19  0 1   1   14  32  0   0   0   0   0   0   0
WESTERN 3 291 1   19  0 0   1   23  13  0   0   0   0   0   0   0
WESTERN 3 292 1   19  0 0   1   35  37  0   0   0   0   0   0   0
WESTERN 3 312 1   19  0 1   1   80  30  0   0   0   0   0   0   0
WESTERN 3 325 1   19  0 1   1   189 0   0   0   0   0   0   0   0
WESTERN 3 314 1   19  0 0   0   55  41  0   0   0   0   0   0   0
WESTERN 3 297 2   19  0 0   0   80  5   0   0   0   0   0   0   0
WESTERN 3 301 1   19  0 0   1   39  62  0   0   0   0   0   0   0
WESTERN 3 331 2   19  0 0   1   88  29  0   0   0   0   0   0   0
WESTERN 3 282 2   19  0 0   1   82  20  0   2   0   0   0   0   0
WESTERN 3 330 1   19  0 0   0   84  30  0   0   0   0   0   0   0
WESTERN 3 338 2   19  0 0   1   48  40  0   0   0   0   0   0   0
WESTERN 3 253 1   NA  0 0   0   0   0   0   0   0   0   0   0   0
WESTERN 3 255 1   NA  0 0   0   0   0   0   0   0   0   0   0   0
NORTH   5 207 1   2   0 0   1   3   22  0   0   0   0   0   1   0
NORTH   5 210 2   2   0 0   0   0   80  0   0   0   0   0   3   0
NORTH   5 209 1   2   0 0   1   7   41  0   0   0   0   0   3   0
NORTH   5 337 1   13  0 0   0   12  95  4   0   0   0   0   0   0
NORTH   5 290 2   9   0 0   1   45  13  0   0   0   0   0   0   0
NORTH   5 297 1   8   0 0   1   5   391 0   3   0   0   0   2   0
NORTH   5 305 1   12  0 0   1   3   1083    0   0   0   11  1   18 0
NORTH 5   292 2   7 0   0   1   13  453 0   2   0   0   0   2   0
NORTH 5   293 2   9 0   0   1   18  708 0   0   8   0   2   2   0
NORTH 5   228 1   3 0   0   1   0   166 2   0   1   0   0   1   0
NORTH 5   218 1   2 0   0   1   4   31  0   0   0   0   0   2   0
NORTH 5   209 1   4 0   0   0   1   51  0   0   0   0   0   1   0
NORTH 5   242 1   3 0   0   1   3   47  0   0   2   0   1   6   0
NORTH 5   266 1   4 0   0   1   8   118 0   0   0   0   0   3   0
NORTH 5   269 2   7 0   0   1   5   153 0   0   0   3   0   0   0
NORTH 5   293 2   9 0   0   1   0   839 0   0   0   0   0   1   0
NORTH 5   268 1   4 0   0   1   3   250 0   0   0   0   0   5   0
NORTH 5   278 1   10 0   0   1   0   253 0   0   0   0   0   1   0
NORTH 5   270 2   6 0   0   1   3   130 0   2   1   0   0   1   0
NORTH 5   277 2   7 0   0   1   17  603 0   0   4   14  0   0   0
NORTH 5   268 1   6 0   0   1   6   214 0   0   0   0   0   0   0
NORTH 5   282 2   11 0   0   1   61  958 1   1   0   0   0   0   0
NORTH 5   288 1   11 0   0   1   11  65  0   6   0   0   0   3   0
NORTH 5   282 2   NA 0   0   1   1   574 0   1   0   0   2   0   0
NORTH 5   276 2   6 0   0   1   10  452 0   7   0   0   0   0   0
NORTH 5   261 1   4 0   0   1   25  86  0   0   0   0   0   3   0
NORTH 5   267 1   6 0   0   1   25  16  0   0   0   0   0   1   0
NORTH 5   257 2   6 0   0   1   5   52  0   0   0   0   0   1   0
NORTH 5   278 2   7 0   0   1   3   62  0   0   3   0   0   6   0
NORTH 5   242 2   4 0   0   1   39  126 0   0   0   0   1   0   0
NORTH 5   267 1   4 0   0   1   9   339 1   0   3   0   0   9   0
NORTH 5   275 1   7 0   0   1   1   298 0   0   0   0   0   0   0
NORTH 5   265 2   6 0   0   1   18  139 1   0   2   0   3   2   0
NORTH 5   273 1   8 0   0   1   9   467 0   1   0   0   0   0   0
NORTH 5   267 2   4 0   0   1   8   311 0   0   0   0   0   0   0
NORTH 5   287 1   7 0   0   1   18  229 0   0   0   0   0   0   0
NORTH 5   278 1   7 0   0   1   6   793 0   0   0   0   1   3   0
NORTH 5   281 1   10 0   0   1   2   180 0   0   0   0   1   1   0
NORTH 5   284 2   9 0   0   1   4   623 0   2   0   0   0   0   0
NORTH 5   256 1   4 0   0   0   51  43  0   0   0   0   0   1   0
NORTH 5   280 2   7 0   0   1   10  444 0   0   0   0   0   1   0
NORTH 5   275 1   7 0   0   1   2   846 0   3   2   0   1   1   0
NORTH 5   279 2   6 0   0   1   5   286 0   0   4   0   0   0   0
NORTH 5   278 2   9 0   0   1   2   716 0   3   1   0   0   2   0
NORTH 5   270 1   6 0   0   1   0   279 0   0   0   0   0   4   0
NORTH 5   253 2   4 0   0   1   74  167 0   0   2   0   0   7   0
NORTH 5   316 1   9 0   0   1   2   797 0   0   0   0   0   0   0
NORTH 5   297 2   11 0   0   1   4   834 2   1   0   0   0   0   0
NORTH 5   270 2   7 0   0   1   11  214 0   0   0   0   0   0   0
NORTH 5   265 2   3 0   0   0   4   29  0   14  2   0   0   0   0
SOUTH 8   263 1   4 0   0   1   45  0   0   0   0   0   0   0   0
SOUTH 8   260 2   4 0   0   1   26  0   0   0   0   0   0   0   0
SOUTH 8   282 2   5 0   0   0   30  0   0   0   0   0   0   0   0
SOUTH 8   265 2   5 0   0   1   21  0   0   0   0   0   0   2   0
SOUTH 8   261 2   6 0   0   0   16  0   0   0   0   0   0   0   0
SOUTH 8   278 2   8 0   0   0   19  0   0   0   0   0   0   20  0
SOUTH 8   268 1   5 0   0   1   51  0   0   0   0   0   0   0   1
SOUTH 8   272 1   5 0   0   1   18  0   0   0   0   0   0   1   2
SOUTH 8   276 2   8 0   0   1   27  0   0   0   0   0   0   0   0
SOUTH 8   259 1   4 0   0   1   10  0   0   0   0   0   0   0   0
SOUTH 8   274 1   5 0   0   1   9   0   0   0   0   0   0   0   0
SOUTH 8   266 1   5 0   0   1   10  0   0   0   0   0   0   0   0
SOUTH 8   268 1   6 0   0   1   33  0   0   0   0   0   0   0   0
SOUTH 8   168 3   2 0   0   1   1   0   0   0   0   0   1   6   0
SOUTH 8   161 3   1 0   0   1   1   0   0   0   0   0   1   2   0
SOUTH 8   272 2   4 0   0   1   20  0   0   0   0   0   0   1   3
SOUTH 8   284 2   8 0   0   1   13  0   0   0   0   0   0   1   0
SOUTH 8   181 1   1 0   0   1   0   0   0   0   0   0   0   0   0
SOUTH 8   172 1   1 0   0   1   0   0   0   0   0   0   0   1   0
SOUTH 8   163 1   2 0   0   0   2   0   0   0   0   0   0   6   0
SOUTH 8   164 1   1 0   0   1   0   0   0   0   0   0   0   6   0
SOUTH 8   272 1   4 0   0   1   54  0   0   0   0   0   0   0   0
SOUTH 8   270 2   4 0   0   1   35  0   0   0   0   0   0   2   0
SOUTH 8   274 1   5 0   0   1   20  0   0   0   0   0   0   0   0
SOUTH 8   262 2   5 0   0   1   11  0   0   0   0   0   0   4   0
SOUTH 8   170 2   1 0   0   1   0   0   0   0   0   0   0   1   0
SOUTH 8   163 1   1 0   0   1   4   0   0   0   0   0   0   7   0
SOUTH 8   258 1   4 0   0   1   15  0   0   0   0   0   0   2   0
SOUTH 8   271 1   3 0   0   1   19  0   0   0   0   0   0   5   0
SOUTH 8   272 1   7 0   0   1   57  0   0   0   0   0   0   0   0
SOUTH 8   254 1   4 0   0   1   28  0   0   0   0   0   0   0   0
SOUTH 8   166 3   1 0   0   1   0   0   0   0   0   0   0   3   0
SOUTH 8   166 1   1 0   0   1   8   0   0   0   0   0   2   2   0
SOUTH 8   161 3   1 0   0   1   9   0   0   0   0   0   0   0   0
SOUTH 8   158 3   1 0   0   1   1   0   0   0   0   0   0   1   0
SOUTH 8   162 1   1 0   0   1   4   0   0   0   0   0   0   3   0
SOUTH 8   172 2   1 0   0   1   0   0   0   0   0   0   0   0   0
SOUTH 8   162 3   1 0   0   1   3   0   0   0   0   0   1   2   0
SOUTH 8   179 3   1 0   0   0   1   0   0   0   0   0   0   4   0
SOUTH 8   169 1   1 0   0   1   5   0   0   0   0   0   1   11  0
SOUTH 8   169 3   1 0   0   1   1   0   0   0   0   0   0   0   0
SOUTH 8   171 1   1 0   0   1   0   0   0   0   0   0   0   4   0
SOUTH 8   164 1   1 0   0   0   4   0   0   0   0   0   0   0   0
SOUTH 8   254 1   5 0   0   1   10  0   0   0   0   0   0   2   0
SOUTH 8   265 2   4 0   0   1   41  0   0   0   0   0   0   2   1
SOUTH 8   272 1   4 0   0   1   93  0   0   0   0   0   0   4   0
SOUTH 8   292 1   8 0   0   1   30  0   0   0   0   0   0   3   1
SOUTH 8   174 3   1 0   0   1   3   0   0   0   0   0   0   4   0
SOUTH 8   162 3   1 0   0   1   1   0   0   0   0   0   1   7   0
SOUTH 8   260 2   5 0   0   1   31  0   0   0   0   0   0   1   0
SOUTH 8   268 2   6 0   0   1   39  0   0   0   0   0   0   10  0
SOUTH 8   258 1   5 0   0   1   27  0   0   0   0   0   0   0   0
SOUTH 8   168 1   1 0   0   1   2   0   0   0   0   0   0   0   0
SOUTH 8   167 2   1 0   0   0   1   0   0   0   0   0   1   0   0
SOUTH 8   167 3   1 0   0   1   4   0   0   0   0   0   0   11  0
SOUTH 8   166 3   1 0   0   1   8   0   0   0   0   0   0   4   0
SOUTH 8   163 3   1 0   0   1   0   0   0   0   0   0   0   3   0
SOUTH 8   166 3   1 0   0   1   1   0   0   0   0   0   0   0   0
SOUTH 8   164 1   2 0   0   1   5   0   0   0   0   0   1   2   0
SOUTH 8   170 2   1 0   0   0   1   0   0   0   0   0   0   3   0
SOUTH 8   274 2   5 0   0   1   17  0   0   0   0   0   0   3   0
SOUTH 8   265 1   6 0   0   1   42  0   0   0   0   0   0   1   0
SOUTH 8   158 3   1 0   0   0   1   0   0   0   0   0   0   2   0
SOUTH 8   183 2   1 0   0   0   0   0   0   0   0   0   0   0   0
SOUTH 8   175 2   1 0   0   1   3   0   0   0   0   0   2   1   0
SOUTH 8   173 1   1 0   0   0   7   0   0   0   0   0   0   2   0
SOUTH 8   178 2   1 0   0   0   0   0   0   0   0   0   0   1   0
SOUTH 8   163 1   1 0   0   0   1   0   0   0   0   0   0   8   0
SOUTH 8   181 2   1 0   0   1   0   0   0   0   0   0   0   0   0
SOUTH 8   166 2   1 0   0   0   2   0   0   0   0   0   1   0   0
SOUTH 8   268 2   4 0   0   1   24  0   0   0   0   0   0   1   0
SOUTH 8   268 1   4 0   0   1   25  0   0   0   0   0   0   0   0
SOUTH 8   164 3   1 0   0   1   0   0   0   0   0   0   2   14  0
SOUTH 8   161 1   1 0   0   1   0   0   0   0   0   0   0   3   0
SOUTH 8   263 1   4 0   0   1   27  0   0   0   0   0   0   1   0
SOUTH 8   273 2   5 0   0   1   31  0   0   0   0   0   0   1   0
SOUTH 8   152 3   1 0   0   1   0   0   0   0   0   0   0   24  0
SOUTH 8   160 2   1 0   0   1   2   0   0   0   0   0   0   17  0
SOUTH 8   269 1   8 0   0   1   58  0   0   0   0   0   0   1   2
SOUTH 8   272 1   6 0   0   1   4   0   0   0   0   0   0   2   0
SOUTH 8   175 1   1 0   0   1   2   0   0   0   0   0   0   0   0
SOUTH 8   154 3   1 0   0   1   1   0   0   0   0   0   0   1   0
SOUTH 8   269 2   8 0   0   1   35  0   0   0   0   0   0   0   0
SOUTH 8   269 2   6 0   0   1   38  0   0   0   0   0   0   0   0
SOUTH 8   265 2   4 0   0   1   6   0   0   0   0   0   0   1   0
SOUTH 8   269 2   3 0   0   1   21  0   0   0   0   0   0   0   1
SOUTH 8   166 3   1 0   0   1   5   0   0   0   0   0   1   0   0
SOUTH 8   162 1   1 0   0   1   2   0   0   0   0   0   0   0   0
SOUTH 8   266 2   5 0   0   1   30  0   0   0   0   0   0   1   0
SOUTH 8   267 2   4 0   0   1   29  0   0   0   0   0   0   0   2
SOUTH 8   155 3   1 0   0   1   4   0   0   0   0   0   0   20  0
SOUTH 8   152 3   1 0   0   1   2   0   0   0   0   0   0   10  0
SOUTH 8   263 2   5 0   0   1   40  0   0   0   0   0   0   7   1
SOUTH 8   252 1   8 0   0   1   28  0   0   0   0   0   0   2   1
SOUTH 8   272 1   6 0   0   1   41  0   0   0   0   0   0   2   0
SOUTH 8   272 1   8 0   0   1   64  0   0   0   0   0   0   0   0
SOUTH 8   162 3   1 0   0   1   1   0   0   0   0   0   0   0   0
SOUTH 8   158 3   1 0   0   1   2   0   0   0   0   0   0   0   0
SOUTH 8   292 1   8 0   0   1   30  0   0   0   0   0   0   11  0
SOUTH 8   282 2   6 0   0   1   18  0   0   0   0   0   0   0   0
SOUTH 9   248 1   3 0   0   1   0   0   0   0   0   0   0   0   0
SOUTH 9   263 1   4 0   0   1   0   0   0   0   0   0   0   2   0
SOUTH 9   237 1   5 0   0   1   0   0   0   0   0   0   0   9   0
SOUTH 9   210 2   2 0   0   1   0   0   0   0   0   0   0   2   0
SOUTH 9   221 2   2 0   0   1   0   0   0   0   0   0   0   13  0
SOUTH 9   211 2   1 0   0   0   0   0   0   0   0   0   0   0   0
SOUTH 9   256 2   4 0   0   0   3   0   0   0   0   0   0   7   1
SOUTH 9   204 2   1 0   0   0   0   0   0   0   0   0   0   10  0
SOUTH 9   202 2   1 0   0   1   4   0   0   0   0   0   0   0   0
SOUTH 9   211 2   1 0   0   1   0   0   0   0   0   0   0   4   1
SOUTH 9   202 2   1 0   0   1   0   0   0   0   0   0   0   0   1
SOUTH 9   235 1   4 0   0   1   2   0   0   0   0   0   0   14  0
SOUTH 9   206 1   1 0   0   1   0   0   0   0   0   0   2   28  0
SOUTH 9   226 2   5 0   0   1   3   0   0   0   0   0   0   4   0
SOUTH 9   253 1   7 0   0   1   0   0   0   0   0   0   0   3   0
SOUTH 9   277 1   5 0   0   1   3   0   0   0   0   0   1   1   0
SOUTH 9   232 1   3 0   0   1   0   0   0   0   0   0   1   14  2
SOUTH 9   227 1   3 0   0   1   0   0   0   0   0   0   0   1   0
SOUTH 9   238 1   6 0   0   1   1   0   0   0   0   0   0   2   0
SOUTH 9   257 1   7 0   0   1   5   0   0   0   0   0   0   19  0
SOUTH 9   223 2   3 0   0   1   0   0   0   0   0   0   0   2   0
SOUTH 9   219 1   NA 0   0   1   2   0   0   0   0   0   1   10  0
SOUTH 9   229 1   3 0   0   1   0   0   0   0   0   0   0   19  0
SOUTH 9   231 2   2 0   0   1   1   0   0   0   0   0   0   0   0
SOUTH 9   221 1   3 0   0   1   0   0   0   0   0   0   0   3   0
SOUTH 9   238 2   4 0   0   1   1   0   0   0   0   0   0   10  0
SOUTH 9   222 2   5 0   0   1   0   0   0   0   0   0   1   4   0
SOUTH 9   224 2   3 0   0   1   0   0   0   0   0   0   2   16  0
SOUTH 9   219 2   3 0   0   1   0   0   0   0   0   0   1   1   0
SOUTH 9   223 1   3 0   0   1   0   0   0   0   0   0   1   6   0
SOUTH 9   214 2   3 0   0   1   0   0   0   0   0   0   0   6   0
SOUTH 9   240 1   4 0   0   1   0   0   0   0   0   0   0   6   0
SOUTH 9   228 2   3 0   0   1   0   0   0   0   0   0   1   9   0
SOUTH 9   224 1   3 0   0   1   0   0   0   0   0   0   0   0   0
SOUTH 9   213 1   2 0   0   1   0   0   0   0   0   0   0   32  0
SOUTH 9   234 2   5 0   0   0   0   0   0   0   0   0   0   0   0
SOUTH 9   223 1   4 0   0   1   1   0   0   0   0   0   0   10  0
SOUTH 9   225 3   3 0   0   0   0   0   0   0   0   0   3   3   0
SOUTH 9   218 2   3 0   0   1   1   0   0   0   0   0   1   5   0
SOUTH 9   224 1   3 0   0   1   0   0   0   0   0   0   0   0   0
SOUTH 9   236 1   7 0   0   1   0   0   0   0   0   0   1   11  0
SOUTH 9   233 1   5 0   0   1   4   0   0   0   0   0   0   8   0
SOUTH 9   215 1   3 0   0   1   0   0   0   0   0   0   0   46  0
SOUTH 9   232 1   4 0   0   1   0   0   0   0   0   0   3   0   0
SOUTH 9   276 1   7 0   0   1   3   0   0   0   0   0   1   4   0
SOUTH 9   221 2   3 0   0   1   0   0   0   0   0   0   0   0   0
SOUTH 9   226 1   4 0   0   1   0   0   0   0   0   0   0   4   0
SOUTH 9   231 2   3 0   0   1   2   0   0   0   0   0   0   1   0
SOUTH 9   218 1   3 0   0   1   1   0   0   0   0   0   0   6   0
SOUTH 9   229 1   3 0   0   1   1   0   0   0   0   0   0   1   0
SOUTH 9   222 2   4 0   0   1   2   0   0   0   0   0   0   0   0
SOUTH 9   244 2   5 0   0   1   1   0   0   0   0   0   0   2   0
SOUTH 10  209 2   2 0   0   1   0   0   0   0   0   0   0   5   0
SOUTH 10  195 1   2 0   0   1   0   0   0   0   0   0   0   1   0
SOUTH 10  188 1   2 0   0   1   0   0   0   0   0   0   0   2   0
SOUTH 10  177 1   2 0   0   1   0   0   0   0   0   0   0   2   0
SOUTH 10  210 2   2 0   0   0   2   0   0   0   0   0   0   7   0
SOUTH 10  190 2   2 0   0   1   0   0   0   0   0   0   0   8   0
SOUTH 10  224 2   2 0   0   1   4   0   0   0   0   0   0   1   0
SOUTH 10  193 1   2 0   0   0   0   0   0   0   0   0   0   12  0
SOUTH 10  189 1   2 0   0   0   0   0   0   0   0   0   0   2   0
SOUTH 10  191 1   2 0   0   1   0   0   0   0   0   0   2   43  0
SOUTH 10  198 2   2 0   0   1   0   0   0   0   0   0   0   3   0
SOUTH 10  196 1   2 0   0   1   0   0   0   0   0   0   1   5   0
SOUTH 10  199 1   2 0   0   1   0   0   0   0   0   0   6   6   0
SOUTH 10  197 1   3 0   0   1   0   0   0   0   0   0   0   2   0
SOUTH 10  199 1   2 0   0   1   0   0   0   0   0   0   1   9   0
SOUTH 10  186 1   1 0   0   1   0   0   0   0   0   0   0   2   0
SOUTH 10  194 2   2 0   0   1   0   0   0   0   0   0   0   9   0
SOUTH 10  188 1   2 0   0   1   0   0   0   0   0   0   2   10  0
SOUTH 10  186 1   2 0   0   1   0   0   0   0   0   0   0   17  0
SOUTH 10  198 1   2 0   0   1   1   0   0   0   0   0   0   9   0
SOUTH 10  223 1   2 0   0   1   2   0   0   0   0   0   0   1   0
SOUTH 10  220 1   2 0   0   1   0   0   0   0   0   0   0   1   0
SOUTH 10  229 1   2 0   0   1   3   0   0   0   0   0   0   0   0
SOUTH 10  230 2   2 0   0   1   0   0   0   0   0   0   0   7   0
SOUTH 10  226 1   3 0   0   1   1   0   0   0   0   0   0   1   1
SOUTH 10  234 2   2 0   0   1   0   0   0   0   0   0   0   2   0
SOUTH 10  238 2   3 0   0   1   0   0   0   0   0   0   0   5   0
SOUTH 10  219 1   2 0   0   1   1   0   0   0   0   0   0   5   0
SOUTH 10  217 1   3 0   0   1   0   0   0   0   0   0   0   3   0
SOUTH 10  243 2   3 0   0   1   1   0   0   0   0   0   0   1   0
SOUTH 10  232 2   3 0   0   1   4   0   0   0   0   0   0   0   0
