Time	Year	Month	SST	NAO
1949.83	1949.00	11.00	0.74	0.54
1949.92	1949.00	12.00	0.23	0.11
1950.00	1950.00	1.00	0.34	0.55
1950.08	1950.00	2.00	0.41	3.31
1950.17	1950.00	3.00	0.72	0.82
1950.25	1950.00	4.00	0.25	1.61
1950.33	1950.00	5.00	-0.10	-1.73
1950.42	1950.00	6.00	0.07	1.26
1950.50	1950.00	7.00	0.50	-0.87
1950.58	1950.00	8.00	0.95	-0.28
1950.67	1950.00	9.00	0.29	1.51
1950.75	1950.00	10.00	-0.25	0.78
1950.83	1950.00	11.00	-0.09	0.78
1950.92	1950.00	12.00	-0.28	-1.88
1951.00	1951.00	1.00	-0.51	0.82
1951.08	1951.00	2.00	-0.20	0.93
1951.17	1951.00	3.00	-0.62	-2.01
1951.25	1951.00	4.00	-0.66	-0.45
1951.33	1951.00	5.00	-0.91	-2.11
1951.42	1951.00	6.00	-0.52	-1.16
1951.50	1951.00	7.00	-0.42	1.10
1951.58	1951.00	8.00	-0.39	0.85
1951.67	1951.00	9.00	0.08	-0.22
1951.75	1951.00	10.00	0.43	-0.13
1951.83	1951.00	11.00	0.63	-0.97
1951.92	1951.00	12.00	0.27	2.54
1952.00	1952.00	1.00	0.41	0.92
1952.08	1952.00	2.00	0.01	0.15
1952.17	1952.00	3.00	0.22	-1.14
1952.25	1952.00	4.00	0.54	2.79
1952.33	1952.00	5.00	0.44	-0.94
1952.42	1952.00	6.00	-0.35	0.02
1952.50	1952.00	7.00	-0.12	-0.79
1952.58	1952.00	8.00	-0.34	-1.05
1952.67	1952.00	9.00	-0.85	-3.02
1952.75	1952.00	10.00	-0.91	0.42
1952.83	1952.00	11.00	-1.04	-1.51
1952.92	1952.00	12.00	-0.85	-0.31
1953.00	1953.00	1.00	-0.49	-0.02
1953.08	1953.00	2.00	-0.04	0.54
1953.17	1953.00	3.00	0.26	1.25
1953.25	1953.00	4.00	0.44	-1.60
1953.33	1953.00	5.00	0.53	-0.75
1953.42	1953.00	6.00	0.65	-2.96
1953.50	1953.00	7.00	0.85	0.13
1953.58	1953.00	8.00	0.33	3.26
1953.67	1953.00	9.00	0.35	0.75
1953.75	1953.00	10.00	0.69	0.77
1953.83	1953.00	11.00	0.76	3.25
1953.92	1953.00	12.00	1.19	0.15
1954.00	1954.00	1.00	0.81	0.10
1954.08	1954.00	2.00	0.36	0.57
1954.17	1954.00	3.00	-0.01	-0.29
1954.25	1954.00	4.00	0.04	-0.26
1954.33	1954.00	5.00	0.15	-0.91
1954.42	1954.00	6.00	0.14	-0.94
1954.50	1954.00	7.00	-0.55	0.88
1954.58	1954.00	8.00	-0.76	-0.59
1954.67	1954.00	9.00	-0.47	2.49
1954.75	1954.00	10.00	-0.74	2.09
1954.83	1954.00	11.00	-0.31	1.54
1954.92	1954.00	12.00	0.06	1.44
1955.00	1955.00	1.00	-0.15	-1.17
1955.08	1955.00	2.00	-0.39	-2.21
1955.17	1955.00	3.00	-0.74	-2.90
1955.25	1955.00	4.00	-0.70	2.40
1955.33	1955.00	5.00	-0.99	0.33
1955.42	1955.00	6.00	-0.88	-0.18
1955.50	1955.00	7.00	0.27	-1.32
1955.58	1955.00	8.00	1.07	0.54
1955.67	1955.00	9.00	0.96	0.82
1955.75	1955.00	10.00	0.30	-2.35
1955.83	1955.00	11.00	0.11	-2.14
1955.92	1955.00	12.00	0.30	0.51
1956.00	1956.00	1.00	0.06	-0.76
1956.08	1956.00	2.00	-0.55	-2.96
1956.17	1956.00	3.00	-0.76	0.01
1956.25	1956.00	4.00	-0.52	-1.90
1956.33	1956.00	5.00	-0.64	4.54
1956.42	1956.00	6.00	-0.80	1.26
1956.50	1956.00	7.00	-0.52	0.35
1956.58	1956.00	8.00	-0.94	-3.15
1956.67	1956.00	9.00	-0.56	-0.51
1956.75	1956.00	10.00	-0.28	1.23
1956.83	1956.00	11.00	-0.35	1.39
1956.92	1956.00	12.00	-0.12	2.57
1957.00	1957.00	1.00	0.31	2.53
1957.08	1957.00	2.00	0.55	1.08
1957.17	1957.00	3.00	0.54	0.42
1957.25	1957.00	4.00	0.39	-0.62
1957.33	1957.00	5.00	0.03	-0.84
1957.42	1957.00	6.00	0.07	-0.80
1957.50	1957.00	7.00	0.27	-0.48
1957.58	1957.00	8.00	0.06	0.70
1957.67	1957.00	9.00	-0.43	-1.56
1957.75	1957.00	10.00	-0.44	1.07
1957.83	1957.00	11.00	0.04	-1.59
1957.92	1957.00	12.00	0.20	-0.12
1958.00	1958.00	1.00	0.03	0.37
1958.08	1958.00	2.00	-0.38	-0.03
1958.17	1958.00	3.00	-0.66	-1.28
1958.25	1958.00	4.00	-1.05	1.79
1958.33	1958.00	5.00	-1.00	1.10
1958.42	1958.00	6.00	-0.66	-1.44
1958.50	1958.00	7.00	-0.01	-0.20
1958.58	1958.00	8.00	-0.22	0.98
1958.67	1958.00	9.00	0.92	-0.23
1958.75	1958.00	10.00	0.60	1.65
1958.83	1958.00	11.00	0.85	0.43
1958.92	1958.00	12.00	0.63	-1.70
1959.00	1959.00	1.00	0.31	-1.15
1959.08	1959.00	2.00	0.41	2.46
1959.17	1959.00	3.00	0.89	1.82
1959.25	1959.00	4.00	1.07	1.51
1959.33	1959.00	5.00	1.03	-2.22
1959.42	1959.00	6.00	0.71	1.51
1959.50	1959.00	7.00	1.27	0.29
1959.58	1959.00	8.00	1.08	0.02
1959.67	1959.00	9.00	1.36	-1.81
1959.75	1959.00	10.00	1.69	1.51
1959.83	1959.00	11.00	1.18	-0.04
1959.92	1959.00	12.00	1.17	1.98
1960.00	1960.00	1.00	0.80	-0.70
1960.08	1960.00	2.00	0.46	-1.00
1960.17	1960.00	3.00	0.48	-0.87
1960.25	1960.00	4.00	0.49	1.93
1960.33	1960.00	5.00	0.89	0.07
1960.42	1960.00	6.00	0.99	-0.41
1960.50	1960.00	7.00	0.03	0.18
1960.58	1960.00	8.00	0.57	-1.84
1960.67	1960.00	9.00	0.61	0.24
1960.75	1960.00	10.00	0.20	-3.08
1960.83	1960.00	11.00	0.27	1.40
1960.92	1960.00	12.00	0.39	0.46
1961.00	1961.00	1.00	0.46	1.46
1961.08	1961.00	2.00	0.82	4.06
1961.17	1961.00	3.00	1.25	2.08
1961.25	1961.00	4.00	1.26	0.71
1961.33	1961.00	5.00	0.82	-0.94
1961.42	1961.00	6.00	0.77	2.13
1961.50	1961.00	7.00	-0.02	0.63
1961.58	1961.00	8.00	-0.46	3.38
1961.67	1961.00	9.00	0.28	2.01
1961.75	1961.00	10.00	0.81	1.00
1961.83	1961.00	11.00	0.64	-2.15
1961.92	1961.00	12.00	0.57	-1.72
1962.00	1962.00	1.00	0.56	2.44
1962.08	1962.00	2.00	0.31	0.77
1962.17	1962.00	3.00	-0.47	-3.78
1962.25	1962.00	4.00	-0.41	0.74
1962.33	1962.00	5.00	-0.71	-0.10
1962.42	1962.00	6.00	-0.64	1.41
1962.50	1962.00	7.00	-1.10	-2.10
1962.58	1962.00	8.00	-1.09	2.28
1962.67	1962.00	9.00	-0.97	0.02
1962.75	1962.00	10.00	-0.23	-0.34
1962.83	1962.00	11.00	-0.34	-2.23
1962.92	1962.00	12.00	-0.42	-0.66
1963.00	1963.00	1.00	-1.31	-4.09
1963.08	1963.00	2.00	-1.34	-1.90
1963.17	1963.00	3.00	-1.20	2.79
1963.25	1963.00	4.00	-0.96	-0.46
1963.33	1963.00	5.00	-0.73	1.91
1963.42	1963.00	6.00	0.15	-1.77
1963.50	1963.00	7.00	-0.19	-0.65
1963.58	1963.00	8.00	-0.29	-0.96
1963.67	1963.00	9.00	-0.89	0.94
1963.75	1963.00	10.00	-0.41	2.79
1963.83	1963.00	11.00	0.22	-0.15
1963.92	1963.00	12.00	0.29	-3.09
1964.00	1964.00	1.00	0.33	0.93
1964.08	1964.00	2.00	0.31	-0.13
1964.17	1964.00	3.00	-0.06	-0.77
1964.25	1964.00	4.00	-0.24	0.95
1964.33	1964.00	5.00	0.22	2.51
1964.42	1964.00	6.00	-0.06	-1.85
1964.50	1964.00	7.00	-0.32	2.44
1964.58	1964.00	8.00	-0.53	-2.46
1964.67	1964.00	9.00	-0.42	0.50
1964.75	1964.00	10.00	-0.14	0.63
1964.83	1964.00	11.00	0.04	1.33
1964.92	1964.00	12.00	0.18	-1.24
1965.00	1965.00	1.00	0.28	0.01
1965.08	1965.00	2.00	0.04	-3.03
1965.17	1965.00	3.00	-0.08	0.23
1965.25	1965.00	4.00	0.04	2.14
1965.33	1965.00	5.00	-0.34	-0.08
1965.42	1965.00	6.00	-0.32	0.87
1965.50	1965.00	7.00	-0.97	-1.71
1965.58	1965.00	8.00	-0.77	1.59
1965.67	1965.00	9.00	-0.49	-1.01
1965.75	1965.00	10.00	0.04	-1.26
1965.83	1965.00	11.00	-0.57	-1.78
1965.92	1965.00	12.00	-1.00	1.24
1966.00	1966.00	1.00	-0.90	-1.01
1966.08	1966.00	2.00	-0.99	-0.38
1966.17	1966.00	3.00	-0.69	1.05
1966.25	1966.00	4.00	-0.73	1.18
1966.33	1966.00	5.00	-0.38	1.51
1966.42	1966.00	6.00	0.67	0.82
1966.50	1966.00	7.00	0.28	-1.99
1966.58	1966.00	8.00	-0.36	-2.03
1966.67	1966.00	9.00	-0.29	-0.47
1966.75	1966.00	10.00	0.04	-2.89
1966.83	1966.00	11.00	-0.22	-0.07
1966.92	1966.00	12.00	-0.35	1.68
1967.00	1967.00	1.00	-0.06	0.04
1967.08	1967.00	2.00	0.46	1.70
1967.17	1967.00	3.00	0.81	3.00
1967.25	1967.00	4.00	0.49	-0.76
1967.33	1967.00	5.00	0.06	-0.46
1967.42	1967.00	6.00	0.08	1.96
1967.50	1967.00	7.00	0.22	1.44
1967.58	1967.00	8.00	0.45	-0.41
1967.67	1967.00	9.00	0.55	0.32
1967.75	1967.00	10.00	0.24	1.34
1967.83	1967.00	11.00	0.03	-0.91
1967.92	1967.00	12.00	0.00	-0.53
1968.00	1968.00	1.00	-0.08	1.65
1968.08	1968.00	2.00	0.21	-1.53
1968.17	1968.00	3.00	0.07	0.34
1968.25	1968.00	4.00	0.19	-0.71
1968.33	1968.00	5.00	0.00	-1.50
1968.42	1968.00	6.00	0.34	0.95
1968.50	1968.00	7.00	-0.26	-1.96
1968.58	1968.00	8.00	0.20	-1.45
1968.67	1968.00	9.00	0.83	0.50
1968.75	1968.00	10.00	0.17	0.03
1968.83	1968.00	11.00	-0.15	-2.00
1968.92	1968.00	12.00	0.36	-1.73
1969.00	1969.00	1.00	0.15	-1.64
1969.08	1969.00	2.00	-0.19	-3.16
1969.17	1969.00	3.00	-0.56	-1.81
1969.25	1969.00	4.00	-0.61	1.11
1969.33	1969.00	5.00	-0.72	-0.23
1969.42	1969.00	6.00	0.35	-1.17
1969.50	1969.00	7.00	0.50	3.70
1969.58	1969.00	8.00	1.18	-1.62
1969.67	1969.00	9.00	0.42	0.38
1969.75	1969.00	10.00	0.44	0.70
1969.83	1969.00	11.00	0.30	-1.28
1969.92	1969.00	12.00	-0.37	-0.26
1970.00	1970.00	1.00	-0.64	-1.16
1970.08	1970.00	2.00	-0.82	1.10
1970.17	1970.00	3.00	-0.84	-1.78
1970.25	1970.00	4.00	-0.92	2.52
1970.33	1970.00	5.00	-0.47	1.87
1970.42	1970.00	6.00	-0.02	-0.11
1970.50	1970.00	7.00	-0.31	0.27
1970.58	1970.00	8.00	-0.04	-0.20
1970.67	1970.00	9.00	-0.15	0.47
1970.75	1970.00	10.00	-0.38	0.00
1970.83	1970.00	11.00	-0.61	0.76
1970.92	1970.00	12.00	-0.27	-1.58
1971.00	1971.00	1.00	0.01	-0.43
1971.08	1971.00	2.00	0.46	1.21
1971.17	1971.00	3.00	0.12	-1.76
1971.25	1971.00	4.00	0.04	-3.15
1971.33	1971.00	5.00	0.42	-0.62
1971.42	1971.00	6.00	-0.21	-1.32
1971.50	1971.00	7.00	-0.10	-1.04
1971.58	1971.00	8.00	0.00	0.07
1971.67	1971.00	9.00	0.37	-0.54
1971.75	1971.00	10.00	0.28	1.63
1971.83	1971.00	11.00	-0.18	-1.46
1971.92	1971.00	12.00	0.26	0.76
1972.00	1972.00	1.00	0.11	-0.52
1972.08	1972.00	2.00	0.12	-0.20
1972.17	1972.00	3.00	0.27	0.26
1972.25	1972.00	4.00	0.48	0.22
1972.33	1972.00	5.00	-0.04	1.24
1972.42	1972.00	6.00	-0.52	1.07
1972.50	1972.00	7.00	-0.04	0.41
1972.58	1972.00	8.00	-0.19	0.11
1972.67	1972.00	9.00	-0.34	-4.11
1972.75	1972.00	10.00	-0.22	-1.74
1972.83	1972.00	11.00	0.19	0.64
1972.92	1972.00	12.00	0.67	2.11
1973.00	1973.00	1.00	0.58	1.37
1973.08	1973.00	2.00	0.63	1.22
1973.17	1973.00	3.00	0.80	1.04
1973.25	1973.00	4.00	0.34	-2.61
1973.33	1973.00	5.00	0.23	0.37
1973.42	1973.00	6.00	0.30	0.83
1973.50	1973.00	7.00	1.09	-1.85
1973.58	1973.00	8.00	0.16	2.32
1973.67	1973.00	9.00	0.15	-0.79
1973.75	1973.00	10.00	-0.31	-1.03
1973.83	1973.00	11.00	-0.25	-0.26
1973.92	1973.00	12.00	-0.57	-1.65
1974.00	1974.00	1.00	0.25	3.75
1974.08	1974.00	2.00	0.60	0.68
1974.17	1974.00	3.00	0.65	-0.81
1974.25	1974.00	4.00	0.89	-2.30
1974.33	1974.00	5.00	0.79	-0.01
1974.42	1974.00	6.00	0.58	-0.14
1974.50	1974.00	7.00	0.32	2.07
1974.58	1974.00	8.00	0.14	0.89
1974.67	1974.00	9.00	0.21	0.11
1974.75	1974.00	10.00	-0.71	-1.44
1974.83	1974.00	11.00	-0.60	1.27
1974.92	1974.00	12.00	0.00	3.06
1975.00	1975.00	1.00	0.87	2.43
1975.08	1975.00	2.00	0.95	0.40
1975.17	1975.00	3.00	0.60	-1.26
1975.25	1975.00	4.00	0.35	-0.84
1975.33	1975.00	5.00	0.18	-2.42
1975.42	1975.00	6.00	-0.24	0.18
1975.50	1975.00	7.00	0.13	0.63
1975.58	1975.00	8.00	1.19	0.08
1975.67	1975.00	9.00	0.46	1.75
1975.75	1975.00	10.00	-0.14	0.39
1975.83	1975.00	11.00	0.48	0.86
1975.92	1975.00	12.00	0.08	-1.57
1976.00	1976.00	1.00	0.39	0.75
1976.08	1976.00	2.00	0.15	1.29
1976.17	1976.00	3.00	0.09	1.87
1976.25	1976.00	4.00	0.02	-1.53
1976.33	1976.00	5.00	0.21	1.20
1976.42	1976.00	6.00	0.31	1.76
1976.50	1976.00	7.00	1.23	-0.57
1976.58	1976.00	8.00	0.94	0.62
1976.67	1976.00	9.00	0.23	-3.46
1976.75	1976.00	10.00	0.04	-0.64
1976.83	1976.00	11.00	0.25	1.50
1976.92	1976.00	12.00	-0.07	-3.63
1977.00	1977.00	1.00	-0.10	-2.36
1977.08	1977.00	2.00	-0.09	0.28
1977.17	1977.00	3.00	0.26	1.33
1977.25	1977.00	4.00	-0.22	1.07
1977.33	1977.00	5.00	-0.11	-1.62
1977.42	1977.00	6.00	-0.47	-0.89
1977.50	1977.00	7.00	-0.31	-1.14
1977.58	1977.00	8.00	-0.55	-1.42
1977.67	1977.00	9.00	-0.71	1.64
1977.75	1977.00	10.00	-0.13	0.45
1977.83	1977.00	11.00	0.34	0.37
1977.92	1977.00	12.00	0.16	-0.25
1978.00	1978.00	1.00	0.06	0.46
1978.08	1978.00	2.00	-0.24	-1.99
1978.17	1978.00	3.00	-0.59	3.10
1978.25	1978.00	4.00	-0.41	-3.12
1978.33	1978.00	5.00	-0.24	0.37
1978.42	1978.00	6.00	-0.04	0.14
1978.50	1978.00	7.00	-0.90	-0.33
1978.58	1978.00	8.00	-0.58	0.05
1978.67	1978.00	9.00	-0.91	1.96
1978.75	1978.00	10.00	-0.58	0.02
1978.83	1978.00	11.00	0.06	3.91
1978.92	1978.00	12.00	-0.24	-2.08
1979.00	1979.00	1.00	-0.94	-3.22
1979.08	1979.00	2.00	-1.26	-0.62
1979.17	1979.00	3.00	-0.97	0.54
1979.25	1979.00	4.00	-1.06	-0.79
1979.33	1979.00	5.00	-1.20	1.00
1979.42	1979.00	6.00	-0.58	0.45
1979.50	1979.00	7.00	-1.00	2.53
1979.58	1979.00	8.00	-0.88	-0.85
1979.67	1979.00	9.00	-0.91	1.12
1979.75	1979.00	10.00	-0.40	-1.95
1979.83	1979.00	11.00	-0.71	1.95
1979.92	1979.00	12.00	-0.30	2.07
1980.00	1980.00	1.00	-0.47	-1.80
1980.08	1980.00	2.00	-0.27	0.70
1980.17	1980.00	3.00	-0.20	-0.68
1980.25	1980.00	4.00	-0.12	0.03
1980.33	1980.00	5.00	0.09	-2.26
1980.42	1980.00	6.00	0.43	-0.20
1980.50	1980.00	7.00	-0.21	-0.91
1980.58	1980.00	8.00	-0.08	0.30
1980.67	1980.00	9.00	0.04	1.72
1980.75	1980.00	10.00	-0.12	-0.87
1980.83	1980.00	11.00	-0.62	-2.06
1980.92	1980.00	12.00	-0.60	1.55
1981.00	1981.00	1.00	-0.57	1.00
1981.08	1981.00	2.00	-0.38	1.04
1981.17	1981.00	3.00	-0.27	0.01
1981.25	1981.00	4.00	-0.16	-3.04
1981.33	1981.00	5.00	0.20	0.05
1981.42	1981.00	6.00	-0.02	-1.57
1981.50	1981.00	7.00	-0.26	1.74
1981.58	1981.00	8.00	-0.15	1.01
1981.67	1981.00	9.00	0.20	0.27
1981.75	1981.00	10.00	-0.45	-1.06
1981.83	1981.00	11.00	-0.07	1.66
1981.92	1981.00	12.00	-0.32	-2.20
1982.00	1982.00	1.00	-0.56	-0.72
1982.08	1982.00	2.00	0.14	2.25
1982.17	1982.00	3.00	0.57	1.66
1982.25	1982.00	4.00	0.88	-0.99
1982.33	1982.00	5.00	0.50	1.10
1982.42	1982.00	6.00	0.54	-1.86
1982.50	1982.00	7.00	0.86	-0.65
1982.58	1982.00	8.00	0.89	1.45
1982.67	1982.00	9.00	0.25	1.08
1982.75	1982.00	10.00	0.64	0.32
1982.83	1982.00	11.00	1.00	1.71
1982.92	1982.00	12.00	0.91	2.64
1983.00	1983.00	1.00	1.05	4.82
1983.08	1983.00	2.00	0.68	-1.25
1983.17	1983.00	3.00	0.67	1.79
1983.25	1983.00	4.00	0.41	-1.01
1983.33	1983.00	5.00	0.19	-0.57
1983.42	1983.00	6.00	-0.04	0.54
1983.50	1983.00	7.00	0.28	-0.75
1983.58	1983.00	8.00	0.17	0.56
1983.67	1983.00	9.00	-0.09	-0.65
1983.75	1983.00	10.00	-0.27	2.06
1983.83	1983.00	11.00	-0.12	-2.28
1983.92	1983.00	12.00	-0.11	0.83
1984.00	1984.00	1.00	0.29	2.53
1984.08	1984.00	2.00	0.41	1.73
1984.17	1984.00	3.00	0.21	-2.12
1984.25	1984.00	4.00	0.31	0.33
1984.33	1984.00	5.00	0.32	-2.34
1984.42	1984.00	6.00	-0.11	0.33
1984.50	1984.00	7.00	-0.21	0.93
1984.58	1984.00	8.00	0.51	1.00
1984.67	1984.00	9.00	0.09	-1.31
1984.75	1984.00	10.00	0.00	1.66
1984.83	1984.00	11.00	0.61	-1.16
1984.92	1984.00	12.00	0.74	1.52
1985.00	1985.00	1.00	-0.01	-2.87
1985.08	1985.00	2.00	-0.13	-0.24
1985.17	1985.00	3.00	-0.27	0.07
1985.25	1985.00	4.00	-0.17	0.34
1985.33	1985.00	5.00	-0.36	-2.13
1985.42	1985.00	6.00	-0.17	-1.08
1985.50	1985.00	7.00	0.50	1.09
1985.58	1985.00	8.00	-0.22	2.33
1985.67	1985.00	9.00	-0.57	0.00
1985.75	1985.00	10.00	-0.06	0.14
1985.83	1985.00	11.00	-0.22	-2.85
1985.92	1985.00	12.00	-0.06	-0.43
1986.00	1986.00	1.00	0.07	1.46
1986.08	1986.00	2.00	-0.24	-4.02
1986.17	1986.00	3.00	-0.26	2.86
1986.25	1986.00	4.00	-0.32	-0.93
1986.33	1986.00	5.00	-0.16	2.16
1986.42	1986.00	6.00	-0.35	-1.29
1986.50	1986.00	7.00	0.17	0.88
1986.58	1986.00	8.00	-0.37	-2.21
1986.67	1986.00	9.00	-1.15	-1.34
1986.75	1986.00	10.00	-0.66	2.27
1986.83	1986.00	11.00	0.11	3.41
1986.92	1986.00	12.00	0.79	3.42
1987.00	1987.00	1.00	0.32	-2.12
1987.08	1987.00	2.00	-0.03	-0.24
1987.17	1987.00	3.00	-0.34	0.29
1987.25	1987.00	4.00	0.03	2.59
1987.33	1987.00	5.00	-0.15	-0.81
1987.42	1987.00	6.00	-0.72	-0.58
1987.50	1987.00	7.00	-0.22	-1.24
1987.58	1987.00	8.00	-0.83	-2.99
1987.67	1987.00	9.00	0.06	1.27
1987.75	1987.00	10.00	0.23	-0.80
1987.83	1987.00	11.00	0.50	-0.67
1987.92	1987.00	12.00	0.33	-0.81
1988.00	1988.00	1.00	0.94	0.53
1988.08	1988.00	2.00	1.16	-0.11
1988.17	1988.00	3.00	0.44	0.78
1988.25	1988.00	4.00	0.39	-2.39
1988.33	1988.00	5.00	0.52	-1.24
1988.42	1988.00	6.00	0.58	-2.75
1988.50	1988.00	7.00	0.77	1.46
1988.58	1988.00	8.00	0.13	0.73
1988.67	1988.00	9.00	0.26	0.80
1988.75	1988.00	10.00	-0.07	-2.02
1988.83	1988.00	11.00	-0.14	-1.47
1988.92	1988.00	12.00	0.11	1.85
1989.00	1989.00	1.00	0.93	3.53
1989.08	1989.00	2.00	1.30	3.61
1989.17	1989.00	3.00	1.27	2.45
1989.25	1989.00	4.00	1.24	-0.48
1989.33	1989.00	5.00	1.07	1.16
1989.42	1989.00	6.00	0.87	-0.53
1989.50	1989.00	7.00	0.59	0.58
1989.58	1989.00	8.00	-0.09	1.76
1989.67	1989.00	9.00	0.11	-0.96
1989.75	1989.00	10.00	0.30	0.88
1989.83	1989.00	11.00	0.77	-2.97
1989.92	1989.00	12.00	0.80	-2.23
1990.00	1990.00	1.00	1.19	3.50
1990.08	1990.00	2.00	1.56	5.11
1990.17	1990.00	3.00	1.52	3.11
1990.25	1990.00	4.00	1.61	1.77
1990.33	1990.00	5.00	1.66	-1.19
1990.42	1990.00	6.00	0.92	0.42
1990.50	1990.00	7.00	0.32	1.43
1990.58	1990.00	8.00	0.76	3.31
1990.67	1990.00	9.00	0.61	-0.99
1990.75	1990.00	10.00	0.42	-0.59
1990.83	1990.00	11.00	0.71	-1.48
1990.92	1990.00	12.00	0.53	0.34
1991.00	1991.00	1.00	0.83	1.87
1991.08	1991.00	2.00	0.68	-0.02
1991.17	1991.00	3.00	1.07	-1.37
1991.25	1991.00	4.00	0.85	1.48
1991.33	1991.00	5.00	0.50	-0.04
1991.42	1991.00	6.00	-0.36	-0.31
1991.50	1991.00	7.00	0.29	-0.28
1991.58	1991.00	8.00	1.03	2.71
1991.67	1991.00	9.00	0.98	-1.12
1991.75	1991.00	10.00	0.32	-1.77
1991.83	1991.00	11.00	0.26	1.68
1991.92	1991.00	12.00	0.70	1.24
1992.00	1992.00	1.00	0.93	0.64
1992.08	1992.00	2.00	1.16	3.18
1992.17	1992.00	3.00	1.31	1.66
1992.25	1992.00	4.00	0.94	1.32
1992.33	1992.00	5.00	0.94	0.80
1992.42	1992.00	6.00	1.51	-1.74
1992.50	1992.00	7.00	1.04	1.04
1992.58	1992.00	8.00	0.59	3.97
1992.67	1992.00	9.00	0.10	0.99
1992.75	1992.00	10.00	0.08	-3.33
1992.83	1992.00	11.00	-0.14	4.52
1992.92	1992.00	12.00	0.46	0.21
1993.00	1993.00	1.00	0.73	3.91
1993.08	1993.00	2.00	0.88	0.11
1993.17	1993.00	3.00	0.66	1.47
1993.25	1993.00	4.00	0.95	0.83
1993.33	1993.00	5.00	1.16	-2.59
1993.42	1993.00	6.00	0.54	0.16
1993.50	1993.00	7.00	-0.34	0.64
1993.58	1993.00	8.00	-0.55	0.75
1993.67	1993.00	9.00	-0.41	-2.60
1993.75	1993.00	10.00	-0.64	-4.13
1993.83	1993.00	11.00	-0.48	0.77
1993.92	1993.00	12.00	-0.04	2.17
1994.00	1994.00	1.00	0.47	1.28
1994.08	1994.00	2.00	0.46	0.07
1994.17	1994.00	3.00	0.33	3.68
1994.25	1994.00	4.00	0.46	1.38
1994.33	1994.00	5.00	0.56	-1.43
1994.42	1994.00	6.00	-0.21	2.99
1994.50	1994.00	7.00	0.86	-0.09
1994.58	1994.00	8.00	1.11	-1.59
1994.67	1994.00	9.00	0.14	-2.85
1994.75	1994.00	10.00	-0.43	-1.88
1994.83	1994.00	11.00	0.35	1.68
1994.92	1994.00	12.00	0.98	2.86
1995.00	1995.00	1.00	0.71	2.70
1995.08	1995.00	2.00	1.00	3.13
1995.17	1995.00	3.00	0.99	1.06
1995.25	1995.00	4.00	0.72	-1.81
1995.33	1995.00	5.00	0.37	-0.36
1995.42	1995.00	6.00	0.15	-3.36
1995.50	1995.00	7.00	0.58	-0.96
1995.58	1995.00	8.00	1.16	-1.33
1995.67	1995.00	9.00	0.46	-1.55
1995.75	1995.00	10.00	0.63	1.22
