id	g4txt	groups	g4	g9	exclude	EPT	TKQ	TKT	AVV	VEL	MXA	AREA	MAXREF	TRKDIS	MAXSEG	ORIENT	ELLRATIO	ELONG	COMPACT	CHY	MAXREF1	MINREF	SDREF	PERI	ELLMAJ	ELLMIN	STT	HEYW	HYDROR	WADDEL	AVINT	MAXINT	CHX	AVREF	RREF	flocksize	MINDIST	DIST	BEAR	HEAD
82	bird	divers	4	5	0	29	1.28	1	47.07	44	49	11	1904	28719	5	153.58	2.43	3.71	0.55	2.2	1313	665	346	14.02	5.83	2.4	37	1.19	0.78	3.74	1.37	5.1	2.75	958	648	4	743.76	747.06	117	201
84	bird	gannets	4	NA	1	6	2.67	1	47.83	63	30	6	1007	41441	2	126.7	2.75	7.2	0.67	2	678	587	846	10.83	4.58	1.67	16	1.25	0.55	2.76	0.59	4.24	2	647	91	3	2383.81	2699.33	206	272
85	bird	gannets	4	NA	1	7	1.29	1	47.14	50	28	28	1283	32849	6	129.68	2.46	3.43	0.67	4.67	1283	324	277	22.44	9.36	3.81	9	1.2	1.25	5.97	2.47	8.49	4	834	959	1	1207.34	1361.69	252	199
86	bird	gannets	4	NA	1	10	2.9	1	49	63	21	16	1409	41346	4	46.19	2.34	4.1	0.64	3.2	1340	572	228	16.69	6.91	2.95	29	1.18	0.96	4.51	1.56	6.4	3.2	864	768	1	996.57	1116.4	111	51
87	bird	gannets	4	NA	1	24	1.5	1	56.67	50	21	7	1526	32991	4	22.64	2.59	5.71	0.58	1.75	754	440	642	11.44	4.81	1.85	36	1.22	0.61	2.99	0.78	4.47	2.33	625	314	1	826.27	1240.55	336	10
90	bird	gannets	4	NA	1	3	3.33	3	46.67	53	24	8	1198	35033	3	28.05	4.62	13	0.33	1.33	846	689	113	15.59	6.86	1.48	10	1.56	0.51	3.19	0.55	7.21	2	765	157	1	1258.5	1436.27	162	162
92	bird	geese_and_swans	4	6	0	11	2	1	65.09	60	161	148	2457	39590	11	91.71	3.08	2.96	0.59	7.4	1529	129	418	56.3	24.11	7.82	22	1.31	2.63	13.73	7.37	21.84	5.69	827	1400	100	1169.95	2235.81	40	34
93	bird	geese_and_swans	4	6	0	12	2.33	1	42.75	48	26	18	1222	31710	5	36.05	3.09	4.16	0.6	3	1071	587	201	19.66	8.42	2.72	28	1.31	0.92	4.79	1.73	7.21	3.6	850	484	13	1508.81	1520.7	157	75
94	bird	geese_and_swans	4	6	0	23	1.78	1	48.61	41	17	15	1542	26868	5	8.75	2.15	3.78	0.75	3	975	329	202	15.7	6.41	2.98	41	1.14	0.96	4.37	1.54	5.83	3.75	763	646	2	835.13	1132.12	147	107
95	bird	geese_and_swans	4	6	0	7	2.14	1	41.86	48	95	95	1455	31567	7	54.46	5.48	5.35	0.29	5.59	1216	79	257	58.15	25.75	4.7	15	1.68	1.63	11	4.59	24.6	4.32	766	1137	1	4112.82	4132.53	314	42
96	bird	geese_and_swans	4	6	0	14	1.43	1	43	42	49	19	2045	27770	6	30.51	2.67	2.86	0.53	3.17	1370	525	412	19.06	8.04	3.01	20	1.23	1	4.92	2.21	6.32	3.17	967	845	34	957.93	1037.64	323	199
97	bird	geese_and_swans	4	6	0	18	2.06	1	61.11	64	40	5	1560	41726	3	163.22	4.17	29	0.5	1	664	468	238	11.77	5.15	1.24	37	1.49	0.42	2.52	0.19	5.39	2.5	591	196	21	1264.66	3009.62	201	205
98	bird	geese_and_swans	4	6	0	73	2.11	1	47.48	57	103	37	1878	37169	9	156.22	3.13	9.19	0.48	3.36	1023	505	122	28.34	12.15	3.88	154	1.31	1.31	6.86	1.42	13.04	5.29	763	518	45	906.89	2767.81	203	256
99	bird	geese_and_swans	4	6	0	29	1.72	1	66.59	60	154	41	1678	39637	12	11.24	7.71	2.85	0.27	2.73	899	366	397	44.94	20.06	2.6	50	1.98	0.91	7.23	5.12	14.56	2.73	635	533	270	1717.5	4707.06	239	151
100	bird	geese_and_swans	4	6	0	43	1.88	1	47.6	50	67	33	2581	33039	6	138.62	3.13	4.81	0.46	3.67	974	442	722	26.75	11.47	3.66	81	1.31	1.23	6.48	2.37	11.4	4.13	740	532	26	662.68	2674.33	215	207
101	bird	geese_and_swans	4	6	0	4	1	1	63.25	62	32	22	1422	40729	7	150.25	2.56	3.03	0.52	3.14	1422	597	423	20.19	8.46	3.31	4	1.21	1.09	5.29	2.33	7.07	3.67	977	825	11	946.5	946.5	218	128
102	bird	geese_and_swans	4	6	0	21	1.86	1	63.9	67	117	116	2238	43672	18	9.97	3.5	3.28	0.56	6.11	1701	134	387	52.55	22.75	6.49	39	1.38	2.21	12.15	6.07	19.92	9.67	896	1567	320	856.31	1779.19	189	217
103	bird	geese_and_swans	4	6	0	40	2.33	1	42.55	47	71	26	1809	31140	5	49.98	2.94	3.95	0.53	3.71	1344	333	306	23.15	9.87	3.36	93	1.28	1.12	5.75	2.33	9.22	3.71	927	1011	64	753.54	776.42	127	46
104	bird	geese_and_swans	4	6	0	37	2.22	1	41.22	40	50	16	1805	26393	5	31.95	2.64	6.12	0.53	2.67	1201	609	337	17.43	7.34	2.78	82	1.23	0.92	4.51	1.18	7.21	3.2	925	592	110	364.83	475.94	182	34
105	bird	geese_and_swans	4	6	0	6	2.67	1	54	55	40	14	1631	36124	5	23.47	2.45	4	0.56	2.8	1001	623	104	15.85	6.6	2.7	16	1.19	0.88	4.22	1.46	5.83	2.8	834	378	80	1455.71	1518.21	341	220
106	bird	geese_and_swans	4	6	0	20	2.25	1	57.85	49	91	54	1620	32232	6	139.54	5.83	9.62	0.24	3.18	965	455	153	45.11	20.01	3.44	45	1.73	1.2	8.29	2.16	20.81	4.15	691	510	60	3521.37	6003.19	217	233
107	bird	geese_and_swans	4	6	0	32	1.44	1	53.78	53	65	47	2036	34843	7	138.59	2.97	5.23	0.43	4.27	1444	513	470	31.23	13.32	4.49	46	1.29	1.5	7.74	2.49	13.04	4.7	1013	931	15	532.34	2624.98	219	195
108	bird	geese_and_swans	4	6	0	36	1.56	1	43.67	41	32	19	1564	26915	4	103.44	2.36	3.6	0.79	4.75	864	474	128	18.24	7.56	3.2	56	1.18	1.04	4.92	1.86	6.71	3.17	670	390	13	499.47	2074.48	255	236
109	bird	geese_and_swans	4	6	0	34	1.82	1	63.79	53	42	24	1913	34985	4	84.8	3.09	4.57	0.6	4.8	1522	126	344	22.69	9.72	3.14	62	1.31	1.06	5.53	1.96	8.94	3	763	1396	12	321.98	2292.77	256	294
111	bird	geese_and_swans	4	6	0	13	2.08	1	59.46	55	64	49	1492	36172	5	78.66	4.94	6.68	0.48	7	1146	528	153	39.79	17.56	3.55	27	1.6	1.23	7.9	2.65	17.72	2.88	801	618	50	1976.66	2256.1	100	213
112	bird	geese_and_swans	4	6	0	14	2.93	1	59.5	58	68	64	1382	38023	13	164.26	3.1	5.49	0.57	4	1045	498	269	37.12	15.9	5.12	41	1.31	1.72	9.03	3	16.49	9.14	765	547	30	2052.16	3430.96	193	221
113	bird	geese_and_swans	4	6	0	17	1.59	1	55.82	52	32	9	1570	33941	3	120.9	2.57	5.56	0.56	2.25	1060	563	182	12.94	5.43	2.11	27	1.22	0.7	3.39	0.9	5	2.25	766	497	27	767.31	1192.04	190	200
114	bird	geese_and_swans	4	6	0	33	2	1	58.97	67	65	5	1394	44052	2	109.32	2.41	8.67	0.83	2.5	724	618	86	9.41	3.91	1.63	66	1.19	0.53	2.52	0.42	3.61	1.67	665	106	50	2003.22	2920.92	178	231
115	bird	geese_and_swans	4	6	0	37	1.95	1	48.89	49	73	7	1577	31900	3	139.19	2.75	8.33	0.58	1.75	618	543	105	11.7	4.95	1.8	72	1.25	0.6	2.99	0.6	5	2.33	579	75	30	1288.89	3754.5	204	181
116	bird	geese_and_swans	4	6	0	37	2.11	1	64.54	50	71	31	1864	32707	6	121.63	3.61	5.51	0.4	4.43	989	368	164	27.52	11.94	3.31	78	1.39	1.13	6.28	2.19	12.08	2.82	719	621	60	2069.76	3496.57	60	23
117	bird	geese_and_swans	4	6	0	50	1.82	1	44.38	44	87	21	1870	29004	5	128.87	2.9	4.06	0.5	3.5	890	464	258	20.68	8.8	3.04	91	1.27	1.02	5.17	1.98	8.06	3	656	426	75	2060.4	3468.9	239	191
119	bird	geese_and_swans	4	6	0	4	3	2	47	39	55	8	1308	17231	4	23.2	2.82	8.33	0.67	2	1308	720	216	12.64	5.36	1.9	12	1.26	0.63	3.19	0.6	5	2.67	966	588	30	5010.57	5082.29	247	228
123	bird	geese_and_swans	4	6	0	3	3.33	3	50	48	30	8	1280	31377	3	150.35	3.1	11.33	0.53	1.6	887	579	1032	13.12	5.62	1.81	10	1.31	0.61	3.19	0.51	5.83	2.67	746	308	1	2033.09	2033.09	23	143
127	bird	gulls	4	7	0	3	1.67	1	34	37	27	15	970	506	6	22.62	3.56	14.44	0.47	1.88	832	303	206	19.02	8.24	2.32	5	1.39	0.79	4.37	0.56	8.06	3.75	665	529	1	123.09	154.09	112	112
128	bird	gulls	4	7	0	3	2	1	39.33	43	16	14	1213	28482	3	126.95	4.39	9.89	0.29	2.33	1213	528	296	20.16	8.85	2.01	6	1.52	0.69	4.22	0.95	9.43	1.75	851	685	1	1814.05	1814.05	58	246
129	bird	gulls	4	7	0	3	2.33	1	53.67	60	55	23	1090	39305	4	57.78	4.68	7.64	0.29	2.88	817	449	165	26.6	11.71	2.5	7	1.56	0.86	5.41	1.6	12.21	2.3	631	368	1	2063.4	2063.4	318	222
130	bird	gulls	4	7	0	4	2.5	1	40.25	32	8	7	1041	20744	2	82.12	2.57	8	0.88	3.5	914	447	228	11.41	4.79	1.86	10	1.22	0.61	2.99	0.56	4.47	1.75	699	467	1	1106.1	1106.1	89	308
131	bird	gulls	4	7	0	5	2.4	1	43.8	46	23	7	994	29858	2	110.09	3.68	11.33	0.47	2.33	731	515	160	13.19	5.73	1.56	12	1.41	0.53	2.99	0.51	5.83	1.4	638	216	3	1844.88	2109.93	250	249
132	bird	gulls	4	7	0	5	2.6	1	34.6	39	11	8	1082	25776	2	67.72	3.29	11.33	0.53	2.67	938	695	216	13.44	5.79	1.76	13	1.34	0.6	3.19	0.51	5.83	1.6	795	243	1	1183.57	1190.28	288	206
133	bird	gulls	4	7	0	5	1.8	1	39.4	43	46	6	1253	28339	2	55.04	3.16	12.5	0.5	2	844	532	199	11.44	4.91	1.56	9	1.32	0.52	2.76	0.4	5	1.5	670	312	1	1641.62	1779.36	310	282
134	bird	gulls	4	7	0	5	2.2	1	32.4	33	16	16	1235	21931	4	98.09	2.7	3.09	0.64	3.2	1113	545	166	17.57	7.42	2.75	11	1.24	0.91	4.51	1.89	5.83	3.2	760	568	1	920.49	1099.19	74	87
135	bird	gulls	4	7	0	5	2.4	1	40.8	45	32	17	1171	29479	4	52.76	3.54	8.22	0.4	2.83	1039	452	166	20.2	8.75	2.47	12	1.38	0.84	4.65	1.05	8.6	2.43	705	587	1	1676.9	1975.7	320	28
136	bird	gulls	4	7	0	5	2.4	1	56.6	66	77	16	1202	43530	4	64.65	2.78	4.09	0.67	4	847	375	194	17.77	7.53	2.71	12	1.25	0.9	4.51	1.64	6.71	2.67	658	472	750	1922.5	2104.31	83	162
137	bird	gulls	4	7	0	5	2.8	1	46.8	45	74	74	1428	29289	10	53.41	9.7	5.48	0.19	4.11	1012	254	184	67.5	30.23	3.12	14	2.21	1.1	9.71	5.01	27.46	3.08	715	758	750	2760.69	2838.48	112	318
138	bird	gulls	4	7	0	5	2.8	1	57.8	69	35	6	906	45049	2	52.52	2.75	7.2	0.67	2	713	507	102	10.83	4.58	1.67	14	1.25	0.55	2.76	0.59	4.24	2	622	206	750	3208.26	3449.59	98	189
139	bird	gulls	4	7	0	7	2.14	1	41.43	53	46	34	1747	729	6	75.14	5.94	3.83	0.4	3.4	1312	87	323	36.13	16.04	2.7	15	1.75	0.94	6.58	3.5	13.42	2.83	839	1225	3	137.79	222.25	9	9
140	bird	gulls	4	7	0	7	2.14	1	41.57	53	46	34	1747	34605	6	75.14	5.94	3.83	0.4	3.4	1312	87	323	36.13	16.04	2.7	15	1.75	0.94	6.58	3.5	13.42	2.83	839	1225	3	863.36	948.02	294	9
141	bird	gulls	4	7	0	8	2.63	1	53.25	46	33	7	1157	29906	4	17.89	2.75	5.71	0.58	1.75	765	657	191	11.7	4.95	1.8	21	1.25	0.6	2.99	0.78	4.47	2.33	717	108	1	1351.74	1351.74	174	41
142	bird	gulls	4	7	0	9	2.78	1	45.89	48	46	31	1062	660	8	21.88	2.5	4.51	0.57	3.44	991	296	181	23.76	9.93	3.98	25	1.2	1.3	6.28	2.18	9.85	5.17	701	695	1	142.89	201.29	38	38
143	bird	gulls	4	7	0	9	1.11	1	47.33	44	27	7	1172	28862	2	82.14	2.57	8	0.88	3.5	930	526	149	11.41	4.79	1.86	10	1.22	0.61	2.99	0.56	4.47	1.75	788	404	10	1199.82	1659.87	104	133
144	bird	gulls	4	7	0	9	2.67	1	49.44	68	42	42	1284	44289	4	87.54	5.43	5.84	0.44	6	1035	195	281	38.5	17.04	3.14	24	1.68	1.09	7.31	2.74	16.03	2.63	647	840	1	1278.19	1643.08	261	70
145	bird	gulls	4	7	0	9	2.22	1	55.44	66	48	24	2516	43340	3	66.92	4.1	5.66	0.48	4.8	1241	24	396	25.59	11.19	2.73	20	1.47	0.94	5.53	1.9	10.77	2.4	680	1217	1	2486.6	3141.48	171	273
146	bird	gulls	4	7	0	10	2.6	1	51.4	61	44	31	1055	843	10	165.67	3.47	4.71	0.62	3.1	974	270	211	27.07	11.71	3.37	26	1.37	1.15	6.28	2.19	10.3	6.2	630	704	1	113.22	257.03	299	299
147	bird	gulls	4	7	0	10	1.4	1	41.3	47	30	30	1740	30523	5	110.05	3.18	3.4	0.48	4.29	1223	481	348	25.67	11.02	3.46	14	1.32	1.17	6.18	2.79	9.49	3.33	861	742	3	576.11	1129.25	259	212
148	bird	gulls	4	7	0	11	2.55	1	30.45	29	26	7	1419	18751	3	104.41	2.43	5.71	0.58	2.33	998	730	101	11.19	4.66	1.91	28	1.19	0.63	2.99	0.78	4.47	1.75	838	268	1	754.55	993.09	65	84
149	bird	gulls	4	7	0	12	2.5	1	51.17	57	41	13	1091	784	4	34.59	3.65	6.93	0.43	2.17	876	667	73	17.9	7.77	2.13	30	1.4	0.73	4.07	1.04	7.21	2.6	760	209	1	186.64	238.84	286	286
150	bird	gulls	4	7	0	12	1.92	1	45.58	42	41	22	1442	27248	7	28.38	6.3	8.97	0.25	2	1197	146	253	29.88	13.29	2.11	23	1.8	0.74	5.29	1.4	12.53	2.75	681	1051	1	554.06	1138.45	305	0
151	bird	gulls	4	7	0	13	2.92	1	51	60	40	6	1224	39020	3	89.43	2.61	5.67	0.5	2	976	371	342	10.62	4.46	1.71	38	1.22	0.57	2.76	0.73	4.12	1.5	705	605	1	708.01	1349.77	18	341
152	bird	gulls	4	7	0	13	2.46	1	45.62	56	47	13	1631	36599	4	99.24	3.55	5.05	0.46	3.25	966	419	170	17.7	7.67	2.16	32	1.38	0.73	4.07	1.44	7.28	1.86	710	547	5	1333.83	2036.76	270	275
153	bird	gulls	4	7	0	14	2.5	1	48.07	52	57	7	1381	34321	3	155.26	3.47	8.29	0.47	1.4	789	563	149	12.86	5.56	1.6	35	1.37	0.54	2.99	0.65	5.39	2.33	677	226	1	972.1	1950.31	196	188
154	bird	gulls	4	7	0	15	3	1	50.13	65	15	8	1320	42865	5	171.32	2.96	11.6	0.8	1.6	1182	257	296	12.88	5.49	1.85	45	1.28	0.62	3.19	0.46	5.39	4	790	925	1	863.53	1039.97	73	294
155	bird	gulls	4	7	0	16	2.81	1	42.19	37	20	16	1251	24162	5	27	3.26	6.84	0.57	2.29	842	421	147	18.94	8.15	2.5	45	1.34	0.84	4.51	1.18	8.06	4	643	421	1	1445.11	2216.2	137	328
156	bird	gulls	4	7	0	17	2.06	1	40.59	37	36	8	1386	24162	4	180	2.46	6.67	1	2	688	554	269	12	5	2.04	35	1.2	0.67	3.19	0.67	4.47	4	636	134	1	1284.29	2216.44	175	158
157	bird	gulls	4	7	0	21	2.86	1	47.52	48	78	6	1763	31615	2	76.73	2.78	10	0.75	3	1071	799	250	10.88	4.61	1.66	60	1.25	0.55	2.76	0.45	4.47	1.5	887	272	1	970.66	1211.42	300	128
158	bird	gulls	4	7	0	23	2.3	1	37.09	35	54	38	2360	486	11	174.5	3.1	4.64	0.69	3.45	968	253	229	28.58	12.24	3.95	53	1.31	1.33	6.96	2.52	11.7	7.6	715	715	3	87.63	148.07	41	41
159	bird	gulls	4	7	0	23	2.61	1	52.35	49	94	7	1405	32279	3	135	2.21	6	0.78	2.33	1209	822	342	10.83	4.44	2.01	60	1.15	0.65	2.99	0.71	4.24	2.33	981	387	1	558.17	789.58	104	293
160	bird	gulls	4	7	0	25	1.92	1	37.2	39	41	11	1267	25396	4	13.98	2.54	4.83	0.73	2.2	982	484	175	14.24	5.97	2.35	48	1.21	0.77	3.74	1.11	5.39	3.67	798	498	1	1360.85	1488.43	161	234
161	bird	gulls	4	7	0	2	2.5	2	36.5	40	25	8	1248	17611	3	39.43	4.35	25	0.32	1.6	780	518	130	15.18	6.66	1.53	5	1.51	0.53	3.19	0.28	7.07	1.6	644	262	1	1735.12	1735.12	319	237
163	bird	gulls	4	7	0	4	3.25	2	35.25	38	20	5	1129	16662	3	18.91	2.41	8.67	0.83	1.67	864	582	101	9.41	3.91	1.63	13	1.19	0.53	2.52	0.42	3.61	2.5	736	282	1	1273.37	1425.71	183	44
164	bird	gulls	4	7	0	7	3.14	2	43.86	25	69	12	1277	10823	6	165.81	2.96	6.43	0.67	2	905	633	156	15.77	6.73	2.27	22	1.28	0.76	3.91	1.04	6.71	4	798	272	1	1932.75	2204.68	15	54
165	bird	gulls	4	7	0	10	3	2	39.9	47	37	16	1105	433	9	173.11	3.97	7.81	0.59	1.78	1035	631	129	20.6	8.99	2.27	30	1.45	0.78	4.51	1.16	9.06	5.33	808	404	1	87.88	131.87	100	100
169	bird	gulls	4	7	0	3	3.33	3	37	35	11	5	1391	22690	2	72.43	2.41	8.67	0.83	2.5	1097	663	230	9.41	3.91	1.63	10	1.19	0.53	2.52	0.42	3.61	1.67	967	434	1	413.41	413.41	193	140
170	bird	gulls	4	7	0	4	3.5	3	27.75	29	19	5	1013	19083	2	85.17	3.24	11.33	0.63	2.5	913	570	113	10.55	4.54	1.4	14	1.33	0.47	2.52	0.36	4.12	1.25	742	343	1	2469.55	2478.18	81	176
171	bird	gulls	4	7	0	4	3	3	55.75	43	13	5	1006	28007	2	110.76	3.04	13.33	0.63	2.5	1006	737	220	10.29	4.4	1.45	12	1.3	0.49	2.52	0.34	4.47	1.25	888	269	1	983.16	1235.71	258	226
172	bird	gulls	4	7	0	4	3.5	3	36.5	40	17	6	1491	26488	3	29.01	2.39	5.2	0.67	2	966	378	219	10.29	4.27	1.79	14	1.19	0.58	2.76	0.69	3.61	2	674	588	1	745.31	950.41	76	169
173	bird	gulls	4	7	0	4	3	3	46	59	96	7	1613	38640	2	134.83	3.61	12.8	0.44	1.75	1613	1045	745	13.07	5.67	1.57	12	1.39	0.54	2.99	0.44	5.66	1.75	1339	568	750	2347.92	2578.2	130	147
174	bird	gulls	4	7	0	6	3.67	3	30	30	30	10	1069	415	5	180	2.76	7.25	1	2	860	639	112	14	5.92	2.15	22	1.25	0.71	3.57	0.74	5.39	5	756	221	1	82.85	126.57	163	163
