Transect	Sex	Capitula	Time	Temperature	PercFlower	Bees	AMPM	TimeC	TimeUnit
4	1	3	8	19.8	14.0672	2	1	8.5	4
4	1	4	8	19.8	17.74885	1.5	0	8	3
4	1	4	8	19.8	17.74885	2.5	1	8.5	4
4	1	5	8	19.8	29.0136	1.5	0	8	3
4	1	5	8	19.8	29.0136	2.5	1	8.5	4
5	1	1	8	19.8	16.328	1.5	0	8	3
5	1	1	8	19.8	16.328	2.5	1	8.5	4
5	1	2	8	19.8	25.64595	1.5	0	8	3
5	1	2	8	19.8	25.64595	2	1	8.5	4
5	1	3	8	19.8	11.82995	2	0	8	3
5	1	3	8	19.8	11.82995	2.5	1	8.5	4
5	1	4	8	19.8	27.67125	1	0	8	3
5	1	4	8	19.8	27.67125	2	1	8.5	4
5	1	5	8	19.8	45.01975	1	0	8	3
5	1	5	8	19.8	45.01975	1.5	1	8.5	4
6	0	1	8	19.8	26.376	1.5	0	8	3
6	0	1	8	19.8	26.376	1.5	1	8.5	4
6	0	2	8	19.8	38.19025	1	0	8	3
6	0	2	8	19.8	38.19025	0.5	1	8.5	4
6	0	3	8	19.8	19.82125	2	0	8	3
6	0	3	8	19.8	19.82125	1	1	8.5	4
6	0	4	8	19.8	18.59665	2	0	8	3
6	0	4	8	19.8	18.59665	1	1	8.5	4
6	0	5	8	19.8	27.67125	2.5	0	8	3
6	0	5	8	19.8	27.67125	1	1	8.5	4
7	0	1	8	19.8	18.34545	0.5	0	8	3
7	0	1	8	19.8	18.34545	0.5	1	8.5	4
7	0	2	8	19.8	21.12435	0.5	0	8	3
7	0	2	8	19.8	21.12435	0.5	1	8.5	4
7	0	3	8	19.8	12.0576	1.5	0	8	3
7	0	3	8	19.8	12.0576	0.5	1	8.5	4
7	0	4	8	19.8	12.34805	0.5	0	8	3
7	0	4	8	19.8	12.34805	1.5	1	8.5	4
7	0	5	8	19.8	10.91935	0.5	0	8	3
7	0	5	8	19.8	10.91935	1.5	1	8.5	4
1	1	1	9	18	13.8474	0	0	9	5
1	1	1	9	18	13.8474	1	1	9.5	6
1	1	2	9	18	26.376	0	0	9	5
1	1	2	9	18	26.376	1	1	9.5	6
1	1	3	9	18	33.82565	1.5	0	9	5
1	1	3	9	18	33.82565	0.5	1	9.5	6
1	1	4	9	18	40.95345	0.5	0	9	5
1	1	4	9	18	40.95345	0.5	1	9.5	6
1	1	5	9	18	24.73535	0.5	0	9	5
1	1	5	9	18	24.73535	0.5	1	9.5	6
2	1	1	9	18	26.49375	0.5	0	9	5
2	1	1	9	18	26.49375	0.5	1	9.5	6
2	1	2	9	18	39.49335	0.5	0	9	5
2	1	2	9	18	39.49335	0.5	1	9.5	6
2	1	3	9	18	38.4336	0.5	0	9	5
2	1	3	9	18	38.4336	0.5	1	9.5	6
2	1	4	9	18	56.049	1	0	9	5
2	1	4	9	18	56.049	0.5	1	9.5	6
2	1	5	9	18	20.60625	0	0	9	5
2	1	5	9	18	20.60625	1	1	9.5	6
3	1	1	9	18	20.93595	1.5	0	9	5
3	1	1	9	18	20.93595	1.5	1	9.5	6
3	1	2	9	18	16.956	0.5	0	9	5
3	1	2	9	18	16.956	1.5	1	9.5	6
3	1	3	9	18	35.48985	0.5	0	9	5
3	1	3	9	18	35.48985	1.5	1	9.5	6
3	1	4	9	18	36.54175	0.5	0	9	5
3	1	4	9	18	36.54175	1.5	1	9.5	6
3	1	5	9	18	32.09865	1	0	9	5
3	1	5	9	18	32.09865	1.5	1	9.5	6
4	1	1	9	18	77.04775	1	0	9	5
4	1	1	9	18	77.04775	1	1	9.5	6
4	1	2	9	18	23.90325	1.5	0	9	5
4	1	2	9	18	23.90325	1	1	9.5	6
4	1	3	9	18	22.56875	0.5	0	9	5
4	1	3	9	18	22.56875	1.5	1	9.5	6
4	1	4	9	18	26.17975	0.5	0	9	5
4	1	4	9	18	26.17975	1.5	1	9.5	6
4	1	5	9	18	43.44975	2	0	9	5
4	1	5	9	18	43.44975	1.5	1	9.5	6
5	1	1	9	18	17.9608	2.5	0	9	5
5	1	1	9	18	17.9608	1.5	1	9.5	6
5	1	2	9	18	30.144	0.5	0	9	5
5	1	2	9	18	30.144	0.5	1	9.5	6
5	1	3	9	18	18.3376	0.5	0	9	5
5	1	3	9	18	18.3376	1	1	9.5	6
5	1	4	9	18	40.6944	1	0	9	5
5	1	4	9	18	40.6944	1	1	9.5	6
5	1	5	9	18	68.64825	1.5	0	9	5
5	1	5	9	18	68.64825	1.5	1	9.5	6
6	0	1	9	18	30.30885	1	0	9	5
6	0	1	9	18	30.30885	0.5	1	9.5	6
6	0	2	9	18	51.64515	1.5	0	9	5
6	0	2	9	18	51.64515	0.5	1	9.5	6
6	0	3	9	18	25.905	1	0	9	5
6	0	3	9	18	25.905	0.5	1	9.5	6
6	0	4	9	18	26.52515	0.5	0	9	5
6	0	4	9	18	26.52515	0.5	1	9.5	6
6	0	5	9	18	0	0	0	9	5
6	0	5	9	18	0	1	1	9.5	6
7	0	1	9	18	23.3616	0	0	9	5
7	0	1	9	18	23.3616	1	1	9.5	6
7	0	2	9	18	28.91155	0.5	0	9	5
7	0	2	9	18	28.91155	0.5	1	9.5	6
7	0	3	9	18	15.7	0	0	9	5
7	0	3	9	18	15.7	1	1	9.5	6
7	0	4	9	18	19.24035	0.5	0	9	5
7	0	4	9	18	19.24035	0.5	1	9.5	6
7	0	5	9	18	16.85395	0.5	0	9	5
7	0	5	9	18	16.85395	0.5	1	9.5	6
1	1	1	10	13.3	15.5744	0	0	10	7
1	1	1	10	13.3	15.5744	0.5	1	10.5	8
1	1	2	10	13.3	30.4266	0	0	10	7
1	1	2	10	13.3	30.4266	0.5	1	10.5	8
1	1	3	10	13.3	35.48985	0.5	0	10	7
1	1	3	10	13.3	35.48985	0.5	1	10.5	8
1	1	4	10	13.3	34.6663065	1	0	10	7
1	1	4	10	13.3	34.6663065	0.5	1	10.5	8
1	1	5	10	13.3	27.3494	0.5	0	10	7
1	1	5	10	13.3	27.3494	0.5	1	10.5	8
2	1	1	10	13.3	27.3494	1.5	0	10	7
2	1	1	10	13.3	27.3494	0.5	1	10.5	8
2	1	2	10	13.3	44.64295	0	0	10	7
2	1	2	10	13.3	44.64295	0.5	1	10.5	8
2	1	3	10	13.3	39.28925	0	0	10	7
2	1	3	10	13.3	39.28925	0	1	10.5	8
2	1	4	10	13.3	59.9426	0	0	10	7
2	1	4	10	13.3	59.9426	1	1	10.5	8
2	1	5	10	13.3	24.6176	0.5	0	10	7
2	1	5	10	13.3	24.6176	0.5	1	10.5	8
3	1	1	10	13.3	22.56875	1	0	10	7
3	1	1	10	13.3	22.56875	0.5	1	10.5	8
3	1	2	10	13.3	18.3062	1	0	10	7
3	1	2	10	13.3	18.3062	0.5	1	10.5	8
3	1	3	10	13.3	37.64075	2	0	10	7
3	1	3	10	13.3	37.64075	1	1	10.5	8
3	1	4	10	13.3	39.49335	0	0	10	7
3	1	4	10	13.3	39.49335	1	1	10.5	8
3	1	5	10	13.3	34.1968765	0.5	0	10	7
3	1	5	10	13.3	34.1968765	0.5	1	10.5	8
4	1	1	10	13.3	69.394	0	0	10	7
4	1	1	10	13.3	69.394	1	1	10.5	8
4	1	2	10	13.3	25.06505	0.5	0	10	7
4	1	2	10	13.3	25.06505	0.5	1	10.5	8
4	1	3	10	13.3	26.52515	0.5	0	10	7
4	1	3	10	13.3	26.52515	0.5	1	10.5	8
4	1	4	10	13.3	30.772	0.5	0	10	7
4	1	4	10	13.3	30.772	0.5	1	10.5	8
4	1	5	10	13.3	47.1807765	0.5	0	10	7
4	1	5	10	13.3	47.1807765	0.5	1	10.5	8
5	1	1	10	13.3	19.82125	0.5	0	10	7
5	1	1	10	13.3	19.82125	0.5	1	10.5	8
5	1	2	10	13.3	33.0956	0.5	0	10	7
5	1	2	10	13.3	33.0956	0	1	10.5	8
5	1	3	10	13.3	12.4900565	0.5	0	10	7
5	1	3	10	13.3	12.4900565	0.5	1	10.5	8
5	1	4	10	13.3	46.24435	0	0	10	7
5	1	4	10	13.3	46.24435	1	1	10.5	8
5	1	5	10	13.3	72.7607865	0.5	0	10	7
5	1	5	10	13.3	72.7607865	0.5	1	10.5	8
6	0	1	10	13.3	34.6028	0.5	0	10	7
6	0	1	10	13.3	34.6028	0	1	10.5	8
6	0	2	10	13.3	86.78175	0	0	10	7
6	0	2	10	13.3	86.78175	0.5	1	10.5	8
6	0	3	10	13.3	31.07815	0	0	10	7
6	0	3	10	13.3	31.07815	0.5	1	10.5	8
6	0	4	10	13.3	27.632	0	0	10	7
6	0	4	10	13.3	27.632	0	1	10.5	8
6	0	5	10	13.3	22.81995	0	0	10	7
6	0	5	10	13.3	22.81995	0	1	10.5	8
7	0	1	10	13.3	29.36685	0	0	10	7
7	0	1	10	13.3	29.36685	0	1	10.5	8
7	0	2	10	13.3	34.697	0.5	0	10	7
7	0	2	10	13.3	34.697	0	1	10.5	8
7	0	3	10	13.3	21.98	0.5	0	10	7
7	0	3	10	13.3	21.98	0	1	10.5	8
7	0	4	10	13.3	25.2456	0.5	0	10	7
7	0	4	10	13.3	25.2456	0	1	10.5	8
7	0	5	10	13.3	22.25475	0.5	0	10	7
7	0	5	10	13.3	22.25475	0	1	10.5	8
1	1	1	11	12.7	32.09865	0.5	0	11	9
1	1	1	11	12.7	32.09865	0.5	1	11.5	10
1	1	2	11	12.7	42.42925	0	0	11	9
1	1	2	11	12.7	42.42925	1	1	11.5	10
1	1	3	11	12.7	50.4284	0	0	11	9
1	1	3	11	12.7	50.4284	0.5	1	11.5	10
1	1	4	11	12.7	60.87675	0.5	0	11	9
1	1	4	11	12.7	60.87675	0	1	11.5	10
1	1	5	11	12.7	44.745	0.5	0	11	9
1	1	5	11	12.7	44.745	0	1	11.5	10
2	1	1	11	12.7	40.38825	0	0	11	9
2	1	1	11	12.7	40.38825	0.5	1	11.5	10
2	1	2	11	12.7	61.9208	0.5	0	11	9
2	1	2	11	12.7	61.9208	0.5	1	11.5	10
2	1	3	11	12.7	65.312	0.5	0	11	9
2	1	3	11	12.7	65.312	0.5	1	11.5	10
2	1	4	11	12.7	60.87675	0	0	11	9
2	1	4	11	12.7	60.87675	0.5	1	11.5	10
2	1	5	11	12.7	33.15055	0	0	11	9
2	1	5	11	12.7	33.15055	0.5	1	11.5	10
3	1	1	11	12.7	30.615	0	0	11	9
3	1	1	11	12.7	30.615	0.5	1	11.5	10
3	1	2	11	12.7	27.318	0.5	0	11	9
3	1	2	11	12.7	27.318	0	1	11.5	10
3	1	3	11	12.7	50.97005	0	0	11	9
3	1	3	11	12.7	50.97005	0.5	1	11.5	10
3	1	4	11	12.7	46.98225	0.5	0	11	9
3	1	4	11	12.7	46.98225	0	1	11.5	10
3	1	5	11	12.7	60.01325	0	0	11	9
3	1	5	11	12.7	60.01325	0	1	11.5	10
4	1	1	11	12.7	74.7006	0	0	11	9
4	1	1	11	12.7	74.7006	0	1	11.5	10
4	1	2	11	12.7	30.92115	0	0	11	9
4	1	2	11	12.7	30.92115	0	1	11.5	10
4	1	3	11	12.7	38.94385	0	0	11	9
4	1	3	11	12.7	38.94385	0.5	1	11.5	10
4	1	4	11	12.7	62.0464	0	0	11	9
4	1	4	11	12.7	62.0464	0.5	1	11.5	10
4	1	5	11	12.7	74.732	0.5	0	11	9
4	1	5	11	12.7	74.732	0	1	11.5	10
5	1	1	11	12.7	33.912	0.5	0	11	9
5	1	1	11	12.7	33.912	0	1	11.5	10
5	1	2	11	12.7	51.64515	0.5	0	11	9
5	1	2	11	12.7	51.64515	0	1	11.5	10
5	1	3	11	12.7	44.78425	0.5	0	11	9
5	1	3	11	12.7	44.78425	0.5	1	11.5	10
5	1	4	11	12.7	64.1816	0.5	0	11	9
5	1	4	11	12.7	64.1816	1	1	11.5	10
5	1	5	11	12.7	113.87995	0.5	0	11	9
5	1	5	11	12.7	113.87995	0.5	1	11.5	10
6	0	1	11	12.7	42.42925	0.5	0	11	9
6	0	1	11	12.7	42.42925	0	1	11.5	10
6	0	2	11	12.7	94.19215	0	0	11	9
6	0	2	11	12.7	94.19215	1	1	11.5	10
6	0	3	11	12.7	33.98265	0	0	11	9
6	0	3	11	12.7	33.98265	1	1	11.5	10
6	0	4	11	12.7	28.8252	0	0	11	9
6	0	4	11	12.7	28.8252	0	1	11.5	10
6	0	5	11	12.7	25.434	0	0	11	9
6	0	5	11	12.7	25.434	0	1	11.5	10
7	0	1	11	12.7	35.2308	0.5	0	11	9
7	0	1	11	12.7	35.2308	0	1	11.5	10
7	0	2	11	12.7	41.448	0	0	11	9
7	0	2	11	12.7	41.448	0.5	1	11.5	10
7	0	3	11	12.7	24.57835	0.5	0	11	9
7	0	3	11	12.7	24.57835	0	1	11.5	10
7	0	4	11	12.7	29.82215	1	0	11	9
7	0	4	11	12.7	29.82215	0	1	11.5	10
7	0	5	11	12.7	30.49725	1	0	11	9
7	0	5	11	12.7	30.49725	0	1	11.5	10
1	1	1	12	18.5	29.0880965	0.5	0	12	11
1	1	1	12	18.5	29.0880965	1	1	12.5	12
1	1	2	12	18.5	37.2285465	0	0	12	11
1	1	2	12	18.5	37.2285465	1	1	12.5	12
1	1	3	12	18.5	49.61985	0	0	12	11
1	1	3	12	18.5	49.61985	0.5	1	12.5	12
1	1	4	12	18.5	52.3476465	0	0	12	11
1	1	4	12	18.5	52.3476465	0	1	12.5	12
1	1	5	12	18.5	37.4687565	0.5	0	12	11
1	1	5	12	18.5	37.4687565	0	1	12.5	12
2	1	1	12	18.5	37.2002865	0.5	0	12	11
2	1	1	12	18.5	37.2002865	0.5	1	12.5	12
2	1	2	12	18.5	48.7821765	1	0	12	11
2	1	2	12	18.5	48.7821765	0.5	1	12.5	12
2	1	3	12	18.5	53.7889065	0.5	0	12	11
2	1	3	12	18.5	53.7889065	1.5	1	12.5	12
2	1	4	12	18.5	56.9807165	0.5	0	12	11
2	1	4	12	18.5	56.9807165	1	1	12.5	12
2	1	5	12	18.5	24.4016465	0.5	0	12	11
2	1	5	12	18.5	24.4016465	0.5	1	12.5	12
3	1	1	12	18.5	29.686816	0	0	12	11
3	1	1	12	18.5	29.686816	0.5	1	12.5	12
3	1	2	12	18.5	21.3354365	0.5	0	12	11
3	1	2	12	18.5	21.3354365	0	1	12.5	12
3	1	3	12	18.5	45.8117365	0.5	0	12	11
3	1	3	12	18.5	45.8117365	0.5	1	12.5	12
3	1	4	12	18.5	34.1874565	1	0	12	11
3	1	4	12	18.5	34.1874565	0	1	12.5	12
3	1	5	12	18.5	56.5395465	0	0	12	11
3	1	5	12	18.5	56.5395465	0	1	12.5	12
4	1	1	12	18.5	67.04685	0	0	12	11
4	1	1	12	18.5	67.04685	0	1	12.5	12
4	1	2	12	18.5	29.8432665	0	0	12	11
4	1	2	12	18.5	29.8432665	0.5	1	12.5	12
4	1	3	12	18.5	30.4477165	0	0	12	11
4	1	3	12	18.5	30.4477165	0.5	1	12.5	12
4	1	4	12	18.5	49.9329865	0	0	12	11
4	1	4	12	18.5	49.9329865	0.5	1	12.5	12
4	1	5	12	18.5	66.1714965	1	0	12	11
4	1	5	12	18.5	66.1714965	0	1	12.5	12
5	1	1	12	18.5	25.1442565	0	0	12	11
5	1	1	12	18.5	25.1442565	0	1	12.5	12
5	1	2	12	18.5	42.0280365	1	0	12	11
5	1	2	12	18.5	42.0280365	0	1	12.5	12
5	1	3	12	18.5	53.49775	0	0	12	11
5	1	3	12	18.5	53.49775	0.5	1	12.5	12
5	1	4	12	18.5	56.5599565	0.5	0	12	11
5	1	4	12	18.5	56.5599565	0	1	12.5	12
5	1	5	12	18.5	107.1689065	0	0	12	11
5	1	5	12	18.5	107.1689065	0.5	1	12.5	12
6	0	1	12	18.5	41.92685	0	0	12	11
6	0	1	12	18.5	41.92685	2	1	12.5	12
6	0	2	12	18.5	85.3835865	0	0	12	11
6	0	2	12	18.5	85.3835865	0.5	1	12.5	12
6	0	3	12	18.5	19.4294565	0	0	12	11
6	0	3	12	18.5	19.4294565	0	1	12.5	12
6	0	4	12	18.5	15.6206365	1	0	12	11
6	0	4	12	18.5	15.6206365	0.5	1	12.5	12
6	0	5	12	18.5	17.9206865	0.5	0	12	11
6	0	5	12	18.5	17.9206865	0	1	12.5	12
7	0	1	12	18.5	20.3902965	0.5	0	12	11
7	0	1	12	18.5	20.3902965	0	1	12.5	12
7	0	2	12	18.5	24.4597365	0.5	0	12	11
7	0	2	12	18.5	24.4597365	0	1	12.5	12
7	0	3	12	18.5	14.7367265	0	0	12	11
7	0	3	12	18.5	14.7367265	0	1	12.5	12
7	0	4	12	18.5	12.4429565	0	0	12	11
7	0	4	12	18.5	12.4429565	0	1	12.5	12
7	0	5	12	18.5	16.5186765	0.5	0	12	11
7	0	5	12	18.5	16.5186765	0	1	12.5	12
1	1	1	13	21.2	26.3751365	0	0	13	13
1	1	1	13	21.2	26.3751365	1	1	13.5	14
1	1	2	13	21.2	24.3545465	0.5	0	13	13
1	1	2	13	21.2	24.3545465	0.5	1	13.5	14
1	1	3	13	21.2	47.0865765	0.5	0	13	13
1	1	3	13	21.2	47.0865765	0.5	1	13.5	14
1	1	4	13	21.2	53.4827565	1	0	13	13
1	1	4	13	21.2	53.4827565	0.5	1	13.5	14
1	1	5	13	21.2	27.9624065	0.5	0	13	13
1	1	5	13	21.2	27.9624065	0.5	1	13.5	14
2	1	1	13	21.2	36.353664	1.5	0	13	13
2	1	1	13	21.2	36.353664	0.5	1	13.5	14
2	1	2	13	21.2	46.8903265	0	0	13	13
2	1	2	13	21.2	46.8903265	0.5	1	13.5	14
2	1	3	13	21.2	46.8903265	0	0	13	13
2	1	3	13	21.2	46.8903265	0	1	13.5	14
2	1	4	13	21.2	44.0988665	0	0	13	13
2	1	4	13	21.2	44.0988665	1	1	13.5	14
2	1	5	13	21.2	19.5424965	0.5	0	13	13
2	1	5	13	21.2	19.5424965	0.5	1	13.5	14
3	1	1	13	21.2	28.8252	1	0	13	13
3	1	1	13	21.2	28.8252	0.5	1	13.5	14
3	1	2	13	21.2	18.0023265	1	0	13	13
3	1	2	13	21.2	18.0023265	0.5	1	13.5	14
3	1	3	13	21.2	42.4864765	0	0	13	13
3	1	3	13	21.2	42.4864765	1	1	13.5	14
3	1	4	13	21.2	27.1381565	0	0	13	13
3	1	4	13	21.2	27.1381565	1	1	13.5	14
3	1	5	13	21.2	54.8549365	0.5	0	13	13
3	1	5	13	21.2	54.8549365	0.5	1	13.5	14
4	1	1	13	21.2	65.6574	0	0	13	13
4	1	1	13	21.2	65.6574	1	1	13.5	14
4	1	2	13	21.2	19.3902065	0.5	0	13	13
4	1	2	13	21.2	19.3902065	0.5	1	13.5	14
4	1	3	13	21.2	25.7094565	0.5	0	13	13
4	1	3	13	21.2	25.7094565	0.5	1	13.5	14
4	1	4	13	21.2	42.7188365	0.5	0	13	13
4	1	4	13	21.2	42.7188365	0.5	1	13.5	14
4	1	5	13	21.2	53.5628265	0.5	0	13	13
4	1	5	13	21.2	53.5628265	0.5	1	13.5	14
5	1	1	13	21.2	12.2231565	0.5	0	13	13
5	1	1	13	21.2	12.2231565	0.5	1	13.5	14
5	1	2	13	21.2	38.1281565	0.5	0	13	13
5	1	2	13	21.2	38.1281565	0	1	13.5	14
5	1	3	13	21.2	46.3640625	0.5	0	13	13
5	1	3	13	21.2	46.3640625	0.5	1	13.5	14
5	1	4	13	21.2	53.4058265	0	0	13	13
5	1	4	13	21.2	53.4058265	1	1	13.5	14
5	1	5	13	21.2	98.5747265	0.5	0	13	13
5	1	5	13	21.2	98.5747265	0.5	1	13.5	14
6	0	1	13	21.2	20.6540565	0.5	0	13	13
6	0	1	13	21.2	20.6540565	0.5	1	13.5	14
6	0	2	13	21.2	73.59375	1	0	13	13
6	0	2	13	21.2	73.59375	0.5	1	13.5	14
6	0	3	13	21.2	11.8133865	0	0	13	13
6	0	3	13	21.2	11.8133865	1	1	13.5	14
6	0	4	13	21.2	14.98565	1	0	13	13
6	0	4	13	21.2	14.98565	0.5	1	13.5	14
6	0	5	13	21.2	13.3033165	0.5	0	13	13
6	0	5	13	21.2	13.3033165	0.5	1	13.5	14
7	0	1	13	21.2	20.188944	0	0	13	13
7	0	1	13	21.2	20.188944	1	1	13.5	14
7	0	2	13	21.2	17.5862765	1	0	13	13
7	0	2	13	21.2	17.5862765	0.5	1	13.5	14
7	0	3	13	21.2	7.2352665	0	0	13	13
7	0	3	13	21.2	7.2352665	1	1	13.5	14
7	0	4	13	21.2	10.9373265	0	0	13	13
7	0	4	13	21.2	10.9373265	1	1	13.5	14
7	0	5	13	21.2	10.7787565	0.5	0	13	13
7	0	5	13	21.2	10.7787565	0.5	1	13.5	14
1	1	1	15	23	28.9153965	0	0	15	17
1	1	1	15	23	28.9153965	1	1	15.5	18
1	1	2	15	23	20.1783465	0	0	15	17
1	1	2	15	23	20.1783465	0.5	1	15.5	18
1	1	3	15	23	46.54265	0	0	15	17
1	1	3	15	23	46.54265	1	1	15.5	18
1	1	4	15	23	52.3978865	0.5	0	15	17
1	1	4	15	23	52.3978865	0.5	1	15.5	18
1	1	5	15	23	25.9685065	0.5	0	15	17
1	1	5	15	23	25.9685065	0	1	15.5	18
2	1	1	15	23	35.5134	0	0	15	17
2	1	1	15	23	35.5134	0	1	15.5	18
2	1	2	15	23	45.9401625	0	0	15	17
2	1	2	15	23	45.9401625	0	1	15.5	18
2	1	3	15	23	55.264	0	0	15	17
2	1	3	15	23	55.264	0	1	15.5	18
2	1	4	15	23	42.7844625	0	0	15	17
2	1	4	15	23	42.7844625	0	1	15.5	18
2	1	5	15	23	15.6536065	0	0	15	17
2	1	5	15	23	15.6536065	0	1	15.5	18
3	1	1	15	23	27.9781065	0.5	0	15	17
3	1	1	15	23	27.9781065	0	1	15.5	18
3	1	2	15	23	17.1199865	0	0	15	17
3	1	2	15	23	17.1199865	0	1	15.5	18
3	1	3	15	23	38.465	0.5	0	15	17
3	1	3	15	23	38.465	0	1	15.5	18
3	1	4	15	23	38.465	0	0	15	17
3	1	4	15	23	38.465	0	1	15.5	18
