"num","x","y","NDVI","Grn","Wet","T61"
48,560,70,0.603311,0.117831,-0.0553192,295.527
49,630,70,0.621559,0.122529,-0.0522248,295.105
50,700,70,0.618183,0.123614,-0.0525469,295.105
51,770,70,0.587115,0.11694,-0.0459619,294.681
52,840,70,0.580356,0.104867,-0.05263,294.822
53,910,70,0.605539,0.113894,-0.0488423,295.667
54,980,70,0.455228,0.0905335,-0.116144,295.948
55,1050,70,0.398295,0.0400841,-0.0812556,295.948
56,1120,70,0.570604,0.107238,-0.0533811,295.527
57,1190,70,0.621843,0.132132,-0.0449502,295.527
58,1260,70,0.613498,0.128647,-0.0556074,295.105
59,1330,70,0.654806,0.154461,-0.0520781,295.105
60,1400,70,0.659014,0.160445,-0.0594764,295.105
61,1470,70,0.664525,0.167486,-0.0609162,295.246
62,1540,70,0.619132,0.136406,-0.0535985,295.808
63,1610,70,0.619504,0.11795,-0.0597087,296.367
64,1680,70,0.587115,0.115484,-0.0499855,296.367
65,1750,70,0.607751,0.114769,-0.0461098,297.478
66,1820,70,0.587115,0.11599,-0.0366838,297.201
67,1890,70,0.562885,0.10965,-0.0562722,299.669
68,1960,70,0.487736,0.0844351,-0.091251,300.886
69,2030,70,0.563788,0.104194,-0.0507386,301.29
70,2100,70,0.50863,0.0929487,-0.0874626,300.752
71,2170,70,0.333691,0.033503,-0.180435,301.691
72,2240,70,-9999,-9999,-9999,-9999
73,2310,70,-9999,-9999,-9999,-9999
74,2380,70,-9999,-9999,-9999,-9999
75,2450,70,-9999,-9999,-9999,-9999
76,2520,70,-9999,-9999,-9999,-9999
77,2590,70,-9999,-9999,-9999,-9999
78,2660,70,-9999,-9999,-9999,-9999
79,0,140,0.616078,0.128058,-0.055294,295.948
80,70,140,0.615164,0.125184,-0.056493,295.948
81,140,140,0.608806,0.115959,-0.0506865,295.527
82,210,140,0.614948,0.122881,-0.0566418,295.527
83,280,140,0.604358,0.121831,-0.0502194,295.527
84,350,140,0.634066,0.134348,-0.0569769,295.105
85,420,140,0.628182,0.132541,-0.0570274,295.105
86,490,140,0.626202,0.129813,-0.0559728,295.199
87,560,140,0.628081,0.130114,-0.0587296,295.105
88,630,140,0.616052,0.121752,-0.0514036,295.105
89,700,140,0.615304,0.114509,-0.0496535,295.433
90,770,140,0.616318,0.119541,-0.0480407,295.246
91,840,140,0.599287,0.114701,-0.0474287,295.105
92,910,140,0.601204,0.11883,-0.0508624,295.292
93,980,140,0.522552,0.0986304,-0.0689551,295.527
94,1050,140,0.624616,0.150681,-0.10288,295.808
95,1120,140,0.601371,0.11136,-0.0559782,295.433
96,1190,140,0.620627,0.135817,-0.0519575,294.964
97,1260,140,0.634675,0.136977,-0.0482725,294.681
98,1330,140,0.631223,0.135498,-0.048711,294.822
99,1400,140,0.637831,0.145674,-0.0457964,295.105
100,1470,140,0.650021,0.150911,-0.0531656,294.917
101,1540,140,0.648612,0.153862,-0.0583135,295.292
102,1610,140,0.592125,0.115494,-0.0550563,295.386
103,1680,140,0.590087,0.113133,-0.0499188,295.292
104,1750,140,0.599239,0.114905,-0.0540378,295.48
105,1820,140,0.584616,0.110809,-0.0563199,295.527
106,1890,140,0.590573,0.106964,-0.0566717,296.46
107,1960,140,0.625422,0.12975,-0.0611218,297.108
108,2030,140,0.592547,0.114759,-0.053739,296.502
109,2100,140,0.584236,0.107542,-0.0515029,296.319
110,2170,140,0.602865,0.106982,-0.0601335,297.154
111,2240,140,0.613989,0.119262,-0.0675332,298.164
112,2310,140,0.614397,0.116324,-0.067462,297.614
113,2380,140,0.538509,0.101158,-0.0867922,298.485
114,2450,140,0.541369,0.105216,-0.0910631,297.89
115,2520,140,0.566824,0.111336,-0.0821617,298.03
116,2590,140,-9999,-9999,-9999,-9999
117,2660,140,-9999,-9999,-9999,-9999
118,0,210,0.602194,0.118533,-0.0519614,295.527
119,70,210,0.612115,0.123144,-0.0516493,295.527
120,140,210,0.610642,0.122671,-0.0527234,295.527
121,210,210,0.617535,0.123562,-0.0526852,295.527
122,280,210,0.607891,0.121704,-0.0470334,295.527
123,350,210,0.61518,0.121576,-0.0497442,295.386
124,420,210,0.59564,0.112476,-0.0437676,295.527
125,490,210,0.627751,0.128629,-0.0549237,295.527
126,560,210,0.606314,0.119479,-0.0512583,295.246
127,630,210,0.610341,0.123137,-0.0571688,295.105
128,700,210,0.621055,0.126136,-0.0521647,295.48
129,770,210,0.617398,0.121464,-0.0462653,295.527
130,840,210,0.61476,0.117835,-0.0532428,295.105
131,910,210,0.601303,0.117713,-0.0486026,295.105
132,980,210,0.482709,0.0751551,-0.0701627,295.527
133,1050,210,0.611759,0.12385,-0.059995,295.246
134,1120,210,0.629975,0.133415,-0.0593059,295.105
135,1190,210,0.603911,0.119463,-0.0509083,294.964
136,1260,210,0.608889,0.120202,-0.0419296,294.964
137,1330,210,0.609075,0.121372,-0.0464422,295.48
138,1400,210,0.596502,0.150169,-0.0764581,295.808
139,1470,210,0.648595,0.163897,-0.069381,295.386
140,1540,210,0.625096,0.128956,-0.0484168,295.105
141,1610,210,0.622586,0.123432,-0.0512593,295.386
142,1680,210,0.589755,0.116656,-0.0517335,295.386
143,1750,210,0.611388,0.123648,-0.0537909,295.527
144,1820,210,0.61075,0.118471,-0.0592536,295.667
145,1890,210,0.600829,0.111651,-0.0557214,295.714
146,1960,210,0.628635,0.136373,-0.0647372,294.917
147,2030,210,0.597587,0.108476,-0.0454202,294.681
148,2100,210,0.587921,0.104853,-0.0444511,295.246
149,2170,210,0.584282,0.106503,-0.045998,295.667
150,2240,210,0.609636,0.123036,-0.0548037,295.386
151,2310,210,0.610871,0.127266,-0.0508346,294.633
152,2380,210,0.609817,0.127988,-0.051585,295.245
153,2450,210,0.609482,0.120778,-0.0563422,295.246
154,2520,210,0.618674,0.124141,-0.055255,295.854
155,2590,210,0.61037,0.13026,-0.0517791,296.599
156,2660,210,0.605519,0.11265,-0.0492508,296.921
157,0,280,0.606611,0.11592,-0.051556,295.527
158,70,280,0.617398,0.119505,-0.0534615,295.527
159,140,280,0.616371,0.119707,-0.0481165,295.527
160,210,280,0.613132,0.119265,-0.0438236,295.527
161,280,280,0.607561,0.12044,-0.048353,295.527
162,350,280,0.553926,0.0845848,-0.0466701,295.527
163,420,280,0.566765,0.0921762,-0.0303171,295.527
164,490,280,0.605455,0.123915,-0.0522586,295.246
165,560,280,0.606654,0.114604,-0.0508198,295.105
166,630,280,0.615861,0.127071,-0.0466303,295.105
167,700,280,0.625225,0.120708,-0.0528666,295.527
168,770,280,0.61023,0.110498,-0.0466183,295.527
169,840,280,0.603313,0.121643,-0.0510822,295.105
170,910,280,0.593409,0.117341,-0.0500849,294.964
171,980,280,0.498082,0.093658,-0.0607221,295.105
172,1050,280,0.617852,0.116481,-0.0503557,295.105
173,1120,280,0.61761,0.115858,-0.0476543,295.105
174,1190,280,0.621843,0.131071,-0.0460374,294.681
175,1260,280,0.617852,0.118308,-0.0449039,294.822
176,1330,280,0.625851,0.138965,-0.0429664,295.527
177,1400,280,0.588125,0.152951,-0.0731482,295.948
178,1470,280,0.597167,0.148227,-0.0693771,295.808
179,1540,280,0.59486,0.115864,-0.0485581,295.527
180,1610,280,0.612799,0.126792,-0.0493883,295.527
181,1680,280,0.613017,0.119169,-0.0525871,295.527
182,1750,280,0.610724,0.123173,-0.0538768,295.527
183,1820,280,0.631541,0.130153,-0.0497059,295.527
184,1890,280,0.588284,0.10928,-0.0484875,295.527
185,1960,280,0.582382,0.105875,-0.041223,295.105
186,2030,280,0.600044,0.117888,-0.0490037,295.105
187,2100,280,0.585216,0.109353,-0.0424456,295.105
188,2170,280,0.606738,0.112277,-0.0442246,294.681
189,2240,280,0.626545,0.120443,-0.0457287,294.681
190,2310,280,0.597664,0.113,-0.0531592,294.822
191,2380,280,0.594318,0.113131,-0.047053,295.105
192,2450,280,0.58642,0.107019,-0.0519338,295.527
193,2520,280,0.589853,0.108991,-0.0574731,295.386
194,2590,280,0.618957,0.127986,-0.0496896,294.822
195,2660,280,0.603316,0.125768,-0.0578311,294.681
196,0,350,0.597899,0.113263,-0.0424961,295.527
197,70,350,0.605464,0.118788,-0.0490364,295.527
198,140,350,0.60544,0.126654,-0.0494009,295.527
199,210,350,0.605368,0.120015,-0.0495739,295.527
200,280,350,0.608884,0.123931,-0.0526755,295.527
201,350,350,0.553332,0.0903491,-0.0472877,295.527
202,420,350,0.618339,0.120839,-0.0529827,295.292
203,490,350,0.607783,0.116175,-0.0485718,295.105
204,560,350,0.59983,0.117007,-0.0485961,295.105
205,630,350,0.608655,0.122505,-0.0482171,295.339
206,700,350,0.608753,0.118508,-0.0492487,295.527
207,770,350,0.618914,0.115793,-0.0512317,295.105
208,840,350,0.602363,0.11812,-0.0438755,295.105
209,910,350,0.603994,0.121801,-0.0486891,295.105
210,980,350,0.577706,0.106445,-0.0534169,295.105
211,1050,350,0.596062,0.11429,-0.0415494,294.681
212,1120,350,0.601741,0.110593,-0.0462513,294.681
213,1190,350,0.617813,0.11592,-0.0503916,294.681
214,1260,350,0.605773,0.120068,-0.0493346,294.587
215,1330,350,0.61579,0.127434,-0.0470476,294.869
216,1400,350,0.630104,0.169961,-0.076864,295.386
217,1470,350,0.613184,0.15638,-0.0680293,295.433
218,1540,350,0.600819,0.122281,-0.0454391,295.527
219,1610,350,0.595734,0.116153,-0.0493089,295.527
220,1680,350,0.612802,0.119553,-0.0450346,295.48
221,1750,350,0.622486,0.126161,-0.0489868,295.105
222,1820,350,0.618957,0.124609,-0.0523797,295.105
223,1890,350,0.613021,0.114574,-0.0514797,295.105
224,1960,350,0.598077,0.113485,-0.0478444,295.105
225,2030,350,0.605537,0.11259,-0.0474397,295.105
226,2100,350,0.588655,0.10594,-0.0416525,295.105
227,2170,350,0.595798,0.109406,-0.0443772,295.105
228,2240,350,0.61633,0.122075,-0.0521377,295.386
229,2310,350,0.605872,0.1154,-0.0559623,295.527
230,2380,350,0.602948,0.120082,-0.0461918,295.433
231,2450,350,0.609991,0.118714,-0.0560662,295.105
232,2520,350,0.608425,0.116306,-0.0425343,295.105
233,2590,350,0.60502,0.118133,-0.0481064,295.152
234,2660,350,0.585936,0.107243,-0.0508515,294.964
235,0,420,0.576082,0.104944,-0.0496921,295.948
236,70,420,0.624356,0.128668,-0.0611369,295.527
237,140,420,0.575823,0.110574,-0.0489953,295.527
238,210,420,0.591393,0.112324,-0.0487249,295.433
239,280,420,0.590894,0.106644,-0.0437244,295.105
240,350,420,0.594318,0.113553,-0.0504846,295.105
241,420,420,0.599779,0.10843,-0.045501,295.292
242,490,420,0.599935,0.110674,-0.0475344,295.199
243,560,420,0.606355,0.119287,-0.0466762,295.386
244,630,420,0.600018,0.116636,-0.0447775,295.527
245,700,420,0.604802,0.11745,-0.0501374,295.339
246,770,420,0.609893,0.116103,-0.0515982,295.105
247,840,420,0.60175,0.109759,-0.0481234,295.105
248,910,420,0.608632,0.119716,-0.0479871,295.105
249,980,420,0.564198,0.107881,-0.052878,294.681
250,1050,420,0.590535,0.107831,-0.0486259,294.681
251,1120,420,0.599956,0.107211,-0.0522412,294.681
252,1190,420,0.598919,0.118448,-0.0472229,294.681
253,1260,420,0.594246,0.111147,-0.0441135,294.681
254,1330,420,0.619573,0.128756,-0.0437787,294.681
255,1400,420,0.622586,0.124989,-0.047972,294.681
256,1470,420,0.612337,0.121972,-0.0434592,294.917
257,1540,420,0.615309,0.120527,-0.0462104,295.105
258,1610,420,0.599959,0.11541,-0.0465423,295.105
259,1680,420,0.604327,0.120156,-0.0459745,295.105
260,1750,420,0.617826,0.123337,-0.0520695,295.105
261,1820,420,0.607751,0.115889,-0.0421334,295.105
262,1890,420,0.608526,0.113184,-0.0507942,295.105
263,1960,420,0.595178,0.114632,-0.0507965,295.105
264,2030,420,0.581391,0.103593,-0.0465851,295.105
265,2100,420,0.588112,0.107693,-0.0464067,294.964
266,2170,420,0.611993,0.119238,-0.0461844,294.681
267,2240,420,0.579006,0.106016,-0.0496562,295.105
268,2310,420,0.616209,0.121751,-0.0509189,295.339
269,2380,420,0.610166,0.11868,-0.0523463,295.105
270,2450,420,0.568482,0.0987653,-0.0534319,295.105
271,2520,420,0.580334,0.100725,-0.0488322,295.105
272,2590,420,0.605363,0.115512,-0.0474844,295.105
273,2660,420,0.621145,0.118917,-0.0468221,295.105
274,0,490,0.572251,0.102057,-0.0491882,295.948
275,70,490,0.588355,0.105083,-0.0465883,295.948
276,140,490,0.560204,0.0937987,-0.046173,295.527
277,210,490,0.582302,0.101994,-0.0487717,295.386
278,280,490,0.584737,0.102403,-0.0489246,295.105
279,350,490,0.546352,0.0935866,-0.0416236,295.105
280,420,490,0.631072,0.118128,-0.0521598,295.246
281,490,490,0.588491,0.105012,-0.0429931,295.527
282,560,490,0.589912,0.112971,-0.045818,295.527
283,630,490,0.610077,0.113575,-0.0485579,295.105
284,700,490,0.602247,0.116447,-0.0465486,295.105
285,770,490,0.592905,0.106852,-0.0441517,295.105
286,840,490,0.598917,0.113982,-0.046539,295.105
287,910,490,0.597567,0.108395,-0.0458228,295.105
288,980,490,0.575522,0.116321,-0.0607222,295.105
289,1050,490,0.615449,0.116837,-0.0447272,295.105
290,1120,490,0.613132,0.117615,-0.0571611,295.105
291,1190,490,0.616371,0.119244,-0.0543646,295.105
292,1260,490,0.612273,0.118285,-0.0404995,295.105
293,1330,490,0.604421,0.114659,-0.0444188,294.822
294,1400,490,0.617527,0.104824,-0.0537465,294.681
295,1470,490,0.606598,0.115236,-0.0436981,294.681
296,1540,490,0.606663,0.118137,-0.0467663,294.681
297,1610,490,0.613185,0.120819,-0.0435617,294.681
298,1680,490,0.604424,0.11942,-0.0443973,295.105
299,1750,490,0.625076,0.132386,-0.0461371,295.105
300,1820,490,0.592905,0.108183,-0.0421786,295.105
301,1890,490,0.621216,0.12496,-0.0497896,294.964
302,1960,490,0.597541,0.11614,-0.0503423,294.681
303,2030,490,0.599897,0.110909,-0.0455706,294.681
304,2100,490,0.611026,0.117764,-0.0489405,294.964
305,2170,490,0.621851,0.122972,-0.048023,294.681
306,2240,490,0.625619,0.128105,-0.0542262,295.105
307,2310,490,0.616513,0.116504,-0.051021,295.105
308,2380,490,0.608519,0.112787,-0.0490654,295.105
309,2450,490,0.616924,0.1107,-0.0568911,295.105
310,2520,490,0.597782,0.112941,-0.052473,295.105
311,2590,490,0.587389,0.105695,-0.0500103,295.105
312,2660,490,0.579254,0.103691,-0.0484806,295.105
313,0,560,0.553695,0.0937952,-0.0485747,295.621
314,70,560,0.585791,0.102634,-0.0496091,295.714
315,140,560,0.580157,0.101275,-0.0465967,295.948
316,210,560,0.591046,0.109653,-0.0519826,295.527
317,280,560,0.573517,0.101567,-0.0441926,295.105
318,350,560,0.558188,0.0915571,-0.0426372,295.105
319,420,560,0.583648,0.103507,-0.0419276,295.246
320,490,560,0.596182,0.111726,-0.0491977,295.527
321,560,560,0.586882,0.10219,-0.0493626,295.105
322,630,560,0.605842,0.119444,-0.0516111,295.105
323,700,560,0.600002,0.117568,-0.0534445,295.105
324,770,560,0.603161,0.113666,-0.0554252,295.105
325,840,560,0.614559,0.117673,-0.0522229,295.105
326,910,560,0.591457,0.107483,-0.0462363,295.433
327,980,560,0.622876,0.122386,-0.0475611,295.527
328,1050,560,0.572927,0.0941598,-0.0484298,295.48
329,1120,560,0.597627,0.110361,-0.0467687,295.105
330,1190,560,0.586176,0.111383,-0.0393091,295.105
331,1260,560,0.604789,0.116427,-0.0454666,295.105
332,1330,560,0.595857,0.113209,-0.0426535,295.105
333,1400,560,0.609264,0.109785,-0.0444964,294.822
334,1470,560,0.593885,0.103138,-0.0399414,294.681
335,1540,560,0.594336,0.111608,-0.0483235,294.35
336,1610,560,0.590785,0.110872,-0.0438258,294.681
337,1680,560,0.593855,0.113574,-0.0469162,294.681
338,1750,560,0.621334,0.127395,-0.0521254,294.964
339,1820,560,0.595697,0.0967533,-0.0397278,295.105
340,1890,560,0.620277,0.121369,-0.0466405,294.917
341,1960,560,0.628514,0.120844,-0.0486484,295.011
342,2030,560,0.588649,0.111575,-0.0431333,295.105
343,2100,560,0.604051,0.116584,-0.0459259,294.681
344,2170,560,0.606944,0.121704,-0.0456788,294.681
345,2240,560,0.615171,0.120816,-0.0441413,295.105
346,2310,560,0.611825,0.119435,-0.0486198,295.105
347,2380,560,0.609539,0.117348,-0.0527803,295.105
348,2450,560,0.583887,0.106936,-0.0490003,295.105
349,2520,560,0.594331,0.103724,-0.0457471,295.105
350,2590,560,0.602868,0.113253,-0.0470186,295.105
351,2660,560,0.5698,0.100791,-0.0499442,295.105
352,0,630,0.539209,0.0867588,-0.0433585,295.386
353,70,630,0.552586,0.0856279,-0.0400614,295.433
354,140,630,0.552107,0.0934043,-0.0460307,295.527
355,210,630,0.591532,0.107885,-0.0475398,295.199
356,280,630,0.594333,0.108898,-0.0484915,295.011
357,350,630,0.58642,0.10889,-0.0452085,295.105
358,420,630,0.587778,0.106146,-0.051189,295.433
359,490,630,0.583115,0.103702,-0.0445495,295.527
360,560,630,0.567758,0.0990044,-0.0471586,295.386
361,630,630,0.584998,0.104127,-0.0460524,295.105
362,700,630,0.597156,0.109642,-0.0454988,295.105
363,770,630,0.604327,0.113572,-0.047215,295.105
364,840,630,0.589006,0.108699,-0.0481972,295.105
365,910,630,0.598039,0.111886,-0.047254,295.433
366,980,630,0.601771,0.112741,-0.0447555,295.527
367,1050,630,0.536015,0.0898527,-0.0551241,295.386
368,1120,630,0.588863,0.0997126,-0.0391774,295.105
369,1190,630,0.613987,0.124904,-0.05015,295.105
370,1260,630,0.592867,0.104888,-0.0463219,295.105
371,1330,630,0.606648,0.114738,-0.0404446,295.105
372,1400,630,0.582253,0.102145,-0.0504632,295.105
373,1470,630,0.583764,0.102027,-0.0410567,294.681
374,1540,630,0.578814,0.104164,-0.0401781,294.681
375,1610,630,0.604348,0.110276,-0.0494886,294.681
376,1680,630,0.603524,0.114201,-0.0456139,294.964
377,1750,630,0.620959,0.125602,-0.046927,295.058
378,1820,630,0.672989,0.174398,-0.063852,294.681
379,1890,630,0.645808,0.171436,-0.0662986,294.681
380,1960,630,0.668122,0.197141,-0.0788166,295.105
381,2030,630,0.582806,0.107159,-0.0442663,295.527
382,2100,630,0.602235,0.118299,-0.0458926,294.869
383,2170,630,0.620195,0.121744,-0.0536088,294.964
384,2240,630,0.605316,0.120839,-0.0514127,295.105
385,2310,630,0.594983,0.109375,-0.0541682,295.105
386,2380,630,0.618636,0.121792,-0.0505675,295.105
387,2450,630,0.612365,0.114858,-0.0491866,295.105
388,2520,630,0.604118,0.113279,-0.0488811,294.681
389,2590,630,0.587792,0.101971,-0.0451094,295.105
390,2660,630,0.562081,0.0981927,-0.041102,295.527
391,0,700,0.501522,0.0663465,-0.0356654,297.201
392,70,700,0.525015,0.0750547,-0.0456123,294.964
393,140,700,0.560204,0.0938407,-0.0498004,295.527
394,210,700,0.575206,0.101441,-0.0444565,295.105
395,280,700,0.602111,0.104745,-0.0467876,295.105
396,350,700,0.579254,0.105722,-0.0418993,295.105
397,420,700,0.583804,0.104229,-0.0473011,295.527
398,490,700,0.585664,0.102853,-0.0458696,295.527
399,560,700,0.592905,0.104881,-0.0469396,295.527
400,630,700,0.590491,0.105122,-0.0429253,295.386
401,700,700,0.584838,0.0973779,-0.0333651,295.386
402,770,700,0.606794,0.106298,-0.0408854,295.527
403,840,700,0.611335,0.109341,-0.0430845,295.105
404,910,700,0.614824,0.12699,-0.0428376,295.105
405,980,700,0.648234,0.142914,-0.0597195,295.105
406,1050,700,0.562156,0.104213,-0.0646577,295.105
407,1120,700,0.633341,0.124764,-0.0413454,295.105
408,1190,700,0.631541,0.133372,-0.0399417,295.105
409,1260,700,0.614102,0.119268,-0.0425762,294.964
410,1330,700,0.594915,0.101644,-0.0442857,294.964
411,1400,700,0.560204,0.0939808,-0.0453836,295.105
412,1470,700,0.560917,0.0899389,-0.0544228,294.822
413,1540,700,0.590341,0.105395,-0.0405151,295.105
414,1610,700,0.619504,0.123494,-0.0535256,295.105
415,1680,700,0.613133,0.118251,-0.0477645,295.105
416,1750,700,0.586882,0.103147,-0.0419107,295.105
417,1820,700,0.606794,0.107719,-0.0444422,294.681
418,1890,700,0.607665,0.117034,-0.0482679,294.681
419,1960,700,0.616524,0.12847,-0.0596105,295.105
420,2030,700,0.575577,0.0999893,-0.053701,295.527
421,2100,700,0.604413,0.113129,-0.0521674,295.105
422,2170,700,0.605442,0.114092,-0.0415676,295.105
423,2240,700,0.609947,0.116145,-0.0520246,295.105
424,2310,700,0.612088,0.118089,-0.0475755,295.105
425,2380,700,0.616614,0.111007,-0.049006,295.105
426,2450,700,0.620185,0.114539,-0.0557283,294.681
427,2520,700,0.617642,0.118625,-0.0534162,294.681
428,2590,700,0.592745,0.10167,-0.0461614,295.105
429,2660,700,0.566382,0.0902377,-0.0483482,295.527
430,0,770,-9999,-9999,-9999,-9999
431,70,770,-9999,-9999,-9999,-9999
432,140,770,0.571835,0.099148,-0.0480436,295.527
433,210,770,0.558312,0.0935628,-0.0454264,295.152
434,280,770,0.557131,0.0894027,-0.0335266,295.527
435,350,770,0.529847,0.0783326,-0.0230929,295.527
436,420,770,0.535,0.0711401,-0.0158925,295.527
437,490,770,0.524742,0.0681969,-0.00837388,295.527
438,560,770,0.562926,0.0858438,-0.025875,295.527
439,630,770,0.506593,0.0629171,-0.0135429,295.527
440,700,770,0.584412,0.0985487,-0.0298124,295.527
441,770,770,0.636633,0.120896,-0.0441133,295.527
442,840,770,0.645619,0.140883,-0.0487725,295.386
443,910,770,0.646953,0.141415,-0.0468179,295.105
444,980,770,0.639327,0.142584,-0.0470325,295.105
445,1050,770,0.61505,0.133287,-0.0583988,295.105
446,1120,770,0.587885,0.103335,-0.0436173,295.246
447,1190,770,0.570868,0.105765,-0.0428223,295.105
448,1260,770,0.606584,0.111884,-0.0402046,295.011
449,1330,770,0.590382,0.100504,-0.0411629,294.728
450,1400,770,0.568415,0.0956613,-0.0452006,294.681
451,1470,770,0.589797,0.111015,-0.0466161,294.964
452,1540,770,0.586344,0.10396,-0.0439417,295.105
453,1610,770,0.578939,0.103557,-0.0440548,295.105
454,1680,770,0.587471,0.106259,-0.0485575,295.105
455,1750,770,0.587681,0.112574,-0.0447287,295.105
456,1820,770,0.608676,0.121313,-0.0494801,295.105
457,1890,770,0.612008,0.122475,-0.0520667,294.822
458,1960,770,0.604549,0.112849,-0.0492878,295.105
459,2030,770,0.594709,0.112899,-0.0505409,295.386
460,2100,770,0.623556,0.122195,-0.0512914,295.105
461,2170,770,0.612357,0.122734,-0.0560291,295.105
462,2240,770,0.609892,0.115191,-0.0467212,295.105
463,2310,770,0.604031,0.113421,-0.0504226,295.199
464,2380,770,0.596908,0.115868,-0.043617,295.105
465,2450,770,0.608805,0.119263,-0.0493021,294.681
466,2520,770,0.599243,0.114973,-0.046042,294.681
467,2590,770,0.593408,0.105085,-0.0479779,295.105
468,2660,770,0.62576,0.131063,-0.0543336,295.386
469,0,840,-9999,-9999,-9999,-9999
470,70,840,-9999,-9999,-9999,-9999
471,140,840,0.571169,0.0931126,-0.0467206,295.948
472,210,840,0.570173,0.0953428,-0.047611,295.433
473,280,840,0.596637,0.112899,-0.0421021,295.527
474,350,840,0.604348,0.112977,-0.0383112,295.527
475,420,840,0.566711,0.0851886,-0.0295223,295.527
476,490,840,0.545066,0.0760692,-0.0223493,295.527
477,560,840,0.549582,0.0753402,-0.0320839,295.527
478,630,840,0.57372,0.0960022,-0.0402171,295.527
479,700,840,0.584955,0.106654,-0.0397123,295.527
480,770,840,0.597676,0.110771,-0.0464211,295.527
481,840,840,0.589532,0.106946,-0.0463159,295.199
482,910,840,0.634645,0.12518,-0.0545034,295.105
483,980,840,0.569048,0.092568,-0.0451343,295.386
484,1050,840,0.509937,0.0788061,-0.0531846,295.386
485,1120,840,0.530047,0.0777379,-0.0373292,295.527
486,1190,840,0.519591,0.075546,-0.0395665,295.105
487,1260,840,0.57311,0.0986511,-0.0457485,295.105
488,1330,840,0.653202,0.142168,-0.0580789,295.105
489,1400,840,0.6188,0.121169,-0.0434855,294.681
490,1470,840,0.597786,0.109712,-0.0491039,294.775
491,1540,840,0.604985,0.110712,-0.048894,295.105
492,1610,840,0.610041,0.112874,-0.0511351,295.105
493,1680,840,0.585559,0.104858,-0.0429191,295.011
494,1750,840,0.653828,0.14648,-0.0545732,294.822
495,1820,840,0.593545,0.102577,-0.0417823,294.681
496,1890,840,0.569225,0.0944128,-0.0391632,295.105
497,1960,840,0.599718,0.110879,-0.0492131,295.105
498,2030,840,0.59406,0.108364,-0.0435536,295.105
499,2100,840,0.585594,0.104149,-0.045709,294.822
500,2170,840,0.593162,0.108807,-0.0456744,295.105
501,2240,840,0.591709,0.106284,-0.0439451,295.105
502,2310,840,0.601105,0.111155,-0.0491499,295.199
503,2380,840,0.563699,0.0954853,-0.0448017,295.105
504,2450,840,0.602043,0.108386,-0.0432485,294.681
505,2520,840,0.601857,0.116173,-0.0456698,294.681
506,2590,840,0.593079,0.109676,-0.0481701,294.681
507,2660,840,0.57473,0.0965128,-0.046071,295.105
508,0,910,-9999,-9999,-9999,-9999
509,70,910,-9999,-9999,-9999,-9999
510,140,910,0.565835,0.102561,-0.0462281,296.785
