Sample	FGal	FPag	FPor	FHipp	FCra	FPro	FPan	FAlp	FCall	FUpo	FLao	FNep	T1m	T45.35m	S1m	S45.35m	Ch0.10m	Year	Location
24	136.33	22.72	0.00	0.00	0.00	11.36	22.72	0.00	0.00	0.00	0.00	0.00	6.77	6.80	34.47	34.55	1.44	2003.00	1.00
25	272.73	79.55	79.55	147.73	22.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.90	NA	33.97	NA	NA	2002.00	2.00
26	56.82	56.82	56.82	0.00	34.09	0.00	102.27	0.00	0.00	0.00	0.00	0.00	9.00	NA	34.14	NA	NA	2002.00	2.00
27	11.36	11.36	22.73	0.00	11.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.80	NA	33.81	NA	NA	2002.00	2.00
28	113.64	45.45	56.82	45.45	0.00	0.00	22.73	0.00	0.00	0.00	0.00	0.00	10.60	NA	33.94	NA	NA	2002.00	2.00
29	34.09	11.36	79.55	22.73	11.36	0.00	11.36	0.00	0.00	0.00	0.00	0.00	11.97	NA	33.85	33.83	0.30	2002.00	2.00
30	45.45	125.00	125.00	79.55	11.36	11.36	11.36	0.00	11.36	0.00	11.36	0.00	13.34	12.01	33.61	34.26	1.44	2002.00	2.00
31	113.64	45.45	11.36	34.09	0.00	0.00	11.36	0.00	11.36	0.00	22.73	0.00	13.67	12.04	34.33	34.51	0.87	2002.00	2.00
32	11.36	125.00	79.55	102.27	34.09	0.00	56.82	0.00	34.09	11.36	113.64	0.00	13.23	12.49	34.13	34.53	0.90	2002.00	2.00
33	34.09	34.09	340.91	409.09	45.45	11.36	0.00	11.36	0.00	0.00	11.36	0.00	14.14	13.04	33.70	34.51	0.39	2002.00	2.00
34	0.00	0.00	45.45	113.64	0.00	45.45	22.73	0.00	0.00	0.00	0.00	0.00	13.33	13.04	34.28	34.62	0.69	2002.00	2.00
35	181.82	329.55	90.91	750.00	11.36	56.82	68.18	0.00	0.00	0.00	0.00	0.00	13.10	13.06	34.47	34.65	2.28	2002.00	2.00
36	68.18	147.73	68.18	568.18	56.82	45.45	56.82	0.00	0.00	0.00	11.36	0.00	13.09	13.00	34.16	34.47	1.02	2002.00	2.00
37	0.00	11.36	0.00	22.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.11	11.89	34.19	34.59	0.75	2002.00	2.00
38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.64	9.15	34.05	34.48	0.27	2002.00	2.00
39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.03	8.77	34.30	34.67	0.27	2003.00	2.00
40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.60	8.87	32.99	34.11	0.10	2003.00	2.00
41	45.45	22.73	0.00	11.36	11.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.25	7.72	33.68	34.17	0.16	2003.00	2.00
42	22.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.54	7.78	33.96	34.24	0.30	2003.00	2.00
43	125.00	45.45	0.00	56.82	11.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.40	7.75	33.61	34.18	0.56	2003.00	2.00
44	284.09	102.27	11.36	159.09	11.36	0.00	45.45	0.00	0.00	0.00	0.00	11.36	7.94	8.08	33.73	34.13	4.16	2003.00	2.00
45	409.09	204.55	0.00	136.36	11.36	0.00	79.55	0.00	0.00	0.00	0.00	0.00	8.31	7.89	33.78	34.26	0.75	2003.00	2.00
